,top1_return_gps
2016-01-01,-0.08282219958295012
2016-02-01,-0.013905681852927398
2016-03-01,0.08856174861998078
2016-04-01,0.3352701093807162
2016-05-01,-0.12363968950001691
2016-06-01,0.1348504193385036
2016-07-01,-0.1563645230797195
2016-08-01,0.050680783337572866
2016-09-01,0.1679237113416392
2016-10-01,0.13528506373246452
2016-11-01,-0.024513069350288297
2016-12-01,-0.007924270654646626
2017-01-01,0.0037274303564494016
2017-02-01,-0.015289008196864518
2017-03-01,-0.08179113926613624
2017-04-01,-0.06219658678432671
2017-05-01,0.15376055767511287
2017-06-01,0.0849163196818612
2017-07-01,0.0534404353342286
2017-08-01,0.027455662921302304
2017-09-01,-0.1281060900009704
2017-10-01,-0.13251369536139412
2017-11-01,0.05903666653122808
2017-12-01,-0.11263945186240865
2018-01-01,-0.21275455554707512
2018-02-01,-0.12345714536523722
2018-03-01,-0.02137433175119441
2018-04-01,0.04507137174064302
2018-05-01,-0.05366460794411876
2018-06-01,-0.14028718459299017
2018-07-01,-0.02441843414097844
2018-08-01,-0.2129205094864296
2018-09-01,0.09771548429061783
2018-10-01,0.07719793199789104
2018-11-01,-0.15300559015116677
2018-12-01,-0.10967968458297006
2019-01-01,0.028532365995866726
2019-02-01,0.03293221549635006
2019-03-01,-0.16572170988841173
2019-04-01,0.003388917636244715
2019-05-01,0.17275541122768523
2019-06-01,-0.026941064133904624
2019-07-01,0.029258282017448067
2019-08-01,-0.0747792376829608
2019-09-01,0.08874815238825362
2019-10-01,0.08289292137130833
2019-11-01,0.04523325050285987
2019-12-01,-0.021710786692190953
2020-01-01,-0.09714405984742136
2020-02-01,-0.08951249448427478
2020-03-01,-0.0795797332883571
2020-04-01,-0.23494340351265242
2020-05-01,0.0010106346575693426
2020-06-01,0.0031984293580200607
2020-07-01,0.04429005782832185
2020-08-01,0.06419214953041008
2020-09-01,0.09373853903253515
2020-10-01,0.05467834679344752
2020-11-01,0.02080237215202385
2020-12-01,0.2575109790875829
2021-01-01,-0.04305059698090996
2021-02-01,-0.038921801856320104
2021-03-01,-0.028275189229104214
2021-04-01,0.0010035993830592727
2021-05-01,0.09799255421190978
2021-06-01,-0.10952785579297308
2021-07-01,0.06688010951613332
2021-08-01,0.12220222770742395
2021-09-01,0.05510612362676093
2021-10-01,0.12351666540488293
2021-11-01,0.06974188702163842
2021-12-01,-0.10684347378254888
2022-01-01,0.05244253173193636
2022-02-01,0.006743591710772767
2022-03-01,0.39634983273628954
2022-04-01,-0.13135960331853513
2022-05-01,0.022616227757880525
2022-06-01,-0.19028329526770948
2022-07-01,-0.022123475405890547
2022-08-01,0.0737553425561519
2022-09-01,-0.2693476071944021
2022-10-01,0.08241167928608162
2022-11-01,0.10640988663668449
2022-12-01,-0.14047609022070073
2023-01-01,0.06613480347180678
2023-02-01,-0.2315550736771157
2023-03-01,-0.005630094075756542
2023-04-01,-0.08844429197369064
2023-05-01,-0.2115405583028095
2023-06-01,-0.027012565556060464
2023-07-01,0.1347074886208539
2023-08-01,0.041945801506633185
2023-09-01,-0.005688725845213294
2023-10-01,-0.08608756606379264
2023-11-01,0.06839858068703464
2023-12-01,-0.19910871470111013
2024-01-01,-0.10747950351356983
2024-02-01,0.031344850892744525
2024-03-01,0.11103317215116881
2024-04-01,0.10678424913298024
2024-05-01,0.01842011255470677
2024-06-01,0.31174709379506016
2024-07-01,-0.1791330576977066
2024-08-01,0.06969978573126978
2024-09-01,0.18483699513628715
2024-10-01,-0.0016423666573663898
2024-11-01,-0.02770671854224649
2024-12-01,0.0035452658622718847
