Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2021-08-01,[GD | 30.0%],[NG | 30.0%],[SV | 20.0%],[CO | 10.0%],[CC | 10.0%],[ZS | 30.0%],[GD | 20.0%],[CC | 10.0%],[CF | 10.0%],[CT | 10.0%]
2021-09-01,[SU | 30.0%],[HE | 30.0%],[LE | 20.0%],[CO | 10.0%],[CT | 10.0%],[SU | 30.0%],[HE | 20.0%],[NG | 10.0%],[CC | 10.0%],[CP | 10.0%]
2021-10-01,[ZC | 40.0%],[LE | 20.0%],[CO | 10.0%],[HE | 10.0%],[NG | 10.0%],[ZW | 20.0%],[CP | 20.0%],[SU | 20.0%],[NG | 10.0%],[ZC | 10.0%]
2021-11-01,[CO | 20.0%],[CF | 20.0%],[CP | 20.0%],[NG | 10.0%],[ZW | 10.0%],[CO | 20.0%],[CC | 20.0%],[HE | 10.0%],[ZS | 10.0%],[SU | 10.0%]
2021-12-01,[CT | 30.0%],[ZC | 30.0%],[SV | 20.0%],[LE | 10.0%],[SU | 10.0%],[ZW | 20.0%],[CC | 10.0%],[HO | 10.0%],[CO | 10.0%],[ZC | 10.0%]
2022-01-01,[SV | 40.0%],[GD | 30.0%],[ZC | 20.0%],[CT | 10.0%],,[ZW | 30.0%],[SV | 20.0%],[HO | 10.0%],[CF | 10.0%],[HE | 10.0%]
2022-02-01,[HO | 30.0%],[CP | 20.0%],[ZS | 20.0%],[CO | 10.0%],[CC | 10.0%],[ZS | 20.0%],[CO | 20.0%],[CT | 20.0%],[GD | 10.0%],[LE | 10.0%]
2022-03-01,[ZW | 30.0%],[ZC | 20.0%],[NG | 20.0%],[CC | 10.0%],[HE | 10.0%],[CO | 20.0%],[CF | 20.0%],[ZS | 20.0%],[SV | 10.0%],[NG | 10.0%]
2022-04-01,[CT | 40.0%],[CC | 20.0%],[HO | 20.0%],[NG | 10.0%],[CO | 10.0%],[ZW | 20.0%],[CF | 20.0%],[HO | 10.0%],[NG | 10.0%],[SU | 10.0%]
2022-05-01,[CO | 60.0%],[HE | 20.0%],[HO | 10.0%],[SV | 10.0%],,[HE | 20.0%],[GD | 10.0%],[HO | 10.0%],[SU | 10.0%],[CO | 10.0%]
2022-06-01,[NG | 40.0%],[CO | 30.0%],[SU | 20.0%],[ZW | 10.0%],,[CO | 20.0%],[HE | 10.0%],[CF | 10.0%],[ZS | 10.0%],[HO | 10.0%]
2022-07-01,[CF | 40.0%],[SV | 30.0%],[CO | 10.0%],[GD | 10.0%],[NG | 10.0%],[HO | 20.0%],[CT | 20.0%],[SV | 20.0%],[NG | 10.0%],[ZS | 10.0%]
2022-08-01,[NG | 50.0%],[GD | 30.0%],[CO | 10.0%],[SV | 10.0%],,[ZS | 30.0%],[GD | 30.0%],[CP | 10.0%],[SV | 10.0%],[CC | 10.0%]
2022-09-01,[SU | 20.0%],[CO | 20.0%],[NG | 10.0%],[ZC | 10.0%],[HE | 10.0%],[CT | 30.0%],[CP | 20.0%],[CO | 10.0%],[ZC | 10.0%],[HE | 10.0%]
2022-10-01,[ZC | 40.0%],[ZS | 20.0%],[LE | 20.0%],[ZW | 10.0%],[SV | 10.0%],[CF | 30.0%],[SU | 20.0%],[ZS | 10.0%],[CT | 10.0%],[ZW | 10.0%]
2022-11-01,[CF | 30.0%],[CT | 20.0%],[CP | 20.0%],[ZW | 10.0%],[CO | 10.0%],[CC | 50.0%],[ZW | 10.0%],[CT | 10.0%],[HE | 10.0%],[CO | 10.0%]
