,sharpe,sortino,treynor,information,calmar,cum_ret,mdd,mer
sharpe,1.0,0.9757130784748748,-0.055457711095766665,0.9792497478048731,0.9213309188955772,0.6090436420833619,-0.7921006205727431,0.9715891879782098
sortino,0.9757130784748748,1.0,-0.12845598653985044,0.9556924918766145,0.9540205146961217,0.697509022021176,-0.788116024147722,0.9697722100814237
treynor,-0.055457711095766665,-0.12845598653985044,1.0,-0.023782287716548004,-0.13976509489326003,-0.19113119515134303,0.09640110926203943,-0.11957427529874483
information,0.9792497478048731,0.9556924918766145,-0.023782287716548004,1.0,0.8939675333590994,0.5914823110239316,-0.7589690737449877,0.9824321485750444
calmar,0.9213309188955772,0.9540205146961217,-0.13976509489326003,0.8939675333590994,1.0,0.7968102246794845,-0.7995184859248994,0.9227991421991316
cum_ret,0.6090436420833619,0.697509022021176,-0.19113119515134303,0.5914823110239316,0.7968102246794845,1.0,-0.49321115879568556,0.6521604907038148
mdd,-0.7921006205727431,-0.788116024147722,0.09640110926203943,-0.7589690737449877,-0.7995184859248994,-0.49321115879568556,1.0,-0.7636131170654608
mer,0.9715891879782098,0.9697722100814237,-0.11957427529874483,0.9824321485750444,0.9227991421991316,0.6521604907038148,-0.7636131170654608,1.0
