run,direction,strategy,sharpe,sortino,treynor_adj,treynor_raw,information,calmar,cum_ret,mdd_raw,mdd_mag,mer_m,one_minus_mdd,mer_ann
883,long,gps,-0.24316299695782984,-0.386620950734907,-0.11771478137773962,-0.11771478137773962,-0.4340429689070127,-0.15694732568703187,-0.7228944512808503,-0.8467490461973188,0.8467490461973188,-0.011949381827335612,0.15325095380268117,-0.14339258192802734
883,long,weighted,0.42529802363381836,0.7786937216541557,0.060064027254070146,0.060064027254070146,,0.15831104733975745,0.5693150019647153,-0.3243346929829375,0.3243346929829375,0.0,0.6756653070170625,0.0
883,short,baseline,0.01386486005341197,0.027111251566954788,0.007290509386234894,-0.007290509386234894,-0.09661758711756442,-0.12666759489680965,-0.6177666951398044,-0.8001015427912426,0.8001015427912426,-0.004432773008734603,0.19989845720875743,-0.05319327610481524
883,short,gps,0.0011650501092503884,0.002515496440907891,0.00041357490887238967,-0.00041357490887238967,-0.11840551442394708,-0.12203820784761311,-0.5471040323275496,-0.6903458389199821,0.6903458389199821,-0.004963599210219068,0.30965416108001786,-0.05956319052262882
884,long,baseline,-0.10685492956999464,-0.15739382468942548,-0.03463132045461123,-0.03463132045461123,-0.22107471646476692,-0.21053556624732084,-0.8737231402928067,-0.975619948779582,0.975619948779582,-0.00951903903850266,0.024380051220417975,-0.11422846846203191
884,long,gps,-0.04062623487366836,-0.05754277023516489,-0.01245054575528429,-0.01245054575528429,-0.2202500247733264,-0.09753537780195211,-0.50322201650704,-0.7667999598539719,0.7667999598539719,-0.005671386126808616,0.23320004014602813,-0.0680566335217034
884,long,weighted,0.3705915760201493,0.6620087668545868,0.05383207533029974,0.05383207533029974,,0.1352965652460672,0.4781296686733827,-0.32799174621469074,0.32799174621469074,0.0,0.6720082537853093,0.0
884,short,baseline,-0.21473630080967612,-0.3931000773817446,-0.14876804807276545,0.14876804807276545,-0.30632567853238113,-0.18511415718000857,-0.7861980296992737,-0.8509631307295193,0.8509631307295193,-0.011848282577127393,0.14903686927048065,-0.14217939092552873
884,short,gps,0.12156822689827257,0.1689499766133513,0.05964567918774309,-0.05964567918774309,0.005935009914275678,-0.064372403776021,-0.41600102379822956,-0.9011795769837686,0.9011795769837686,0.00026221893911527864,0.0988204230162314,0.0031466272693833437
885,long,baseline,0.2635770674443806,0.36074708787112253,0.08151970880593723,0.08151970880593723,0.053851977203694154,0.02514276402647647,0.1923084897776024,-0.7849457489629703,0.7849457489629703,0.0016379776547970472,0.2150542510370297,0.019655731857564567
885,long,gps,0.03869550384927044,0.05677143192942659,0.010489052464553401,0.010489052464553401,-0.2150280088956703,-0.10654293768824362,-0.4302544422132588,-0.5687262401236269,0.5687262401236269,-0.006041059472821643,0.43127375987637306,-0.0724927136738597
885,long,weighted,0.6239075992994431,0.9948982264162957,0.08749086951521816,0.08749086951521816,,0.23469326212318192,1.009195275569121,-0.34347113773407756,0.34347113773407756,0.0,0.6565288622659224,0.0
885,short,baseline,-0.0567911876741801,-0.09299169783778671,-0.020212160931399038,0.020212160931399038,-0.22161882504601466,-0.1444146510022977,-0.6492220512149547,-0.7608721190098444,0.7608721190098444,-0.009345196481497646,0.23912788099015558,-0.11214235777797174
885,short,gps,0.3115357949482997,0.6999946024257272,0.22831157059960883,-0.22831157059960883,0.0790747390364791,0.06495947638050865,0.5536212574882373,-0.7723635774793428,0.7723635774793428,0.002911236129702307,0.2276364225206572,0.03493483355642768
886,long,baseline,0.3567316653393678,0.5869849594089998,0.1673557265292818,0.1673557265292818,0.24859967481889275,0.058775464899676444,0.537267057809589,-0.8326306754688857,0.8326306754688857,0.010590238211312305,0.1673693245311143,0.12708285853574766
886,long,gps,0.520155479503303,1.3523651506661405,0.17214487760605166,0.17214487760605166,0.44070912078230334,0.2775007888941014,3.3258184469829395,-0.6368379471810323,0.6368379471810323,0.018034150964088166,0.36316205281896774,0.21640981156905797
886,long,weighted,0.43078509873998105,0.7670700619914127,0.06548177029172889,0.06548177029172889,,0.11092007658549319,0.6264495842574189,-0.5006438254785632,0.5006438254785632,0.0,0.49935617452143677,0.0
886,short,baseline,0.41848935067970516,0.677892897790303,0.2541253407455921,-0.2541253407455921,0.24693003645875564,0.15026817860981168,1.2989981687435992,-0.6449130246652383,0.6449130246652383,0.010819005445400036,0.35508697533476175,0.12982806534480043
886,short,gps,0.26576786611011366,0.4108229223496305,0.14208024633719565,-0.14208024633719565,0.09989316375946641,0.03259671751381352,0.2242433480127688,-0.6974603402215109,0.6974603402215109,0.004152885986726351,0.30253965977848907,0.04983463184071621
887,long,baseline,0.2680052728939446,0.36954539907421025,0.10364422657614637,0.10364422657614637,0.21385342758518378,0.0166946071090915,0.13058226799118522,-0.8224442356376687,0.8224442356376687,0.007240066637567959,0.17755576436233134,0.08688079965081551
887,long,gps,-0.026428841647955243,-0.04664699936417155,-0.010659437039016843,-0.010659437039016843,-0.10983907166481985,-0.1047973546770137,-0.5578219108338313,-0.8271412816808155,0.8271412816808155,-0.0034647698404750016,0.17285871831918453,-0.04157723808570002
887,long,weighted,0.2083120184148814,0.3438626926199573,0.030823389834601103,0.030823389834601103,,0.04861736141321195,0.19628706776414107,-0.4137046146471153,0.4137046146471153,0.0,0.5862953853528847,0.0
887,short,baseline,0.5439957422364192,1.2095483208597269,0.2114576999569771,-0.2114576999569771,0.4234877555912693,0.3211507398511006,3.221481664931349,-0.5403541847358955,0.5403541847358955,0.020591647205524897,0.45964581526410453,0.24709976646629878
887,short,gps,0.12562605096080814,0.22605164346881287,0.09661469237853132,-0.09661469237853132,0.045711642582570156,-0.04374800611830002,-0.24510054059851727,-0.7030772080191813,0.7030772080191813,0.0017784028218952451,0.2969227919808187,0.021340833862742943
888,long,baseline,-0.10010659508670929,-0.19346677649103897,-0.040537658428900794,-0.040537658428900794,-0.29197694025970583,-0.1887784464110755,-0.7454331080964832,-0.7470662703384287,0.7470662703384287,-0.010585177571472386,0.25293372966157135,-0.12702213085766864
888,long,gps,-0.04987274790343998,-0.10077245388965557,-0.01724461662727977,-0.01724461662727977,-0.2624944156334955,-0.12204032913632529,-0.6169492054874,-0.8286899069029595,0.8286899069029595,-0.00845494615739388,0.17131009309704048,-0.10145935388872657
