Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2018-06-01,[CF | 11.2%],[CC | 11.1%],[ZC | 8.2%],[ZW | 7.6%],[NG | 7.2%],[CO | 8.8%],[ZC | 8.2%],[NG | 7.7%],[CF | 7.4%],[CC | 7.1%]
2018-07-01,[SU | 11.8%],[LE | 9.6%],[ZC | 7.8%],[NG | 7.4%],[HE | 7.4%],[LE | 8.1%],[SU | 7.9%],[HE | 7.6%],[ZS | 7.5%],[ZC | 7.5%]
2018-08-01,[CF | 9.4%],[ZS | 8.9%],[SU | 7.6%],[SV | 7.3%],[ZC | 7.3%],[ZC | 7.9%],[CF | 7.7%],[NG | 7.7%],[LE | 7.3%],[GD | 7.0%]
2018-09-01,[CC | 9.8%],[CP | 9.8%],[SU | 8.2%],[HE | 8.0%],[CF | 7.5%],[SU | 8.4%],[GD | 7.8%],[NG | 7.6%],[CC | 7.6%],[CP | 6.9%]
2018-10-01,[CF | 12.6%],[CT | 8.8%],[ZS | 8.7%],[ZC | 7.4%],[GD | 7.4%],[CF | 8.2%],[GD | 7.7%],[HE | 7.5%],[CP | 7.4%],[CT | 7.2%]
2018-11-01,[CC | 11.6%],[CT | 9.4%],[HE | 8.9%],[GD | 7.9%],[NG | 7.0%],[CC | 8.4%],[CF | 8.2%],[GD | 8.0%],[CT | 7.9%],[SU | 7.4%]
2018-12-01,[CF | 9.8%],[GD | 8.0%],[ZS | 8.0%],[SU | 7.5%],[SV | 7.5%],[CO | 8.2%],[GD | 7.6%],[CF | 7.5%],[ZS | 7.5%],[CP | 7.3%]
2019-01-01,[CC | 13.1%],[GD | 8.0%],[SV | 7.6%],[CF | 7.4%],[SU | 7.4%],[CT | 7.6%],[CC | 7.6%],[ZC | 7.5%],[CO | 7.1%],[SV | 6.9%]
2019-02-01,[ZS | 10.2%],[CF | 9.9%],[CT | 9.0%],[CP | 7.5%],[ZC | 7.0%],[ZS | 8.8%],[CT | 8.1%],[ZW | 7.6%],[CF | 7.5%],[GD | 7.2%]
2019-03-01,[CC | 18.5%],[CF | 9.2%],[SU | 7.8%],[CP | 6.2%],[CO | 6.0%],[CF | 9.6%],[CC | 9.4%],[CP | 7.5%],[SV | 7.2%],[HE | 7.2%]
2019-04-01,[ZS | 10.8%],[CF | 10.7%],[CT | 9.4%],[ZC | 8.2%],[CP | 7.4%],[CF | 8.6%],[ZC | 8.3%],[ZS | 8.2%],[HE | 7.7%],[NG | 7.7%]
2019-05-01,[CC | 17.2%],[CF | 9.2%],[LE | 8.0%],[SU | 6.7%],[HE | 6.5%],[CC | 8.8%],[CF | 8.3%],[SU | 7.9%],[NG | 7.1%],[SV | 7.0%]
2019-06-01,[ZS | 11.3%],[CF | 10.6%],[HE | 8.4%],[ZC | 8.0%],[CT | 7.7%],[ZS | 9.3%],[CF | 9.2%],[HE | 7.8%],[CT | 7.8%],[ZW | 7.4%]
2019-07-01,[CC | 15.6%],[GD | 7.7%],[HE | 7.2%],[CF | 7.2%],[SV | 7.0%],[CC | 10.3%],[SV | 8.2%],[CO | 7.1%],[HE | 6.5%],[CT | 6.5%]
2019-08-01,[ZS | 9.8%],[CF | 9.6%],[ZC | 8.9%],[CT | 8.9%],[GD | 6.8%],[ZS | 9.9%],[ZC | 8.3%],[CT | 7.3%],[CP | 7.0%],[ZW | 6.9%]
2019-09-01,[CC | 12.8%],[CF | 9.6%],[HO | 8.4%],[CO | 7.4%],[CP | 7.4%],[CC | 8.3%],[CF | 8.3%],[NG | 7.5%],[SU | 7.2%],[GD | 7.2%]
2019-10-01,[ZS | 10.0%],[CF | 8.9%],[ZC | 8.5%],[HE | 8.4%],[CT | 8.4%],[CT | 8.4%],[ZC | 8.0%],[LE | 7.5%],[ZW | 7.3%],[HO | 7.3%]
2019-11-01,[CO | 9.1%],[HE | 8.9%],[CC | 7.8%],[HO | 7.5%],[CF | 7.3%],[ZS | 7.8%],[CT | 7.7%],[CO | 7.3%],[SU | 7.0%],[SV | 7.0%]
2019-12-01,[HE | 12.8%],[CF | 8.7%],[ZC | 8.7%],[CT | 8.3%],[ZS | 7.6%],[HE | 9.2%],[ZS | 7.9%],[ZC | 7.6%],[NG | 7.2%],[CT | 7.0%]
2020-01-01,[LE | 9.1%],[GD | 9.0%],[CO | 8.2%],[NG | 7.5%],[ZC | 7.2%],[LE | 7.7%],[CP | 7.6%],[CO | 7.5%],[NG | 7.0%],[CT | 6.9%]
2020-02-01,[CC | 10.2%],[ZW | 9.5%],[ZC | 9.3%],[HE | 8.2%],[NG | 7.6%],[CC | 8.8%],[ZW | 8.6%],[ZC | 8.4%],[NG | 8.1%],[HE | 7.8%]
2020-03-01,[CP | 9.8%],[GD | 8.9%],[NG | 8.1%],[ZS | 8.1%],[HO | 8.0%],[HO | 9.3%],[GD | 9.1%],[CP | 8.7%],[SV | 7.2%],[NG | 7.1%]
2020-04-01,[NG | 9.4%],[HE | 9.2%],[CO | 9.2%],[ZC | 8.7%],[LE | 7.8%],[NG | 8.5%],[LE | 8.5%],[HE | 8.0%],[CF | 7.1%],[HO | 6.9%]
2020-05-01,[CO | 11.8%],[HO | 9.6%],[CP | 9.3%],[HE | 7.6%],[CT | 6.9%],[CO | 8.3%],[SV | 8.1%],[CC | 7.9%],[HO | 7.7%],[CP | 7.7%]
2020-06-01,[ZC | 13.0%],[LE | 8.4%],[NG | 8.3%],[HE | 8.2%],[ZW | 7.1%],[ZS | 8.1%],[CT | 7.4%],[LE | 7.3%],[HE | 7.2%],[SU | 7.2%]
2020-07-01,[CP | 10.9%],[ZS | 10.7%],[NG | 9.1%],[HE | 8.1%],[GD | 7.6%],[ZS | 9.2%],[CP | 7.9%],[HE | 7.8%],[SU | 7.3%],[CT | 6.9%]
2020-08-01,[NG | 9.7%],[HE | 8.8%],[LE | 8.1%],[ZW | 7.5%],[CC | 7.2%],[CC | 8.7%],[CF | 7.9%],[NG | 7.5%],[HE | 6.8%],[ZW | 6.8%]
2020-09-01,[ZS | 11.0%],[CP | 10.4%],[CO | 8.2%],[CT | 8.2%],[HE | 7.7%],[CP | 9.3%],[CT | 8.1%],[ZS | 8.0%],[SV | 7.6%],[LE | 7.2%]
2020-10-01,[CO | 9.3%],[HE | 9.2%],[HO | 7.8%],[LE | 7.6%],[CC | 7.3%],[LE | 8.3%],[HO | 7.9%],[CC | 7.8%],[CT | 7.5%],[SV | 7.0%]
2020-11-01,[CP | 11.3%],[ZS | 9.6%],[HO | 8.8%],[HE | 8.6%],[CO | 7.8%],[ZS | 8.6%],[HE | 8.1%],[NG | 8.0%],[HO | 7.9%],[CO | 6.9%]
2020-12-01,[CC | 11.4%],[LE | 9.0%],[HE | 8.3%],[ZW | 8.3%],[NG | 7.9%],[LE | 8.5%],[CC | 8.0%],[NG | 7.6%],[SU | 7.5%],[HE | 6.8%]
2021-01-01,[CT | 10.8%],[NG | 9.9%],[CP | 9.3%],[ZS | 7.7%],[GD | 7.2%],[CT | 9.0%],[SV | 8.0%],[HE | 7.8%],[HO | 7.8%],[LE | 7.7%]
2021-02-01,[NG | 9.0%],[CC | 8.9%],[HO | 7.5%],[CO | 7.5%],[CF | 7.5%],[CC | 8.1%],[ZW | 7.7%],[CP | 7.6%],[HE | 7.2%],[NG | 7.2%]
2021-03-01,[CT | 10.8%],[GD | 10.2%],[NG | 9.6%],[ZS | 7.2%],[CO | 7.1%],[NG | 8.2%],[CT | 7.9%],[GD | 7.8%],[LE | 7.5%],[CP | 7.2%]
2021-04-01,[HO | 10.0%],[LE | 9.2%],[CC | 8.7%],[NG | 8.2%],[CO | 8.2%],[HO | 9.0%],[CO | 8.7%],[SU | 7.6%],[NG | 7.5%],[CC | 7.3%]
2021-05-01,[CT | 11.2%],[CP | 10.6%],[ZS | 8.5%],[NG | 7.7%],[HE | 6.7%],[CP | 9.8%],[CT | 7.6%],[ZC | 7.0%],[ZS | 7.0%],[LE | 6.7%]
2021-06-01,[LE | 11.5%],[ZC | 8.8%],[CC | 8.6%],[NG | 8.0%],[CO | 7.8%],[LE | 8.5%],[HO | 8.2%],[ZC | 8.1%],[CC | 7.7%],[NG | 7.4%]
