Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2020-01-01,[ZC | 10.5%],[HE | 8.9%],[CT | 7.5%],[CF | 7.3%],[GD | 7.2%],[HE | 8.3%],[ZW | 8.2%],[GD | 7.7%],[CF | 7.4%],[ZC | 7.3%]
2020-02-01,[GD | 10.0%],[LE | 9.4%],[CO | 8.4%],[CP | 7.9%],[SV | 7.7%],[SV | 7.8%],[HO | 7.8%],[LE | 7.5%],[GD | 7.4%],[CP | 7.4%]
2020-03-01,[CC | 12.0%],[ZC | 9.8%],[HE | 8.1%],[ZW | 7.8%],[CT | 7.5%],[CC | 8.7%],[ZC | 8.2%],[ZS | 7.4%],[HE | 7.2%],[CT | 7.2%]
2020-04-01,[CP | 13.1%],[ZS | 10.6%],[GD | 9.2%],[SV | 7.7%],[LE | 6.7%],[CP | 9.0%],[SV | 8.6%],[ZS | 7.9%],[ZC | 7.4%],[HO | 7.2%]
2020-05-01,[GD | 9.5%],[ZW | 9.5%],[LE | 9.1%],[CC | 8.8%],[ZC | 8.3%],[ZC | 7.9%],[HE | 7.9%],[SU | 7.9%],[GD | 7.7%],[SV | 7.5%]
2020-06-01,[CO | 10.8%],[GD | 10.6%],[CP | 9.8%],[ZS | 9.2%],[LE | 6.7%],[CP | 9.5%],[CO | 8.4%],[ZS | 7.4%],[GD | 7.3%],[CT | 7.1%]
2020-07-01,[CC | 10.1%],[CO | 9.2%],[LE | 8.6%],[ZC | 8.3%],[GD | 8.3%],[ZW | 7.7%],[LE | 7.7%],[GD | 7.7%],[CC | 7.6%],[HO | 7.2%]
2020-08-01,[ZS | 12.0%],[CP | 10.8%],[GD | 10.0%],[HO | 7.8%],[LE | 7.6%],[CP | 8.2%],[ZS | 8.2%],[GD | 7.4%],[CT | 7.4%],[ZC | 7.3%]
2020-09-01,[LE | 9.3%],[GD | 9.2%],[CC | 8.8%],[ZC | 8.6%],[ZW | 7.4%],[LE | 8.4%],[SV | 7.7%],[CT | 7.5%],[ZW | 7.4%],[CC | 7.2%]
2020-10-01,[ZS | 13.6%],[CP | 10.9%],[GD | 9.7%],[CT | 8.4%],[CF | 7.0%],[ZS | 9.3%],[CP | 8.0%],[GD | 8.0%],[ZC | 7.2%],[CO | 7.0%]
2020-11-01,[ZW | 10.1%],[CC | 9.4%],[GD | 8.6%],[LE | 8.3%],[SU | 8.3%],[ZW | 9.2%],[SV | 8.2%],[CF | 7.6%],[CC | 7.2%],[SU | 7.0%]
2020-12-01,[CT | 10.1%],[ZS | 9.9%],[ZC | 8.6%],[GD | 8.3%],[CP | 8.2%],[ZC | 8.0%],[CT | 7.9%],[LE | 7.5%],[NG | 7.5%],[SU | 7.2%]
2021-01-01,[CC | 10.7%],[SU | 8.8%],[CO | 7.6%],[LE | 7.5%],[ZW | 7.1%],[CC | 8.6%],[ZW | 8.0%],[SV | 7.8%],[SU | 7.2%],[ZC | 6.8%]
2021-02-01,[CT | 9.7%],[GD | 9.4%],[ZS | 8.8%],[CP | 8.2%],[CF | 7.3%],[CT | 8.3%],[GD | 8.1%],[HO | 7.9%],[LE | 7.7%],[ZS | 7.2%]
2021-03-01,[CC | 9.2%],[CF | 8.2%],[HO | 8.0%],[LE | 8.0%],[ZW | 7.5%],[HO | 8.4%],[LE | 8.2%],[CO | 7.7%],[CC | 7.4%],[ZW | 7.4%]
