,top1_return_gps
2016-01-01,0.005050014299574412
2016-02-01,0.051149789034823145
2016-03-01,0.25703502738921213
2016-04-01,0.16127704436883028
2016-05-01,-0.21177145538189168
2016-06-01,-0.09379046600889596
2016-07-01,0.055236383628229024
2016-08-01,-0.05682143338773071
2016-09-01,-0.16656084240893554
2016-10-01,0.020358309328664337
2016-11-01,-0.005194965513795946
2016-12-01,0.054187139682320584
2017-01-01,0.040025083164114905
2017-02-01,-0.02960317867529716
2017-03-01,-0.0472828435768341
2017-04-01,-0.01407293724769565
2017-05-01,0.004201550869999737
2017-06-01,-0.09466283616465176
2017-07-01,0.05831882528535526
2017-08-01,-0.13013397037042707
2017-09-01,-0.010613634797707716
2017-10-01,-0.033795161016053954
2017-11-01,0.010869230393184548
2017-12-01,-0.16002315636332942
2018-01-01,-6.991681098866831e-05
2018-02-01,-0.009603532326611042
2018-03-01,0.084863610555586
2018-04-01,-0.012431332623170088
2018-05-01,0.005381504028674655
2018-06-01,-0.07086523707737002
2018-07-01,-0.04012148347040623
2018-08-01,-0.10511497509394252
2018-09-01,-0.059752474675716316
2018-10-01,0.021912479497371296
2018-11-01,0.026860796462789827
2018-12-01,0.13103470897515512
2019-01-01,-0.01193518105736946
2019-02-01,-0.1123895490483191
2019-03-01,0.04835766639754602
2019-04-01,-0.12656431120128886
2019-05-01,0.01605731292405066
2019-06-01,0.04254873276203752
2019-07-01,0.05509130001708473
2019-08-01,0.1580509585065797
2019-09-01,0.04451826957447813
2019-10-01,0.07490227399605565
2019-11-01,0.10097694081454778
2019-12-01,-0.01142342741321456
2020-01-01,0.05409589290306216
2020-02-01,-0.1274981028312644
2020-03-01,-0.25747258691719555
2020-04-01,0.047760028330179116
2020-05-01,0.2782137665455653
2020-06-01,0.029831382626314573
2020-07-01,0.08122266751089269
2020-08-01,0.03267094579490304
2020-09-01,-0.10401179345470013
2020-10-01,-0.1334558178463705
2020-11-01,-0.051729559751922616
2020-12-01,0.053320058450911034
2021-01-01,-0.060400162544749225
2021-02-01,0.11506573068428905
2021-03-01,-0.12170324114104636
2021-04-01,-0.04750837376431394
2021-05-01,-0.12767012761991625
2021-06-01,-0.07413224452062994
2021-07-01,0.02305612967337578
2021-08-01,0.4481807169898908
2021-09-01,-0.03874160244530733
2021-10-01,0.0374832898320403
2021-11-01,-0.1366954041499524
2021-12-01,0.05516215968544658
2022-01-01,-0.0027629262552301137
2022-02-01,-0.020463790227618905
2022-03-01,0.18236724091902956
2022-04-01,0.20991249958793756
2022-05-01,-0.10496700729019748
2022-06-01,0.0017250769576822034
2022-07-01,0.10590040748576124
2022-08-01,-0.004794499495852089
2022-09-01,0.004609934145351602
2022-10-01,0.15636490795481883
2022-11-01,0.09412913179170967
2022-12-01,-0.0337627957864437
2023-01-01,0.040010069101083845
2023-02-01,-0.049151244010232964
2023-03-01,0.25133237725442403
2023-04-01,-0.2141885167470191
2023-05-01,-0.05818619937989944
2023-06-01,0.2358180349763721
2023-07-01,0.003248554993765973
2023-08-01,0.04257578255768757
2023-09-01,-0.037158003522843375
2023-10-01,-0.0026931783799086784
2023-11-01,0.08497040433458047
2023-12-01,0.01893900784054714
2024-01-01,-0.0018217857610514088
2024-02-01,-0.027861169521696594
2024-03-01,0.04485944502255834
2024-04-01,-0.12701962357834218
2024-05-01,0.053230582629044454
2024-06-01,-0.26988365010368154
2024-07-01,-0.08698605798177694
2024-08-01,0.025294594140665705
2024-09-01,-0.08592056427976957
2024-10-01,0.08961966093719553
2024-11-01,-0.06586153692480234
2024-12-01,-0.031988774742015225
