run,direction,strategy,sharpe,sortino,treynor,treynor_raw,information,calmar,cum_ret,mdd,mdd_mag,mer_m,mer_ann
1,long,baseline,0.04203325979361957,0.07267698243922,0.014997759027304443,0.014997759027304443,-0.044438065450157264,-0.07784634809905061,-0.4182280836305664,-0.7503359264509529,0.7503359264509529,-0.0013380781826319123,-0.016056938191582947
1,long,gps,-0.08919380089888526,-0.14599203342778183,-0.03683679867996296,-0.03683679867996296,-0.19455885933159306,-0.10494872826529339,-0.5670425003021106,-0.8463010071523495,0.8463010071523495,-0.0053128415505225785,-0.06375409860627095
1,long,weighted,0.22667122744922324,0.3335278244385374,0.03264223203864346,0.03264223203864346,,0.04956303059553423,0.2214102400295579,-0.45339582037349613,0.45339582037349613,0.0,0.0
1,short,baseline,0.333716340030827,0.7272593347690265,0.2293675342018252,-0.2293675342018252,0.23222201687684907,0.07801691374452713,0.6391669262429895,-0.7235009611617405,0.7235009611617405,0.009461818539962908,0.1135418224795549
1,short,gps,-0.4059579294674091,-0.7718510560368413,-0.1489609381095639,0.1489609381095639,-0.4094576139365933,-0.22374517279855916,-0.86255972996511,-0.8844357534240672,0.8844357534240672,-0.015285201836262629,-0.18342242203515155
2,long,baseline,-0.43609841977567126,-0.8017415525983826,-0.1277481661433153,-0.1277481661433153,-0.6040986716778455,-0.2611551489671228,-0.9234248329735223,-0.9510063029370079,0.9510063029370079,-0.01959230516974357,-0.23510766203692285
2,long,gps,0.14411654718660433,0.2698820227073822,0.08127707747853984,0.08127707747853984,0.019304676262194127,-0.01501778887332319,-0.09881114217317621,-0.7653248898895852,0.7653248898895852,0.0005647052637766,0.006776463165319201
2,long,weighted,0.32061665134068335,0.6113096977088895,0.044893285736015254,0.044893285736015254,,0.08002929393054249,0.37296722997607534,-0.44792235052913487,0.44792235052913487,0.0,0.0
2,short,baseline,0.2596742886369774,0.6809959240824325,0.1009275057551443,-0.1009275057551443,0.1496783065842688,0.044322833070904386,0.3468832840296623,-0.7590137256444469,0.7590137256444469,0.007028113872579334,0.08433736647095201
2,short,gps,-0.0016714693988029866,-0.0025430605196391028,-0.0008734864251224428,0.0008734864251224428,-0.09987646825125004,-0.0993383339326243,-0.5178501420101143,-0.7837615977467357,0.7837615977467357,-0.003796576397061575,-0.0455589167647389
3,long,baseline,0.181171123908852,0.354140969728749,0.07275035958471562,0.07275035958471562,0.07435851047386077,-0.0054760860517607595,-0.03927133263300031,-0.8110865127975967,0.8110865127975967,0.0023314233467083105,0.027977080160499726
3,long,gps,-0.20104152838580813,-0.30635433051600136,-0.13377557696218817,-0.13377557696218817,-0.3169163613875539,-0.18429833843124707,-0.7735477992892501,-0.8254396337008232,0.8254396337008232,-0.010509991597090243,-0.12611989916508293
3,long,weighted,0.31348517575115237,0.5064213995817204,0.04501398875845325,0.04501398875845325,,0.07724070959946926,0.36689108978012563,-0.4574860827935363,0.4574860827935363,0.0,0.0
3,short,baseline,-0.22796770290832463,-0.44559027956550895,-0.10918573722557687,0.10918573722557687,-0.2876563572562233,-0.1987580677969771,-0.8285251482330065,-0.8951864694794405,0.8951864694794405,-0.01245327367265732,-0.14943928407188783
3,short,gps,0.061590503254373,0.08122204205850361,0.0259133592500509,-0.0259133592500509,-0.04042755865861731,-0.09013605545552902,-0.44286362665059176,-0.6981316642085819,0.6981316642085819,-0.001625362546338509,-0.019504350556062106
4,long,baseline,-0.17582981074376366,-0.2913594535731707,-0.13024960359882798,-0.13024960359882798,-0.5330750971392014,-0.12111243262652885,-0.648967569456151,-0.906672840659393,0.906672840659393,-0.015116726707050743,-0.18140072048460892
4,long,gps,-0.12304309626622488,-0.19670228315477425,-0.04185015776393226,-0.04185015776393226,-0.4738141372793843,-0.14366675072113186,-0.6928805736039663,-0.8556623435290275,0.8556623435290275,-0.014258972304110938,-0.17110766764933125
4,long,weighted,0.838035022881171,1.3052277405058132,0.12205576932247776,0.12205576932247776,,0.315386985278355,1.717817569796082,-0.3725513913968076,0.3725513913968076,0.0,0.0
4,short,baseline,0.19865286524256434,0.39248995398247044,0.06816336393714463,-0.06816336393714463,-0.08735763806007063,0.007934387379798472,0.045019923971852505,-0.6181791910403835,0.6181791910403835,-0.0035121609256845146,-0.04214593110821417
4,short,gps,-0.49000861204771634,-0.7449934115246336,-0.1553808179766466,0.1553808179766466,-0.637161416374735,-0.30790608331411484,-0.9578417313289466,-0.9632448009380257,0.9632448009380257,-0.02951433460351524,-0.3541720152421829
5,long,baseline,0.27480002176535123,0.5641702260899499,0.12293681937831707,0.12293681937831707,0.18798454887518612,0.05054198602658472,0.3949392968440364,-0.7454362753166691,0.7454362753166691,0.005562722478070454,0.06675266973684545
5,long,gps,-0.25043996496289983,-0.4479551607849281,-0.11852089867360689,-0.11852089867360689,-0.3523552986819368,-0.17677961113534296,-0.7941023839197403,-0.9109890376054819,0.9109890376054819,-0.011137099024271287,-0.13364518829125543
5,long,weighted,0.2695127649350663,0.448189071386804,0.03502212136251125,0.03502212136251125,,0.07164038355613271,0.27067282042773133,-0.37651472207354075,0.37651472207354075,0.0,0.0
5,short,baseline,0.4483375977807716,0.8917143045522669,0.1722751594526077,-0.1722751594526077,0.32262355041976143,0.18287040446527056,1.5863692305843218,-0.6089522134707097,0.6089522134707097,0.013188359177918111,0.15826031013501735
5,short,gps,0.32407514001846366,0.6599465368496854,0.10013920406905055,-0.10013920406905055,0.1987093775426577,0.09060237346413515,0.6462725717459954,-0.6286058130731605,0.6286058130731605,0.007622414336627922,0.09146897203953507
