date,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5,portfolio_6,portfolio_7,portfolio_8,portfolio_9,portfolio_10,portfolio_11,portfolio_12,portfolio_13,portfolio_14,portfolio_15
2016-01-01,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2016-01-31,948.9831153708348,967.5252755739662,1161.1608113002535,929.424504950495,1032.583019793882,1149.706276026175,963.9818548387098,1029.5917997097242,1152.36301369863,975.7353357891753,1081.518048990116,983.9710485133021,1037.0006527415142,1019.0876865671642,1080.44776119403
2016-02-29,994.5722642332496,1274.2112790928027,1219.901887636619,871.255269245992,1055.516594425158,1110.531348813161,1046.8369483433842,937.6186366963091,1128.5023268950938,999.8609869271334,1073.1918334168358,1042.1450125301358,936.866747359527,1029.6144363841963,1032.3769614689656
2016-03-31,900.2332416844166,1169.1620230285437,1164.8114661982456,882.6757775050272,1052.2266725724044,1105.1264492061832,1018.3894060309243,907.1075251048413,1064.1903949470593,961.9532012072004,1004.2558628794418,1053.7885305067562,870.175470097373,1030.3652316311873,969.9453689483817
2016-04-30,862.1970566836438,1147.7368597022414,1062.0529749691705,831.1498829448853,1038.6761953645678,1007.2323452297177,1084.402413146546,857.7126856518669,912.8879899764422,1035.7360789491306,864.7099459329665,935.0396875060242,830.0649661201473,933.9961644021721,841.0624968066618
2016-05-31,829.2309335821249,1282.7326444009946,1006.3200687511345,830.7772159879088,1043.0757446267014,997.6882904899537,1017.3712777026891,911.1539979841231,844.4893801817409,1087.5228828965871,903.8650640848531,1017.9382848546702,789.9394463554289,889.54853399852,837.2541042607133
2016-06-30,819.1659929027767,1242.2655294394576,1009.4008128321001,844.3037748801265,898.7023635246318,911.9257560704896,935.9070406756928,971.0999546191726,686.520912274506,1033.170267486414,917.7326664518114,1128.6007788006957,679.7321195664349,752.3830816268121,858.253815301609
2016-07-31,809.7616243718318,1145.8589900998863,1100.7125966624374,992.6135468068912,984.8951742864392,793.053019117561,922.3669547567416,1119.8813802476752,718.8636752527717,1029.1775096127492,1042.6573386639861,1154.2449421668439,725.3705115628362,762.5059826502995,1040.2330562196566
2016-08-31,853.2115184283351,1230.7476988935316,1228.0476084685426,931.8759235879305,1076.858254122605,749.8491373093696,902.282080125988,1206.4836176500692,809.6794070537751,1020.5594402345407,1046.7698259569145,1095.6854240329083,748.3413634555936,708.1040929331648,1092.3750139402534
2016-09-30,760.4201287801318,1188.382122791896,1601.7329310568243,901.7985850094396,1006.3827980036903,791.0487440206449,848.905473862316,1132.1467885980821,786.8900543247921,959.838044325481,1004.5830646471424,1181.3643308706276,743.4100432986035,697.6342283672525,1123.0158323586306
2016-10-31,801.7726003174101,1190.5183811316765,1580.0946496290633,831.0699295647211,973.9912974703149,818.7596829582465,877.8449868893985,1172.214057787392,791.8106346370735,1036.2027720765618,949.8141729355394,1131.6991358255123,682.5978336799446,658.74848951143,1151.1948377471826
2016-11-30,783.6914533862996,1119.166302828156,1555.4526122004888,696.9139217124122,940.368886788101,887.2114642260632,838.8107146568409,1293.5101917152126,763.6799523354816,1128.7056501330028,1018.01242241964,1051.4775129051789,752.4291064096969,683.0274353649977,1255.8191501648455
2016-12-31,727.5988689062117,1174.0693274525286,1583.0883334942275,580.6233248552417,911.5465398923678,919.370670612365,753.806235984027,1445.036757788211,751.9685552723222,1030.7029834815041,1034.7253582936025,1155.99134716174,777.1169364545,674.5453794648863,1270.4103822227587
2017-01-31,710.1445861024297,1147.7000397759227,1504.8277854179232,555.9482531658251,923.1034156032,890.916885820017,852.9981402994613,1369.2952544699144,801.5111929154431,947.3473349778797,1037.5625267409928,1049.708080695295,808.0540926612512,663.1426403336793,1164.786995843034
2017-02-28,809.4918680965538,1257.574733342894,1498.5295199583175,536.1158555757191,888.7815617157657,879.7258657160746,849.7760554283807,1350.9513629429434,785.0681505831911,953.5095431631655,1104.9352978319087,1076.900916043854,769.6360842098089,704.625095715422,1136.3465066036892
2017-03-31,733.8517114862524,1283.5156198781838,1530.690822696201,529.5197864189737,1021.447853630048,788.6735491741274,824.1429008184125,1449.0415118296685,783.6061870355097,1041.8647763663564,1151.730844471606,1115.766560475753,811.1134506674905,706.8675758896696,1164.833685673132
2017-04-30,773.3150081101319,1279.4417586454965,1616.713294670718,528.6102583152422,1056.4857098904117,894.814614851003,837.2232179703855,1445.860122612991,799.7303912687403,1085.8034117474394,1133.996069213529,1139.654448582583,805.9055407978568,749.5419109912814,1038.7265274078693
2017-05-31,769.9906448823476,1382.2158030061164,1624.5477745027413,521.2229625319254,1079.0338158538366,972.4113496089295,832.6543145340211,1440.3069703275523,712.0372985113082,1105.797814409597,1158.08233816501,1191.1014177233255,832.7898269095131,740.5375898613103,938.7878050791487
2017-06-30,805.9495755356539,1459.7692132274153,1570.8622173717347,438.86775261552185,1125.7284574820455,995.8677696764319,871.1014831491746,1510.7632236698641,732.478184514101,1086.5701359948632,1150.6391514836937,1260.3814022263944,850.3003340886995,708.3050151908392,1034.7637328561939
2017-07-31,730.3248815224206,1395.6605893008345,1611.3747118622923,465.949681738253,1072.7645729678904,931.3671207967577,865.5166802552844,1478.0354722905568,669.8822495205897,1229.4715695679388,1029.7785655469934,1302.1618133750453,840.5447511272253,746.741463165319,956.8774977497255
2017-08-31,831.6122862647476,1307.0281467292036,1560.4379599914053,447.19835535694875,1145.6091107423767,997.1278587517112,941.7987636829239,1422.7915844559336,691.8732277431327,1304.9385525211262,1133.617224632808,1246.8576877111502,892.9430971680113,698.0749218705918,1006.4884705287847
2017-09-30,790.1189682688529,1375.8835018632783,1607.5410696527197,448.2777996629827,1172.767323399267,942.4220934511726,884.7238224535639,1375.6998016452603,695.2637037322681,1366.4296417752055,1197.5072551299984,1290.0741941259741,825.2046273713784,679.7889817696168,969.6412550042968
2017-10-31,792.9845649949522,1258.5514425163226,1618.2890095316372,477.07442641731893,1195.083651243807,964.5363038544439,848.4880187814695,1309.2011749466571,609.1296050536205,1299.3494547269693,1165.9911974269353,1277.37487275577,822.0074723198452,746.4604128787414,925.2212918128687
2017-11-30,824.7280979666687,1284.08598899936,1605.3962538159442,485.44328314939827,1190.8866132370613,961.3713600846294,826.1617557939041,1229.1616210382733,617.3925417898163,1294.08380314293,1205.1880009331558,1217.7977971355938,826.5802448347422,752.4431121119684,925.6540812766422
2017-12-31,845.5103802524611,1229.3269677230685,1623.0693437234188,523.387782904555,1158.1185654386652,887.987474322046,758.665946249637,1243.3171298707223,584.8629441870227,1259.891100440128,1228.8476940576556,1206.7404180606788,766.9314795526592,778.4617617061182,949.927274837392
2018-01-31,961.3318815473617,1140.626174645287,1606.578525650129,531.2670446363246,1095.1286440730173,860.6377722350619,782.5435326580683,1226.3447138676852,568.9797413923793,1196.2968978502768,1264.5185987802877,1189.3411614239028,743.3228782500397,815.4757329277244,948.1305850558202
2018-02-28,914.638862689187,1169.5560228737206,1706.5153000803339,571.6992298241612,1157.5068232166993,857.8445588375052,709.848660779033,1147.9051046314364,568.5931905642177,1249.254481201049,1218.4315302161028,1277.6947465507303,758.5116736441018,768.3169374753174,962.8149517809265
2018-03-31,897.6463940699808,1270.5426871564707,1682.3178122770544,493.07381051119626,1164.559471574238,864.221178783253,669.0090933761354,1182.831684089853,623.1343261857172,1265.253173886428,1371.4927223832085,1345.25984562372,755.6463247918066,792.4873045923986,907.9064038359487
2018-04-30,901.8071584716786,1241.0636418059087,1581.4525156773161,520.3051230631944,1069.9498356366644,859.5367007769173,618.3157647678645,1217.6078711292175,616.1478747338315,1217.4827115118542,1345.782818092279,1268.9015862515153,753.7112509767186,794.5115460517402,913.5314387170524
2018-05-31,891.916987603759,1246.595150209412,1542.1289542448915,504.45547634743866,1086.2366989342047,851.5010667008881,630.2940186699848,1230.7617597945034,704.2690726129401,1120.4362983463861,1344.827268383348,1303.322176961044,732.1830376916947,713.6556029158659,864.3270014690811
2018-06-30,803.4181333273476,1267.4300972424064,1554.8737070232285,596.8694850547097,1169.986631949911,850.371711244838,686.4057333837899,1303.8514260154427,684.5713149952346,1115.8555337030673,1469.0850433255578,1350.3254082015064,759.7296147540816,798.0089011269991,874.2553814833913
2018-07-31,808.3751791065116,1321.7802445652376,1609.4014660254704,689.0575328423422,1214.4656798153326,998.7477442673771,645.330950737916,1260.4123329220504,715.0365305840277,1151.0811518751832,1404.538255906156,1559.2338165155202,794.7649826186524,720.545294421099,894.4305056714695
2018-08-31,849.9609324771375,1258.1683549365437,1613.1262816455292,762.6176396238329,1281.9579463194534,993.7812396193842,686.0135585538335,1366.9008488664842,772.0169312888669,1100.1647587425973,1351.6497440879477,1471.443479307813,810.3279175874653,716.0316899352915,958.8776429262255
2018-09-30,866.760941533131,1186.2322941595828,1542.8386913378238,723.2675960816105,1351.6093156818588,982.0657057866974,684.2985246574489,1293.4945411298654,760.6910020772792,1043.61952592193,1383.2783480996056,1480.157802555001,897.8951353709964,694.770928503586,1035.6339965017107
2018-10-31,891.4120730230475,1162.0933241956714,1566.9451336308146,756.2602149487959,1420.23055622107,900.2419166271889,763.6914555769098,1290.8126699630018,773.1918681953324,987.69899299891,1368.8691986402348,1453.4902928123017,758.4848324820921,699.3398579585678,936.3401748961235
2018-11-30,844.9603881532568,1111.1388435946046,1497.7030227078335,770.8199910496792,1021.0416853765479,895.2812238635232,755.8934022207941,1287.5856382880943,779.5589947318006,1007.5908382426135,1358.2176568778175,1851.250197471628,926.1117840077108,758.5618493471303,947.9511815877295
2018-12-31,807.6553177734584,1022.4166592420424,1527.8218304944878,798.7466055438471,930.8045907318458,1003.2545621166823,826.4677583488256,1882.8640699895006,861.6178362825164,1088.732346738491,1458.4327813737586,1930.100764749928,904.5934692362057,865.308005824818,1007.3202890943837
2019-01-31,814.2250513284813,1147.2902755000289,1524.6056022349253,712.7629629811781,898.3216996898645,977.7847486396189,706.8488805077193,2095.600352786596,856.6103262479462,1055.3569932462356,1415.3539524854077,1876.170236401345,856.1541051742685,820.4282249256951,964.0026630647725
2019-02-28,802.0687474079464,1184.8115673616082,1725.9937258141451,787.1704932202747,926.7971874936131,1013.4857598850427,667.7707833078725,1930.0243567775296,860.8963067952775,1001.5728875488334,1450.9788118579772,1856.1725435099727,930.4355292993714,820.2982274956893,933.2669582110599
2019-03-31,821.6540098595531,1107.3843375285378,1790.4975972257512,830.3325417239051,908.6667175132694,1020.721750126575,570.9440197282312,1932.5594242696377,822.4751945997583,1027.5976419254732,1451.0486179741808,1915.251284773211,951.8121556359282,851.1505552742769,947.7816491783855
2019-04-30,790.4153095588839,1130.5752449374368,1686.8134702100608,839.643581854922,919.0358907863387,1061.8376283261484,598.525997730471,1954.3173777877078,852.5663965664353,1034.1970614863185,1377.1361999810476,2014.3329980830558,1030.8125645537102,862.5132710746955,935.4999674507211
2019-05-31,936.2532131726206,1159.3353732550127,1791.6155210532768,825.3302826704889,778.2614382529804,1149.8673929970582,580.7053165889873,1919.6942403672913,870.1144677288213,1161.151578372493,1168.868305880534,2212.8907230858595,1157.671175313738,763.2995074267917,1000.4943516455535
2019-06-30,888.7916103763142,1121.7034367610745,1893.2186737880515,753.8517680150939,757.433587573366,1159.4902239342157,563.0487360170249,1896.0855425729326,805.8075799652279,1186.8810981175068,1327.0307985199938,2109.3719806686395,1147.6340468762244,750.5314784237968,976.5652142401615
2019-07-31,908.4216997287277,1199.2698249458456,2054.176259343044,702.0040675149822,762.7626461790055,1200.980937544399,591.2891491828788,1968.7959973781096,851.8911498217549,1327.670625266882,1363.4305461283006,2060.6649860635844,1140.5244460941224,772.2436840777485,962.812563382864
2019-08-31,953.1849621050156,1289.4107122720238,2023.9322222292808,746.4276438306465,848.2897718156473,1214.176698320338,549.6123877997642,2143.6901193714107,760.4859743355848,1389.9878653663668,1450.7739936528953,2239.9225300370003,1190.064509997511,834.7349740405673,1068.1995267734274
2019-09-30,905.4673682707701,1229.7567874524025,1885.502606848062,717.8782896168133,813.6103606587279,1226.5969152953883,543.2418079120908,2228.7769628493734,739.994935256353,1305.1196862770523,1271.2369651046884,2434.3838594625563,1126.6493077346681,835.1496546124351,964.299406954894
2019-10-31,921.996952031743,1166.116990465583,1779.2192476128837,710.1162306103315,791.8601945939834,1240.1971034487535,537.1000316605492,2221.1533362225728,726.0701713499604,1225.22807477112,1278.0638152848685,2290.935833416059,1096.5676003842923,813.0027990295555,1051.5191925191837
2019-11-30,980.1230225914783,1201.6670491757332,1853.9085382253807,704.2157156977079,838.7553881540701,1178.3248869735444,575.8359341089392,1962.4953192474477,719.55129033189,1467.0266473263998,1252.2228104932265,2215.493337721146,1101.859176595449,781.5146477309745,996.1312560955093
