,top1_return_gps
2016-01-01,0.027998264498596548
2016-02-01,-0.03282142547683109
2016-03-01,-0.014789065971190896
2016-04-01,-0.11021374835555753
2016-05-01,0.016181940927939564
2016-06-01,-0.03462622419144856
2016-07-01,-0.011945405607042825
2016-08-01,-0.145313129888765
2016-09-01,0.012796765282286904
2016-10-01,-0.041960963016793085
2016-11-01,-0.008347789760591029
2016-12-01,-0.1663085426061497
2017-01-01,0.07264449465996159
2017-02-01,0.11404742813982516
2017-03-01,0.18973337145064173
2017-04-01,0.011022384374869798
2017-05-01,-0.03409795982470254
2017-06-01,0.09921291162153456
2017-07-01,0.08990615182283945
2017-08-01,-0.13483847247588332
2017-09-01,-0.016047414095391566
2017-10-01,0.03328023342905606
2017-11-01,-0.08298431582244103
2017-12-01,-0.02334228191042964
2018-01-01,-0.033743033275275613
2018-02-01,0.2047188977773884
2018-03-01,0.11548006748933282
2018-04-01,0.09236956619595649
2018-05-01,-0.15311835818988717
2018-06-01,-0.10031832750898484
2018-07-01,0.0034128674857889507
2018-08-01,-0.16127079573179925
2018-09-01,-0.06379046840932323
2018-10-01,-0.0478807697350796
2018-11-01,0.03504557366986272
2018-12-01,0.38449018982744443
2019-01-01,-0.1151436362664815
2019-02-01,0.05971393102126288
2019-03-01,-0.03173678309714567
2019-04-01,-0.01985956249019194
2019-05-01,-0.05055298417827736
2019-06-01,0.021765592042604975
2019-07-01,0.16695845336187043
2019-08-01,0.09729447053117979
2019-09-01,-0.0740986459693932
2019-10-01,0.0849026946731275
2019-11-01,-0.029929985278528526
2019-12-01,0.24345175205517755
2020-01-01,-0.0687241025102483
2020-02-01,0.18506946742699526
2020-03-01,0.18624963315355014
2020-04-01,-0.03529252712139297
2020-05-01,-0.07817735288512684
2020-06-01,-0.1497900007346925
2020-07-01,-0.015407677356106264
2020-08-01,-0.09065158581063104
2020-09-01,0.03647691774086592
2020-10-01,0.043099496591647135
2020-11-01,-0.1864680062134788
2020-12-01,0.06854229529563671
2021-01-01,0.030890542374006014
2021-02-01,0.013180014029534615
2021-03-01,-0.052968661450622845
2021-04-01,-0.169276348581483
2021-05-01,-0.009877889850780641
2021-06-01,0.0219520415943264
2021-07-01,-0.04189824453775215
2021-08-01,-0.18910101465310492
2021-09-01,0.13070633708290247
2021-10-01,0.03045474078514787
2021-11-01,-0.07472048432065703
2021-12-01,0.23210464287671217
2022-01-01,-0.2688462504551453
2022-02-01,-0.16346975563513622
2022-03-01,-0.31964555783989257
2022-04-01,-0.0467410552391847
2022-05-01,-0.030863104643546024
2022-06-01,0.12131701237916404
2022-07-01,0.1450018807200706
2022-08-01,-0.15359856516780213
2022-09-01,-0.013968002986596506
2022-10-01,0.03492699819930256
2022-11-01,-0.010523926904810077
2022-12-01,-0.06960819572609456
2023-01-01,0.10555185972525294
2023-02-01,0.05460961435420564
2023-03-01,0.05814626399970857
2023-04-01,0.12417677170999886
2023-05-01,-0.0024206516113162158
2023-06-01,-0.0016401475274867572
2023-07-01,-0.02980640113408528
2023-08-01,-0.07217996283780725
2023-09-01,0.06869239400609173
2023-10-01,-0.016988087615523617
2023-11-01,0.25284997978209045
2023-12-01,0.08406606917678827
2024-01-01,-0.03963681095291782
2024-02-01,0.3697209955810097
2024-03-01,-0.04970425568532444
2024-04-01,-0.16100197000851924
2024-05-01,-0.016368069965322363
2024-06-01,0.084977931157177
2024-07-01,0.06928033781114462
2024-08-01,0.023794131647984607
2024-09-01,0.01744470119551922
2024-10-01,0.12127231102194824
2024-11-01,-0.003021663431458599
2024-12-01,-0.08133155303852424
