date,portfolio_1
2015-12-31 23:59:59.999999,1000.0
2016-01-31 00:00:00.000000,1048.4973166368516
2016-02-29 00:00:00.000000,1080.0633057669568
2016-03-31 00:00:00.000000,1157.0336995867606
2016-04-30 00:00:00.000000,1342.0653334087485
2016-05-31 00:00:00.000000,1348.137706484207
2016-06-30 00:00:00.000000,1556.8975212922476
2016-07-31 00:00:00.000000,1451.6560616371823
2016-08-31 00:00:00.000000,1294.6377714814266
2016-09-30 00:00:00.000000,987.6411610590173
2016-10-31 00:00:00.000000,949.4493166077777
2016-11-30 00:00:00.000000,911.1273405678842
2016-12-31 00:00:00.000000,811.5136851038234
2017-01-31 00:00:00.000000,713.5646029630786
2017-02-28 00:00:00.000000,745.4424491349467
2017-03-31 00:00:00.000000,691.5105579197342
2017-04-30 00:00:00.000000,665.2382264442822
2017-05-31 00:00:00.000000,612.6997074344152
2017-06-30 00:00:00.000000,582.7328020880175
2017-07-31 00:00:00.000000,592.6616437361812
2017-08-31 00:00:00.000000,614.4286409043008
2017-09-30 00:00:00.000000,650.80016584411
2017-10-31 00:00:00.000000,608.4635380341448
2017-11-30 00:00:00.000000,594.9877271502866
2017-12-31 00:00:00.000000,597.4411625988943
2018-01-31 00:00:00.000000,626.0585942873813
2018-02-28 00:00:00.000000,654.7333838139111
2018-03-31 00:00:00.000000,578.7592108215997
2018-04-30 00:00:00.000000,586.8704636686275
2018-05-31 00:00:00.000000,601.1092293694658
2018-06-30 00:00:00.000000,615.3172985403374
2018-07-31 00:00:00.000000,598.4345301616369
2018-08-31 00:00:00.000000,599.1995743053093
2018-09-30 00:00:00.000000,630.0423139418514
2018-10-31 00:00:00.000000,633.4949458222527
2018-11-30 00:00:00.000000,625.1831350482311
2018-12-31 00:00:00.000000,555.1129971593718
2019-01-31 00:00:00.000000,582.5555357606783
2019-02-28 00:00:00.000000,576.7606238786516
2019-03-31 00:00:00.000000,585.3309624664066
2019-04-30 00:00:00.000000,561.851964936585
2019-05-31 00:00:00.000000,497.92289422091136
2019-06-30 00:00:00.000000,542.412546619984
2019-07-31 00:00:00.000000,521.058533170145
2019-08-31 00:00:00.000000,494.108857224479
2019-09-30 00:00:00.000000,523.6114272523995
2019-10-31 00:00:00.000000,552.118874199709
2019-11-30 00:00:00.000000,568.0687243088946
2019-12-31 00:00:00.000000,594.0972163255544
2020-01-31 00:00:00.000000,467.1132124675626
2020-02-29 00:00:00.000000,470.02574251902877
2020-03-31 00:00:00.000000,442.1593514588149
2020-04-30 00:00:00.000000,424.30977882093765
2020-05-31 00:00:00.000000,438.7138718413927
2020-06-30 00:00:00.000000,450.29692846885445
2020-07-31 00:00:00.000000,456.0874234023087
2020-08-31 00:00:00.000000,595.5754846885026
2020-09-30 00:00:00.000000,548.3509719413983
2020-10-31 00:00:00.000000,543.7118653089325
2020-11-30 00:00:00.000000,561.416629187007
2020-12-31 00:00:00.000000,596.1926272949464
2021-01-31 00:00:00.000000,640.2031760555623
2021-02-28 00:00:00.000000,591.9658405565383
2021-03-31 00:00:00.000000,599.5622997286624
2021-04-30 00:00:00.000000,631.7082748490501
2021-05-31 00:00:00.000000,604.1419320924758
2021-06-30 00:00:00.000000,605.08039416283
2021-07-31 00:00:00.000000,634.3670322531432
2021-08-31 00:00:00.000000,654.6426267961469
2021-09-30 00:00:00.000000,746.655538098398
2021-10-31 00:00:00.000000,782.9881237251564
2021-11-30 00:00:00.000000,653.4118874538768
2021-12-31 00:00:00.000000,657.4255348419733
2022-01-31 00:00:00.000000,644.9793610173851
2022-02-28 00:00:00.000000,630.404851609041
2022-03-31 00:00:00.000000,619.9221867124824
2022-04-30 00:00:00.000000,767.9141642524438
2022-05-31 00:00:00.000000,820.7231609057706
2022-06-30 00:00:00.000000,800.0205667840017
2022-07-31 00:00:00.000000,796.3065537790542
2022-08-31 00:00:00.000000,769.5298360104954
2022-09-30 00:00:00.000000,752.2666739732658
2022-10-31 00:00:00.000000,775.3761145374255
2022-11-30 00:00:00.000000,909.5283060234055
2022-12-31 00:00:00.000000,929.1840844477558
2023-01-31 00:00:00.000000,621.1473801376111
2023-02-28 00:00:00.000000,658.5552946249192
2023-03-31 00:00:00.000000,647.1369662124025
2023-04-30 00:00:00.000000,594.690846332551
2023-05-31 00:00:00.000000,608.2586802608987
2023-06-30 00:00:00.000000,546.115750558048
2023-07-31 00:00:00.000000,546.3481929812081
2023-08-31 00:00:00.000000,534.5224834542723
2023-09-30 00:00:00.000000,542.2024478294711
2023-10-31 00:00:00.000000,548.5912671136382
2023-11-30 00:00:00.000000,602.6463426759921
2023-12-31 00:00:00.000000,591.4143713326592
2024-01-31 00:00:00.000000,591.5259589498918
2024-02-29 00:00:00.000000,680.0670694907874
2024-03-31 00:00:00.000000,685.793036038856
2024-04-30 00:00:00.000000,714.890233638742
2024-05-31 00:00:00.000000,740.1284450524093
2024-06-30 00:00:00.000000,679.7931285247959
2024-07-31 00:00:00.000000,625.3872759692586
2024-08-31 00:00:00.000000,690.8261050202515
2024-09-30 00:00:00.000000,646.7132650522699
2024-10-31 00:00:00.000000,673.3476836426673
2024-11-30 00:00:00.000000,678.7713973213523
2024-12-31 00:00:00.000000,686.4145981948768
