date,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5,portfolio_6,portfolio_7,portfolio_8,portfolio_9,portfolio_10,portfolio_11,portfolio_12,portfolio_13,portfolio_14,portfolio_15
2016-01-01,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2016-01-31,920.0089179548157,1011.2149656266524,966.4084837122101,865.443870967742,1048.4973166368516,976.3696128560994,1032.183588317107,959.5039765592301,863.4486166007905,1028.4033659066233,1019.7501448435689,963.6089601769912,856.906502800249,920.9202755905511,1070.561669829222
2016-02-29,922.5167455728528,1041.6585348248616,938.3804524760004,879.3293459025242,995.4404251382547,917.263746928747,1016.5288038942977,908.740857267463,916.4969158805176,1132.63637038278,934.3495931670053,1003.4416145381773,834.1019967285897,695.7748362357656,1169.7049896873195
2016-03-31,1014.1013603562639,1041.5258056537575,970.4886040091284,863.6177995014718,1058.4590624692726,994.6877808173317,1014.614949385728,929.4607037042433,911.2556714172416,1195.0867629387935,960.9541592998958,1062.6957585079006,869.1890285986977,745.3590253004497,1151.0040142581418
2016-04-30,1057.796014120338,1203.5655965559326,1008.2419386256362,968.4357565109704,1118.4632920539545,1085.4805572699338,1107.6674021786216,1066.5368062367752,923.6308361905444,1386.2038033366427,1054.8108354662074,982.0635572059989,914.6543008638603,696.489736083806,1160.1970982681257
2016-05-31,1002.3939478807853,1258.3859389722022,921.5081132199588,1027.087934828172,1064.6684820979235,1075.5043952580736,1163.175456118201,949.5281364259823,955.5540858315247,1379.9001610412972,1101.985387069851,981.6041527680957,983.7983516556662,652.3648874346976,1165.446581617684
2016-06-30,1029.8784183023868,1129.3297490279485,903.0512162208425,958.8734365095289,1042.379958782355,1316.3713447777047,1343.2937716586455,1033.6393639988048,1033.541312041004,1623.3198567572938,1109.9546228568317,973.7213206214424,1030.3823327868793,633.2248195270333,1347.6409218949557
2016-07-31,1039.7782896058231,1128.0495841412076,842.0077455757868,1097.0953023403194,882.206787061648,1080.6606075170823,1176.4443709697343,1014.8237316336109,943.0687690628324,1579.3277823545886,957.6855684121754,980.1108830234533,935.5135594324303,683.0728057087035,1280.5815216862463
2016-08-31,960.3225979301852,1147.4014692484575,795.1377574597169,978.4280552810477,935.0144229427509,1023.9388521847264,1165.9706377650116,1067.934827601167,873.6375969194074,1437.240849180494,960.9498747093851,1050.1399274555272,902.2690093300225,603.429099417702,1342.2862316245958
2016-09-30,1018.2669487703116,1213.4564892165765,803.0406124330364,902.9355164003453,1043.8719415262317,781.1328999523703,1208.8676765877005,1093.3761500045402,824.0010690348452,1481.04509929496,1016.639285221169,1016.3864315902498,903.7185072105673,642.4619250581264,1380.1283780777042
2016-10-31,978.8908125270893,1205.2302460265275,834.096287149314,974.8875534168865,1032.2045254345987,846.4752356940016,1140.7933155498556,1007.7402731343248,868.2838672847972,1425.0680153938104,986.8013662190267,1025.1600404567746,929.1099548193318,617.4034003639648,1452.4209390862688
2016-11-30,1008.8274390882773,1218.209967632531,860.502105238586,879.057745382483,941.4847711923733,764.0809714877984,1094.7482520164303,1195.7292472621507,793.1431747609872,1308.5511566677046,916.0962787269815,1067.50850124963,983.4095052652783,628.4936958730977,1555.4258242184708
2016-12-31,1016.4117371956266,1173.6191044726882,842.3755071942556,902.324227206899,852.0881275881163,818.8762742770742,1070.2659415732319,1134.121396562725,947.2444336273884,1256.4725770768357,815.9393686905203,1181.9562308515613,993.7380520244891,618.172671519899,1694.8149245564912
2017-01-31,1034.5722511902661,1196.4600828180805,852.5812104544937,988.7226194800187,924.7148751801338,764.4237745442587,1098.9323765862873,1187.1448138830517,930.7142418307269,1202.332988255025,847.8983794955087,1039.2950162996055,986.0718099296126,649.1086578689701,1834.7309364115
2017-02-28,1042.500959927554,1194.9992078329692,851.8891066309683,925.8681100987889,807.1754467161884,694.152013896508,1135.6698573043318,1109.192536972414,938.6410803214969,1256.046115122305,874.8736418118255,1059.9866257471026,1001.6974880484735,629.5583733730675,1813.770718282731
2017-03-31,1039.2302380660562,1128.2289621239167,775.7513892745128,902.625460254954,813.1491458969106,662.622603426971,1246.470735386,1100.1522553148677,914.3304650759719,1288.6452015923016,849.2156727811829,1017.9550454659966,929.225843834123,545.055403515706,2013.06723747597
2017-04-30,1040.722742541741,989.4349787354133,732.4875430883449,846.9846263315375,796.4477269023166,646.0205173102995,1242.9751400066293,1096.5418418594359,1020.2149839117907,1239.6861314772605,827.2636861835176,958.9785136814234,939.0452870760292,520.3872073527814,2009.3922668598877
2017-05-31,1041.2077231907283,1089.2983650612684,697.3495108051593,846.393513425642,778.1414690379632,594.999755303151,1254.2967527220264,1055.8439778090055,1010.2248064048438,1248.4937275221555,826.3061535184868,934.3439898248164,859.7959512514508,581.5583250310996,1957.5781421100864
2017-06-30,980.968006600357,1033.3116329158402,679.5780937638143,870.9486062865444,919.5476501850984,565.898547758984,1304.8268899356954,1057.3672309785718,963.4856432692986,1212.9992031040333,745.9213473224166,878.5760503338597,870.6411047274634,552.8364424015784,1893.4461799326975
2017-07-31,982.3674484934294,968.3933057539691,739.3692834362417,937.1372360449891,891.952234871889,497.6266860368952,1388.223786377145,1161.029967956377,909.3291364971841,1220.9498714605377,718.3827178931941,914.3438626335294,909.0634522607864,562.2558975519861,2105.106504023215
2017-08-31,1009.3686438256585,916.0625410918279,676.0900413129255,968.662690279004,806.2037585059695,528.7183038737045,1337.387422368968,1087.4424805787921,852.4626193431671,1134.7330243157483,746.4998978275278,851.9288526501365,794.3560480489787,582.9061668230316,2240.619502562302
2017-09-30,1038.707412792553,986.309152276357,671.0939347576351,1000.4516400953493,778.672893553507,508.45480254091115,1407.9538981406,1024.2839937212123,844.0693318672508,1102.9202361008304,781.7789460731763,805.2531135961698,811.6502569845172,617.4116972829547,2129.10317649788
2017-10-31,1029.7855502113066,958.8832936604697,627.4371325124974,1022.3622162542866,811.9818691383863,460.72895087455527,1374.7628722671798,1114.1839194396634,958.6140273010568,1101.6808567773294,772.7086457717247,809.1975151967199,849.2900679471643,640.5642090701023,2226.0750643718525
2017-11-30,1091.3649379265726,937.646639173649,611.8893444745522,1016.7811766344082,810.5868222921966,460.2935386742938,1315.2476867891598,1162.8558436638184,979.6032461189324,1090.115100703602,762.7367815895907,811.6227065627397,817.5650669968543,628.8351461208829,2222.7647737677503
2017-12-31,1175.6556792541337,1015.9667771095308,597.1115053062541,1000.1851005007738,785.9297175449218,470.953552218672,1320.6711184856808,1118.3766076436775,904.0468549158326,1058.0105824206892,792.7334740232543,798.7762944193074,858.7275731017786,642.6758918335015,2383.6790058569736
2018-01-31,1134.0913524271698,1089.5054087127419,567.1624776636694,1009.7493888722926,823.5757510153236,481.6828549468937,1355.8352667354382,1148.1349773780255,908.7655718865194,1054.7220403817323,799.6912786154008,699.0312234237081,903.5851855128002,629.9825526270445,2304.8699067368175
2018-02-28,1048.6223677242538,1038.1097258572877,555.72333107311,1055.998017139129,775.3020608881876,508.6951903848338,1487.220880052134,1063.4035278950573,966.0158464771098,987.9969445400827,825.7950223848386,697.8051738957137,899.6841302407306,614.284506076186,2236.631978383835
2018-03-31,1058.393268664535,1019.8646744367527,641.1211593381503,958.7577557324374,765.7384291973656,480.7334812116229,1362.1754590313938,1025.8219770536616,1019.322958096562,977.1096401316545,871.8300135580829,673.8186570466131,898.5858246856898,543.0039535873682,2267.59086368096
2018-04-30,997.991199078139,1038.8756476128551,662.9496591916296,948.09592566606,758.3991961703638,508.840962720425,1466.4949162916228,1040.1987701592232,1025.7330176678522,1030.735765018013,872.2040613453028,668.7456057062451,973.158605822533,524.8609990967966,2262.059808588009
2018-05-31,1018.3287032153161,1018.1888095924345,656.7120423242177,918.4473049250583,819.9725342984242,511.07790168501816,1431.441171219091,1035.7396865206558,1050.6195522855373,897.2624478790251,966.1742226219501,703.2863162409726,998.7221853371128,528.030919888325,2226.708387175035
2018-06-30,976.5048431491003,956.312904320796,642.6909816725474,836.5648677896235,787.4780548094242,502.7506931081537,1307.8610208577204,1144.087477764604,934.872170531102,918.4705183943676,892.5341191991306,694.0384766021456,839.8736788098614,527.5508917793355,2218.531225119931
2018-07-31,949.7119915151969,912.4111506909777,612.2354627785397,885.3680351611699,678.5650121373843,554.0193532526055,1346.1791735322265,1190.68917529281,901.7373723533951,880.4134783135398,769.2624381782924,587.9797232537417,830.5550803735425,507.13186214813845,2110.1420225685365
2018-08-31,992.7461904916231,905.7585005408973,573.0520705353156,837.8449435173343,639.629874062317,554.0076505575194,1401.4476821205878,1192.2113631589511,836.9302941530842,791.5186087834223,705.7907570517023,541.8630825006788,875.7132244720425,524.3437699434988,2059.280074647905
2018-09-30,1041.5302214874298,911.9866389233474,604.7681476309361,814.599330985582,672.5536919611031,540.5566351116686,1457.9765661944,1250.531393243376,751.5368494683643,811.6663551888184,712.7222569396939,499.19734431673004,873.5239414108623,518.6537076700633,1943.4072938676477
2018-10-31,1020.3858240978167,1074.2194277511599,572.6734410172376,856.4212660950624,670.5854875910845,481.9418975577559,1410.5782183424417,1190.0032893225705,815.7506032187262,822.4305534658711,716.6279749077235,493.4594062556374,887.2159853908955,507.720029876754,2138.761106351803
2018-11-30,1006.9977869203664,1071.533879181782,525.3274990162496,898.9911443916033,672.4694178780793,501.70516916646915,1952.263169716562,1190.6215107810665,796.3454383357564,826.7656447836131,745.748249509717,481.301972614832,723.0005990108154,396.6405607999235,2102.014812200358
2018-12-31,927.2939120856192,1091.5450835567528,458.2222978240338,935.8182602424571,611.9740208243619,469.7781087641094,2111.0794721487187,1299.5245544030522,776.7482803845344,793.8750889498579,671.3552006945633,459.33399177589,491.9507440113847,367.54107965691287,1866.4222962187162
2019-01-31,1033.968047974497,1147.5430609200864,469.03987811965186,964.814784625095,624.7793676299675,470.16463505613046,2083.5886745920984,1295.7627727982015,688.7485759880914,833.1210584814762,600.1898842158118,534.3843555741773,511.4895652689826,376.8365775595791,1915.83214787795
2019-02-28,1028.9677106933088,1179.4163482985284,464.3741516849854,847.9847795808113,658.0390228630771,453.44326034053023,1907.6708977388325,1308.8328089686183,692.6923962672344,802.7086588396941,629.261719542463,518.6609313332351,460.8280489126561,361.74660798802967,2069.8026483115104
2019-03-31,992.2477833208226,1145.5540035380468,462.03295501061643,842.6433520587238,685.3390740954512,427.7258593708438,2220.052007243566,1269.3150882926602,702.985415810161,780.7622293014175,603.4239004630809,552.1540386904627,442.00805512816856,354.42787484589667,2044.8668236470835
2019-04-30,1040.2818360090698,1116.4525781987609,437.1125311250301,829.1008696149229,690.8691834197136,451.7498305700737,2179.8647965816745,1312.891651669969,667.2408593193569,746.7820351317057,593.6363217617337,507.2915230468626,436.99432014114296,340.21094163781555,2012.092414372224
2019-05-31,1053.755504146474,989.1463965422334,512.4250797850476,932.1890203051362,708.514670198872,415.08224755625844,2561.311068882825,1189.1208514213918,591.3203486833773,699.5872967576246,578.7594502894738,513.5120110673104,424.0255105737756,285.7828138545423,1871.9871707264153
2019-06-30,1061.5483996181015,976.0387260299702,518.5399916093314,953.0391574434341,761.2366638377106,390.8445001192004,2634.020627450612,1220.2859687602906,644.1551089941778,613.129629678561,589.9800072791545,499.87120306510735,442.61343242278383,299.54032140463005,1878.9294468004266
2019-07-31,1081.213325842736,908.3516348327782,491.3083481874553,873.9762427182123,813.376901833627,367.8553321683781,2530.322967327826,1205.7091844750234,650.0934139052179,596.8848549540877,565.3537961570638,484.0964632405539,428.0208699316523,299.9023892806479,1671.295132664236
2019-08-31,969.6758192395763,866.191475565809,448.9713866209895,800.0181313670863,761.1487830736457,329.11528346002433,2366.1105066083655,1109.8751630487682,639.8170295111272,602.7789937244861,537.310662763572,539.5735050524729,405.8831963147163,277.5436957031924,1789.0494862105495
