date,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5,portfolio_6,portfolio_7,portfolio_8,portfolio_9,portfolio_10,portfolio_11,portfolio_12,portfolio_13,portfolio_14,portfolio_15
2016-01-01,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2016-01-31,856.906502800249,1019.7501448435689,1011.2149656266524,966.4084837122101,1048.4973166368516,963.6089601769912,1028.4033659066233,863.4486166007905,920.9202755905511,920.0089179548157,865.443870967742,1032.183588317107,959.5039765592301,1070.561669829222,976.3696128560994
2016-02-29,834.1019967285897,965.7996667683013,1041.6585348248616,981.91386913061,1018.0885236294724,1003.4416145381773,1132.63637038278,791.1377779361048,695.7748362357656,922.5167455728528,821.6499948829214,1016.5288038942977,1018.4536964730619,1169.7049896873195,917.263746928747
2016-03-31,869.1890285986977,987.8204889026836,1041.5258056537575,1015.511584448888,1082.5409507373695,1062.6957585079006,1126.1590718754844,813.6645468106829,745.3590253004497,1014.1013603562639,806.9690427684693,1072.577350901701,1016.5362179015771,1151.0040142581418,994.6877808173317
2016-04-30,914.6543008638603,1001.2354301755352,1082.0425846145174,1173.5041026463084,1213.9297791067156,1232.6409662599665,1236.151360579222,751.9276263370591,696.489736083806,1057.796014120338,880.6272914342413,1230.7601792238938,1109.764874236496,1160.1970982681257,1051.0768052789874
2016-05-31,983.7983516556662,1051.4099050721427,1147.5752275316497,1226.9551957301064,1109.5016954472353,1227.0356377280516,1291.4360468839322,751.5758783407236,652.3648874346976,1002.3939478807853,784.0145656780835,1273.2986728623162,1099.5655260249537,1165.446581617684,1000.5230880574411
2016-06-30,975.8978988607319,1029.398946189202,1124.5904296015708,1101.1224461027828,1035.813650858065,1327.1797397370108,1300.7753343937147,787.1638588210501,754.3491329255918,1029.8784183023868,922.3177505043346,1386.0901851227259,1269.8338112885583,1131.2529468213131,1224.5974342032137
2016-07-31,842.0194075836902,939.289011234718,951.7847127625287,1099.8742559327138,1185.1264694462793,1291.2130818949126,1309.3110262740167,714.6885578195977,813.732126129042,1039.7782896058231,905.5285372431006,1213.9250775580956,1042.4561301769743,1074.961138769431,1141.8184332074238
2016-08-31,902.1817989290945,854.7842640494978,1008.7571837136634,1118.742788426732,1119.156929580583,1223.4398402279883,1313.7738608086945,631.3585743788616,784.8152192982654,960.3225979301852,838.8611744668016,1203.1176584343289,1097.0133757812634,1126.7580483292559,1018.3137114013824
2016-09-30,873.183958904417,904.3211161085729,1126.2000821095241,1183.1479501850833,1130.280203282384,1268.4512192658724,1353.815082031655,672.1980187710822,786.0760273114286,1018.2669487703116,791.2005011801651,917.8231527317477,1123.147434014719,1158.523957922538,939.7437163610836
2016-10-31,897.7174885028866,870.141698470252,1062.7809399857315,1228.9033669265282,1220.3486096618929,1254.2736678073327,1314.0812006552815,645.9796702654992,792.8615602432205,978.8908125270893,729.2317553844607,967.148061435035,1217.0995345154358,1219.2086487370643,933.3730220545265
2016-11-30,950.1823833200448,798.9968995854532,1019.8846368283365,1267.8079865205807,1100.3903923381954,1132.1850920116435,1200.3615115419393,657.5832756747233,825.6139748644163,1008.8274390882773,865.2663401389053,897.8511485582968,1110.1294835818978,1305.6742479553975,943.424978534015
2016-12-31,1052.051564082008,954.2354895078514,997.0765325458323,1221.4016576101703,1129.5150012704096,1024.6809132277078,1152.5887346060756,646.7845468297719,735.3495053697374,1016.4117371956266,820.6850106944905,907.2810935822611,1189.7413093674902,1422.681922589107,923.5515984844386
2017-01-31,925.0697436172256,979.7941180548071,979.6767297770612,1245.1725801404705,1237.66712355157,1112.0184075993225,1143.697030945019,679.1523929565184,796.0565292577948,1034.5722511902661,859.0543809774925,868.1876615022527,1110.6275404557625,1478.4060470532281,934.7407813122309
2017-02-28,897.2078803574706,855.2536313171372,1023.4428918881151,1244.1617805907072,1158.9868564115059,1038.999205708214,1180.0829094491044,671.3936627707799,808.6711512004783,1042.500959927554,887.7727028954876,885.4726477065566,1008.5300452042087,1490.9975444560368,933.5994649870207
2017-03-31,776.7794440499343,938.6958858799259,1050.0050562291237,1132.9646338506268,1129.8920799705013,1012.0893351944206,1145.4738764446008,745.1661736233661,750.164737182822,1039.2302380660562,894.3428817698939,850.3610587725266,962.7211198830684,1478.8454272146207,881.434856623752
2017-04-30,775.3613882697213,915.1767516787315,1046.5592128333876,1069.778916968931,1106.6850199354744,973.6373604668215,1115.8636985008327,701.9940151678136,758.0919812513384,1040.722742541741,839.2126135176637,811.8752951752698,960.0212702975556,1650.1038971816695,773.0013214501988
2017-05-31,866.5045256391949,881.2102055788793,1056.091775239557,1069.0323153133447,1081.2479941706426,980.5547602404166,1087.1990615884645,642.7502702488595,757.214512740065,1041.2077231907283,798.9548914792649,790.9403047708171,950.6205233452382,1519.7836426861982,851.020121324284
2017-06-30,877.4342986330528,840.4400450224052,1004.4387356155735,1041.788847279399,1112.6165532172108,981.9693945783127,981.4340427873759,621.6932124822284,712.0188529102418,980.968006600357,944.1433496301759,751.8775081039992,988.9168717799455,1476.5763790640983,807.2801900885726
2017-07-31,916.1564372693741,922.8355579343597,883.2599435196762,1010.5250015139754,1210.5076829881084,988.4057656596382,998.156120494409,691.1896619897296,741.0059356733583,982.3674484934294,1015.8944887404549,724.1189835006088,1052.1226491755194,1393.5795858778627,756.5624029060336
2017-08-31,851.4624466649274,889.0415797564818,828.0237097802625,1044.5192325211694,1145.0933597954836,1027.0915275369398,930.019911818819,603.9739987181475,694.0400808349519,1009.3686438256585,918.2307337182585,750.7140838075483,1117.8590661392818,1483.2891317009583,691.811680165173
2017-09-30,901.8653503586826,931.057045365913,782.6576930196201,1124.6163144455381,1136.6314566587596,1016.9788560143598,950.2677071351758,573.9140258854273,653.7303429803878,1038.707412792553,883.0388942071446,790.3250793353744,1079.6855564513603,1441.704404723662,714.5151114047904
2017-10-31,935.6846774729695,1057.4064359509398,818.9529906064992,1093.3446102684875,1062.6899528559052,1106.2376203544875,954.9224391712132,600.0534479584361,646.1456791098825,1029.7855502113066,862.2221850637756,824.1324957609866,978.341420343297,1440.0843250739026,730.1634817384672
2017-11-30,918.5518056588662,1103.5980969745713,821.4074194507501,1069.1300036768316,1036.3566721479317,1104.3370196612116,942.5990920467906,599.1611369476677,622.0090819007002,1091.3649379265726,824.8955200057441,823.3536487998717,999.762577936819,1424.9659140323195,726.1775448016533
2017-12-31,964.7987599802009,1108.1487903226537,853.7114938296509,1158.432738695596,1019.4410814310598,1129.9125417966131,927.679577936915,642.5366463076672,635.6995850264145,1175.6556792541337,793.3432663655244,798.3081920959245,922.6513058497899,1382.9998462198007,708.6395127021995
2018-01-31,844.3220739755777,1161.2291173791086,898.3070797879764,1242.2834711480905,1029.1895054734673,1155.654302656549,935.8218015706059,629.8460573065855,614.6821109940931,1134.0913524271698,814.4529731363964,819.5639212649282,919.7834918061502,1390.2184818572448,673.0966297298462
2018-02-28,840.6768757908179,1226.3497877886998,896.7315150145264,1183.6807264631082,1076.3285316311662,1267.641616352997,966.3691554999228,614.151411976738,596.4838457786565,1048.6223677242538,754.3469905565815,771.5253835520962,861.5950409209103,1477.7992532788758,659.5208885263578
2018-03-31,743.1261292259832,1158.9403906508282,865.9070579903226,1162.8772264265576,977.2161601336868,1252.0047979484775,955.7201800906507,622.6523380576546,595.7556774145713,1058.393268664535,727.6877506405995,814.1000368440045,909.625749545382,1353.5460019367383,760.8692545681844
2018-04-30,718.296653392098,1247.6955005363207,937.7678594256744,1184.5540511198974,967.8500151897919,1238.0819250244215,961.7302706504719,621.1335789019747,596.0112789531685,997.991199078139,767.625002911356,861.6987638439136,902.7773518649282,1372.5158146956696,786.7748640929178
2018-05-31,722.6348372159887,1253.1805516339673,1038.801781297542,1160.9663601019613,937.583649458523,1338.6000128398045,957.607562724259,611.4265168613742,611.667700866252,1018.3287032153161,749.276401177775,882.6054673886388,949.4058020887516,1194.7842904480851,779.372190156701
2018-06-30,721.9778964548833,1203.5185836682656,1063.3553346991127,1090.4137829723986,922.307202205457,1310.0203755577957,874.9347369260016,609.1811695397585,514.3808855736037,976.5048431491003,666.7281738408229,974.9340265583992,936.9216225915347,1103.7199289111038,709.8887325610369
2018-07-31,713.9673797942172,1326.2489669167805,1106.6685993189426,1040.355818640513,949.329269247204,1247.9417850110506,843.9243091471552,585.6026133370659,489.2501444040764,949.7119915151969,574.6435117473899,1031.8093153809637,793.7469390153321,1057.9870363126474,611.7067688229723
