Date,NC_Value,Cur_Ret_NC,Tot_Ret_NC,WC_Value,Cur_Ret_WC,Tot_Ret_WC
2012-12-21,980.2469632916415,-0.00028138921975395803,-0.019753036708358485,975.3518550187038,-0.00028138921975395803,-0.024648144981296194
2012-12-24,978.0235515097415,-0.0022682159345168706,-0.021976448490258482,973.1395463993897,-0.0022682159345168706,-0.02686045360061029
2012-12-26,982.8071889252896,0.004891127016485086,-0.01719281107471049,977.8992955255937,0.004891127016485086,-0.022100704474406263
2012-12-27,978.5112934690735,-0.0043710460247178284,-0.021488706530926494,973.6248526973122,-0.0043710460247178284,-0.02637514730268775
2012-12-28,973.5035195819603,-0.005117747664781014,-0.02649648041803976,968.6420863810478,-0.005117747664781014,-0.03135791361895224
2012-12-31,980.3236569509271,0.007005765497278826,-0.019676343049072953,975.4281656890283,0.007005765497278826,-0.024571834310971652
2013-01-31,980.3236569509271,0.0,-0.019676343049072953,975.4281656890283,0.0,-0.024571834310971652
2013-02-28,980.3236569509271,0.0,-0.019676343049072953,975.4281656890283,0.0,-0.024571834310971652
2013-03-31,980.3236569509271,0.0,-0.019676343049072953,975.4281656890283,0.0,-0.024571834310971652
2013-04-30,980.3236569509271,0.0,-0.019676343049072953,975.4281656890283,0.0,-0.024571834310971652
2013-05-31,980.3236569509271,0.0,-0.019676343049072953,975.4281656890283,0.0,-0.024571834310971652
2013-06-03,968.1225527569253,-0.012445995878494376,-0.03187744724307473,960.8797707821976,-0.01491488088879811,-0.03912022921780234
2013-06-04,973.0758213378352,0.005116365244053567,-0.02692417866216479,965.7959826451419,0.005116365244053567,-0.03420401735485812
2013-06-05,970.5306060917086,-0.002615639182800167,-0.029469393908291397,963.2698088303443,-0.002615639182800056,-0.0367301911696557
2013-06-06,966.9721872815932,-0.0036664673816367843,-0.033027812718406824,959.7380114965524,-0.0036664673816367843,-0.04026198850344753
2013-06-07,988.9371765781455,0.02271522344226007,-0.011062823421854495,981.538674873727,0.02271522344226007,-0.018461325126272965
2013-06-10,984.2297115579552,-0.004760125447481611,-0.015770288442044866,976.8664276497732,-0.004760125447481611,-0.02313357235022684
2013-06-11,988.20766976716,0.004041696935675798,-0.011792330232839987,980.8146256969699,0.004041696935675798,-0.019185374303030134
2013-06-12,981.8510013128446,-0.006432522888446313,-0.01814899868715547,974.5055131678512,-0.006432522888446313,-0.025494486832148833
2013-06-13,985.5683526154246,0.0037860645837397566,-0.014431647384575363,978.1950539779151,0.0037860645837397566,-0.021804946022084937
2013-06-14,993.9530399310997,0.008507464036791035,-0.0060469600689002645,986.5170132205991,0.008507464036791035,-0.013482986779400852
2013-06-17,1003.0730382383289,0.00917548208098573,0.003073038238328829,995.5687823979923,0.00917548208098573,-0.004431217602007709
2013-06-18,999.418894491571,-0.0036429488257161413,-0.0005811055084290473,991.941976271236,-0.0036429488257161413,-0.008058023728764074
2013-06-19,1007.3780134907523,0.00796374677630074,0.0073780134907524,999.8415509870434,0.00796374677630074,-0.0001584490129565852
2013-06-20,1034.8171875178684,0.027238210145200892,0.03481718751786844,1027.075445264732,0.027238210145200892,0.027075445264731934
2013-06-21,1039.684358358676,0.004703411288018877,0.03968435835867612,1031.9062035076372,0.004703411288018877,0.031906203507637176
2013-06-24,1058.8602751197984,0.018443979277898315,0.05886027511979841,1050.9386601418669,0.018443979277898315,0.050938660141866876
2013-06-25,1064.2527260728941,0.0050926936063264705,0.06425272607289423,1056.2907687370127,0.0050926936063264705,0.056290768737012664
2013-06-26,1090.790884114702,0.024935954958493767,0.09079088411470204,1082.6303877693117,0.024935954958493767,0.08263038776931175
2013-06-27,1082.483905538967,-0.007615555553965869,0.082483905538967,1074.385555906843,-0.007615555553965869,0.07438555590684293
2013-06-28,1054.1287240820088,-0.026194552465738763,0.05412872408200875,1046.2425070942093,-0.026194552465738763,0.046242507094209184
2013-07-31,1054.1287240820088,0.0,0.05412872408200875,1046.2425070942093,0.0,0.046242507094209184
2013-08-31,1054.1287240820088,0.0,0.05412872408200875,1046.2425070942093,0.0,0.046242507094209184
2013-09-30,1054.1287240820088,0.0,0.05412872408200875,1046.2425070942093,0.0,0.046242507094209184
2013-10-31,1054.1287240820088,0.0,0.05412872408200875,1046.2425070942093,0.0,0.046242507094209184
2013-11-30,1054.1287240820088,0.0,0.05412872408200875,1046.2425070942093,0.0,0.046242507094209184
2013-12-02,1051.8338281953056,-0.0021770546938674196,0.05183382819530569,1041.3548679833832,-0.004671612057132735,0.04135486798338328
2013-12-03,1060.4854224259843,0.008225248132133878,0.060485422425984314,1049.920270166152,0.008225248132133878,0.04992027016615208
2013-12-04,1063.3043800567984,0.002658176690788938,0.0633043800567985,1052.7111437554945,0.002658176690788938,0.05271114375549457
2013-12-05,1063.9078184756904,0.0005675123983404085,0.06390781847569049,1053.3085703814468,0.0005675123983404085,0.053308570381446874
2013-12-06,1072.4896794821493,0.008066357683840009,0.07248967948214924,1061.8049340615976,0.008066357683840009,0.061804934061597594
2013-12-09,1067.083245778257,-0.005041012335431416,0.06708324577825686,1056.452362291171,-0.005041012335431416,0.05645236229117101
2013-12-10,1076.0393548090703,0.008393074360643293,0.07603935480907031,1065.3192455263581,0.008393074360643293,0.06531924552635804
2013-12-11,1093.864336403882,0.01656536214511828,0.09386433640388181,1082.9666446286665,0.01656536214511828,0.08296664462866654
2013-12-12,1096.245192455599,0.0021765551471804034,0.09624519245559893,1085.3237812532577,0.0021765551471804034,0.08532378125325768
2013-12-13,1102.4883311470514,0.0056950203607897265,0.10248833114705147,1091.5047222855444,0.0056950203607897265,0.0915047222855443
2013-12-16,1107.048124270002,0.00413591055263729,0.1070481242700021,1096.0190881846986,0.00413591055263729,0.09601908818469851
2013-12-17,1110.4946006806056,0.003113212817984934,0.11049460068060557,1099.4312288587914,0.003113212817984934,0.09943122885879152
2013-12-18,1106.3281524326721,-0.0037518851918594276,0.10632815243267224,1095.3062891117684,-0.0037518851918594276,0.09530628911176842
2013-12-19,1108.3673741060704,0.0018432340069394204,0.10836737410607045,1097.3251949118737,0.0018432340069394204,0.09732519491187364
2013-12-20,1107.973454222495,-0.00035540552056856356,0.10797345422249505,1096.935199479743,-0.0003554055205686746,0.09693519947974294
2013-12-23,1102.231918849766,-0.0051820152828102595,0.10223191884976601,1091.2508645117866,-0.0051820152828101484,0.09125086451178666
2013-12-24,1110.616890077257,0.007607265843145861,0.11061689007725706,1099.5522999396906,0.007607265843145861,0.0995522999396905
2013-12-26,1112.4241410873842,0.0016272497080442871,0.1124241410873843,1101.341546098747,0.0016272497080442871,0.1013415460987468
2013-12-27,1118.404836430908,0.005376272522886527,0.11840483643090804,1107.262658391351,0.005376272522886527,0.10726265839135096
2013-12-30,1126.4366124787337,0.007181456826900856,0.12643661247873372,1115.214417368628,0.007181456826900856,0.11521441736862781
2013-12-31,1123.336648880567,-0.0027520089136174875,0.12333664888056695,1112.1453373514346,-0.0027520089136175985,0.1121453373514345
2014-01-31,1123.336648880567,0.0,0.12333664888056695,1112.1453373514346,0.0,0.1121453373514345
2014-02-28,1123.336648880567,0.0,0.12333664888056695,1112.1453373514346,0.0,0.1121453373514345
2014-03-03,1124.3576911245214,0.0009089370002943742,0.12435769112452144,1110.3733168797626,-0.0015933353422062924,0.11037331687976248
2014-03-04,1117.676061150679,-0.005942619529875515,0.11767606115067908,1103.7747907214202,-0.005942619529875515,0.10377479072142015
2014-03-05,1094.2331093443365,-0.02097472838615455,0.09423310934433649,1080.623414286554,-0.02097472838615444,0.08062341428655406
2014-03-06,1090.785940050542,-0.0031503061499026375,0.09078594005054197,1077.2191196987983,-0.0031503061499026375,0.07721911969879836
2014-03-07,1104.8881772348589,0.012928510229663903,0.10488817723485888,1091.1459581074137,0.012928510229663903,0.09114595810741366
2014-03-10,1092.6164966764577,-0.011106717232790775,0.09261649667645777,1079.0269084910121,-0.011106717232790664,0.07902690849101224
2014-03-11,1098.317811192433,0.005218038106982403,0.09831781119243299,1084.6573120179776,0.005218038106982403,0.08465731201797766
2014-03-12,1104.0393340739247,0.005209350902977583,0.10403933407392474,1090.3076725657597,0.005209350902977583,0.09030767256575967
2014-03-13,1097.5172767339345,-0.0059074501593378015,0.09751727673393451,1083.866734331734,-0.0059074501593376905,0.08386673433173408
2014-03-14,1120.204106061059,0.020671045283804146,0.12020410606105902,1106.2713926787142,0.020671045283804146,0.10627139267871422
2014-03-17,1117.2485428789917,-0.0026384148799989404,0.11724854287899156,1103.3525897749535,-0.0026384148799989404,0.10335258977495343
2014-03-18,1119.3612156595366,0.001890960425959376,0.1193612156595365,1105.4389858580978,0.001890960425959376,0.10543898585809774
2014-03-19,1110.9624809604727,-0.007503149637103745,0.11096248096047279,1097.144711732516,-0.007503149637103967,0.09714471173251615
2014-03-20,1124.00528648598,0.011740095411891138,0.12400528648597997,1110.0252953289075,0.011740095411891138,0.11002529532890759
2014-03-21,1131.409603028107,0.006587439250642202,0.1314096030281071,1117.3375195285628,0.006587439250642202,0.11733751952856286
2014-03-24,1130.4523189113356,-0.0008460986314853258,0.13045231891133557,1116.3921417823824,-0.0008460986314853258,0.11639214178238233
2014-03-25,1128.1811180346879,-0.0020091080699758956,0.1281811180346879,1114.1491893210696,-0.0020091080699760067,0.11414918932106954
2014-03-26,1114.929190315383,-0.011746276823343726,0.11492919031538307,1101.0620845208005,-0.011746276823343615,0.10106208452080034
2014-03-27,1103.814974115229,-0.009968539972489254,0.103814974115229,1090.0861031190625,-0.009968539972489254,0.09008610311906251
2014-03-28,1101.3573938252134,-0.002226442245889526,0.10135739382521347,1087.6590893674213,-0.002226442245889415,0.0876590893674214
2014-03-31,1104.5025519759276,0.0028557107514306512,0.10450255197592773,1090.7651291228192,0.0028557107514306512,0.09076512912281909
2014-04-30,1104.5025519759276,0.0,0.10450255197592773,1090.7651291228192,0.0,0.09076512912281909
2014-05-31,1104.5025519759276,0.0,0.10450255197592773,1090.7651291228192,0.0,0.09076512912281909
2014-06-02,1100.8133049395065,-0.0033401887843728106,0.10081330493950635,1084.4039632529577,-0.005831838312411963,0.08440396325295785
2014-06-03,1101.0249549140194,0.00019226691171270183,0.10102495491401942,1084.6124582540215,0.00019226691171270183,0.08461245825402153
2014-06-04,1095.2787783982435,-0.005218933948890059,0.09527877839824361,1078.9519374742504,-0.00521893394889017,0.07895193747425044
2014-06-05,1078.6694615451493,-0.01516446513953651,0.07866946154514931,1062.5902084311867,-0.01516446513953651,0.06259020843118668
2014-06-06,1083.0807776594586,0.004089590251299402,0.08308077765945865,1066.935766988713,0.004089590251299402,0.06693576698871317
2014-06-09,1082.1209572004386,-0.0008861947130980319,0.08212095720043866,1065.9902541527924,-0.0008861947130981429,0.06599025415279236
2014-06-10,1079.2480697034464,-0.0026548672566371057,0.07924806970344633,1063.160191531148,-0.0026548672566369946,0.06316019153114794
2014-06-11,1074.9100174309792,-0.004019513580097667,0.07491001743097914,1058.8868047034694,-0.004019513580097667,0.05888680470346941
2014-06-12,1061.6694964142564,-0.01231779479399353,0.06166949641425634,1045.8436543330645,-0.01231779479399353,0.045843654333064476
2014-06-13,1068.5816081855564,0.006510605979210382,0.06858160818555636,1052.6527302822847,0.006510605979210382,0.052652730282284566
2014-06-16,1070.551056532776,0.0018430490775185326,0.07055105653277605,1054.5928209257788,0.0018430490775185326,0.054592820925778884
2014-06-17,1068.3036883126904,-0.0020992629976606114,0.0683036883126904,1052.378953239211,-0.0020992629976605004,0.052378953239210935
2014-06-18,1080.2136514118872,0.011148480745215572,0.08021365141188719,1064.1113797360683,0.011148480745215572,0.0641113797360684
2014-06-19,1067.4860597865338,-0.011782476187667035,0.06748605978653388,1051.5735127433027,-0.011782476187666924,0.051573512743302574
2014-06-20,1061.5215937667278,-0.00558739476279313,0.061521593766727944,1045.6979564055089,-0.005587394762793019,0.04569795640550889
2014-06-23,1061.1488358309964,-0.0003511543598549993,0.061148835830996395,1045.3307550090256,-0.00035115435985511034,0.045330755009025614
