run,direction,strategy,sharpe,sortino,treynor,information,calmar,cum_ret,mdd,mer
1,long,baseline,-0.08936843451143996,-0.15365527222216205,-0.08233669617255665,-0.19676117857093592,-0.12848253430156506,-0.6798502750807902,0.9251959757170699,-0.006965591870260446
1,long,gps,-0.5615901809916226,-0.807643068872709,-0.19467166306474104,-0.7567673060513758,-0.26186835110426043,-0.9171762831065813,0.9232901409349571,-0.02092131549093565
1,long,weighted,0.314498346221734,0.5353787617244081,0.04580609007854571,,0.09385753951114237,0.3733930927596183,0.38230923431262975,0.0
1,short,baseline,-0.12444246008027074,-0.19760760698290367,-0.043998475687939416,0.047277558264751225,-0.18311560011277386,-0.8187942303144901,0.9440391382008807,0.0018239006224460255
1,short,gps,0.15976809584662338,0.31726933217441383,0.0769108127827244,0.39511925454655505,-0.01673454546776919,-0.09658332424649219,0.6706047719278836,0.012202697154453919
1,short,weighted,0.41539595482840086,0.7795353019556038,0.06132230266162146,5.304226298389142,0.14472463881476078,0.5960059759191969,0.368408035565865,0.012311875429205414
2,long,baseline,0.10194973229539406,0.17148561992567662,0.03491560491552912,-0.03680258733300024,-0.04943257656266805,-0.24883329526482956,0.6330220833536104,-0.0010679490846506098
2,long,gps,-0.4800837601225865,-0.7907277178935057,-0.2535559575429641,-0.6693668218302953,-0.20079826198954534,-0.7935119779176606,0.8006908431467998,-0.015592614639136292
2,long,weighted,0.3658883850740835,0.6926527871897777,0.05175350208542755,,0.12498353556075134,0.4582116900644697,0.3424693825774352,0.0
2,short,baseline,-0.0353087490231482,-0.07255942921270817,-0.011290989365668802,0.1755773563344789,-0.14523460096933177,-0.657632021280666,0.7730797814494572,0.0062813697003624115
2,short,gps,-0.07926647632248199,-0.1220250069013622,-0.02716788503495012,0.17286077608865605,-0.11773115333567971,-0.6193505055120525,0.864354387041715,0.005109251931432447
2,short,weighted,0.32670531217601545,0.5171881515749055,0.0457287459071953,5.787395234093296,0.09647984592800603,0.3873943259629933,0.3840253180297494,0.011530150805329133
3,long,baseline,0.7091780849201342,1.55666236195263,0.4176513971466521,0.6687666007310331,0.37683541858560987,10.203617625666933,0.8172339972286473,0.031751901316658955
3,long,gps,0.6149776505744872,1.0284952558403844,0.5951065177427404,0.5388606774048269,0.23488765187869648,4.068356976407838,0.8413329623902538,0.021125856355132294
3,long,weighted,0.24834054266786862,0.4393540686570679,0.035424226938573576,,0.05935579116772243,0.2563243308323455,0.43262218057709856,0.0
3,short,baseline,0.19755500491987596,0.3030365105230965,0.05061314909111909,0.39317456625732855,-0.054935569191468206,-0.24709356434212526,0.5650780409367179,0.01465166397324211
3,short,gps,0.012212539102365985,0.01863077743259826,0.004205189578203223,0.20807623618848042,-0.12334277681404335,-0.532413396273755,0.6566636638605747,0.006693465218410598
3,short,weighted,0.5042502769674894,0.9761999133791893,0.07256416337321053,5.58266054091271,0.24380540518033594,0.7635665994020673,0.2668803239699772,0.012387836956412856
4,long,baseline,-0.24757440189964572,-0.42883260043537774,-0.0961526995828702,-0.41365192843926263,-0.24910680712607342,-0.9075362310950476,0.9331248027219748,-0.017200844492581874
4,long,gps,0.6873785874662219,1.723523366142372,0.2537255014926074,0.579140779012327,0.713772095249808,7.2567774130945715,0.3703584685021961,0.02141465538484202
4,long,weighted,0.5024382876466096,0.8698921926074418,0.0737951622007858,,0.1817411718103407,0.7628885511272037,0.357769007228559,0.0
4,short,baseline,0.0770480098958062,0.18151472274522565,0.03592621760194099,0.30469363213482353,-0.0860759450224532,-0.48705319101641353,0.8305647732733609,0.01270757753502282
4,short,gps,0.020295400377219087,0.04288701999944351,0.007130177054754612,0.31635922456355925,-0.08995698944901744,-0.4863654547601335,0.7931947037621435,0.010033466618063279
4,short,weighted,0.24377959971108965,0.47710246076222174,0.03608893628418029,5.121246671924462,0.06224320085518665,0.2583736640218852,0.4155377118106798,0.012361846831710675
5,long,baseline,-0.15255081567508005,-0.21675257137021633,-0.06444319503567562,-0.24005369311909205,-0.17810122861410174,-0.7943294922985842,0.9048065512636657,-0.008522495084663143
5,long,gps,-0.04748046394830267,-0.07190858643920792,-0.029921339246376414,-0.12211353562112444,-0.13853758535904123,-0.6956092701471799,0.8936167788319355,-0.004633188804696785
5,long,weighted,0.24250490384125778,0.35758844860260974,0.03351122210053184,,0.0692813585531073,0.2408042913653916,0.35020935812097,0.0
5,short,baseline,0.17518394465816636,0.2882475028247213,0.05262833365022542,0.34460441276021136,-0.05545588037759868,-0.36536556250604,0.8884151994180844,0.01402640295712581
5,short,gps,0.3589625940006199,0.6932075125637501,0.1677672654716989,0.5573524507853687,0.11412402604834476,0.805774012076659,0.5946989037654765,0.018996655624841156
5,short,weighted,0.521819168228287,1.0317648347702875,0.07433320092385498,4.615374884242808,0.1736663853595569,0.8416527276082533,0.4042599136541569,0.012767367768224711
6,long,baseline,-0.10125551166485451,-0.15957543321058143,-0.044334024136642676,-0.3035084424773732,-0.15100058825134632,-0.7373594284576388,0.9142010420009259,-0.010871502489731675
6,long,gps,-0.17554491864211455,-0.2836141178172893,-0.07142064922789129,-0.4234575251744569,-0.1456111615179909,-0.7110476158899769,0.8849065483411367,-0.012571325480680847
6,long,weighted,0.65231046737405,0.8630074890867818,0.08487735566349844,,0.22149699143162388,0.9845501743974134,0.3572486434135659,0.0
6,short,baseline,-0.08332530776271756,-0.11641571830403238,-0.029591974602146184,0.24246826938744473,-0.14632072369930843,-0.6729578601252485,0.7981350065694282,0.007725062728293568
6,short,gps,0.1105013845172364,0.2230960553644959,0.044653066310224004,0.45133277500705776,-0.055488491723720376,-0.2571110005666528,0.5854163429800223,0.014277554764391954
6,short,weighted,0.1374963657604708,0.27604347661247564,0.01849369720115885,5.385119662057946,0.0246253875379388,0.09253201955806611,0.4012773425606836,0.012129797772112727
7,long,baseline,0.10356469644071001,0.207024921752724,0.036278055241426604,-0.09839128381622363,-0.08695211468779271,-0.53083877015413,0.9275377176369553,-0.004234165121648507
7,long,gps,-0.2852016164729438,-0.45568991312434615,-0.15185984762765922,-0.6705813780480556,-0.1434428079559938,-0.6760667690646791,0.8206793021247254,-0.015942015978496774
7,long,weighted,0.7305717287062726,1.1797378585660112,0.10901463540391099,,0.26779090815484463,1.4067244111207295,0.3827813060126839,0.0
7,short,baseline,-0.7794366515019369,-1.1343334706601502,-0.36185883637260563,-0.5025964152309068,-0.40207278705322613,-0.9897083975480359,0.9913581260831557,-0.01907180976794906
7,short,gps,0.8721065317366409,2.434157439669988,0.6685331649160149,1.2332862265322324,0.6432297702571947,11.402766915318823,0.5018797508360942,0.04192521188870692
7,short,weighted,-0.0010661864282402547,-0.002186182617469724,-0.00016032907080842267,5.896195149311944,-0.02335223184929073,-0.09962357654485265,0.4964212554319476,0.01212896103922381
8,long,baseline,0.31168986054784353,0.4928236375802572,0.11267807676578132,0.27705206770635293,0.018922507272984886,0.16503526047259442,0.9045958523013055,0.011899451321315794
8,long,gps,-0.019619021265001643,-0.028663487642644873,-0.007417439374544003,-0.08478342675986413,-0.15823842223601986,-0.7218537984497247,0.8375575363945869,-0.003309205758750793
8,long,weighted,0.21139524604204835,0.3257987120256511,0.029853239573274827,,0.05853602201523083,0.19625908781531543,0.34355897449142625,0.0
8,short,baseline,0.3751437693082604,0.7525522192096353,0.17634406681521114,0.5274139699641378,0.16479677923016892,0.8877684346573183,0.44388811587281096,0.02284260965735629
8,short,gps,0.07811795541070057,0.14348112270237798,0.03837168315929855,0.22386039895632398,-0.10246083347821718,-0.5187698776825944,0.7617856007882864,0.009151221209565075
8,short,weighted,0.546664304528599,1.2176035178778073,0.07930597765147307,4.751762748241156,0.24258809683875399,0.9038783014988578,0.30572422095564467,0.012713597993871487
9,long,baseline,0.4908623334858552,0.9101844686125838,0.1684140407224651,0.41168311766333426,0.1788535383480555,2.166903342631231,0.7640232170848531,0.01948711761605508
9,long,gps,0.3105601215632069,0.501615729558495,0.1153508897237916,0.20287552925777183,0.027881279315844287,0.24255430052033056,0.8759781339416538,0.008768287560410284
9,long,weighted,0.4625842207557632,0.7639597882972664,0.06860734718125358,,0.16797789905818225,0.6794060881027271,0.35299838684312834,0.0
9,short,baseline,0.4872975748774457,0.913572850162372,0.23668041618428326,0.7424740684363963,0.18038332421259468,2.141842640230017,0.751983686179295,0.028470437370874707
9,short,gps,0.5160173433248235,0.9051660268721639,0.31062213762423163,0.7914250637697546,0.26663983128143465,2.2002756639859484,0.5174505686771391,0.026703522376808043
9,short,weighted,0.32242746446357184,0.6274924646487262,0.048248398644001614,5.5937765808068045,0.08492704289926059,0.41050701727174865,0.458702258664725,0.013010166376010521
10,long,baseline,0.1499348675747573,0.3230435891233139,0.04291309441984284,0.11147144314952445,-0.08480661112871292,-0.4390963127710438,0.7337269355982574,0.00541414552197973
10,long,gps,0.5075862508287307,0.9165048413113805,0.19712708455603561,0.46583265239820965,0.21988775205648514,2.1952155545606296,0.6265599961088505,0.01564375537985784
10,long,weighted,0.2245207891233539,0.3251922858463942,0.029905573849763493,,0.04835106259880349,0.20863775786173555,0.4400750479243569,0.0
10,short,baseline,0.40062122915649057,0.8339041756495108,0.20810853669075496,0.6048068788142161,0.15561952506230128,1.1405823300275557,0.5670414448173198,0.018914814525789178
10,short,gps,0.1849225178300069,0.547423475767761,0.07355887907261607,0.3328665234728019,-0.018365345129898753,-0.09470608238016376,0.5986375853818884,0.01453183499777254
10,short,weighted,0.5059557788427462,1.0403059081917159,0.06920503961450797,4.98247144673238,0.16655420978525065,0.7304140904624203,0.37719503004648836,0.011868586738101029
11,long,baseline,0.030262587327566273,0.052152246037910285,0.01406488644008627,-0.0841251704080927,-0.1014688658960436,-0.571430187525192,0.885482238581941,-0.0031216534955948246
11,long,gps,0.4227210666734412,0.8366788277374232,0.19799347819826274,0.3097402613080517,0.14244799389407362,1.3401207007125717,0.6955017794648845,0.009894144926434185
11,long,weighted,0.3519175984551278,0.5685485890248787,0.051662428452261905,,0.10802150990571407,0.44563375181329756,0.38695775073950955,0.0
11,short,baseline,-0.16702516601664072,-0.2735065337024392,-0.06087335028513776,0.06117602785802452,-0.1761490820619559,-0.7427701061214831,0.7949869432146549,0.0018870799157069264
11,short,gps,0.8097135028408007,2.034000089418857,0.5043930689498217,1.0335133280660471,0.9507003045924824,10.995599304459809,0.3344133949751458,0.03799995752119361
11,short,weighted,0.3615189250108591,0.6610845434354194,0.053446279472710925,5.634857342786868,0.09488903785855751,0.48658452150541076,0.47464102902272154,0.012129951011309072
12,long,baseline,0.20924092083878204,0.3627097379700207,0.05029979931671917,0.1331252992676191,-0.04990132872784472,-0.32532105967643565,0.8573346102473912,0.0057210250592487025
12,long,gps,0.041265434429448834,0.0764549382032242,0.026106012360693494,-0.08372356575896826,-0.08367018387065678,-0.46568070468973966,0.8039976686902701,-0.0029285441801687935
12,long,weighted,0.38795002259554046,0.5404110802746841,0.05278014656291265,,0.1129487616381006,0.47830563791331904,0.3930098031028937,0.0
12,short,baseline,0.055262973903314146,0.13689385329485457,0.02064536316069582,0.22174544508946795,-0.13207346660975441,-0.6382919002485195,0.8089526220394035,0.010628897666138944
12,short,gps,-0.009981914962831859,-0.02334752325772847,-0.0038561440688607185,0.18065115517555153,-0.12818807578106342,-0.62979449311178,0.8154719352866174,0.007377211775963863
12,short,weighted,0.3907119000126043,0.8767109566465455,0.05521140711416206,4.585980691067266,0.13105026528339503,0.542613208657168,0.37651927681590314,0.012735978414098261
13,long,baseline,0.019287981696409176,0.03804939754043821,0.005324986953753916,0.012636535060225615,-0.1264738112849753,-0.6101141075348556,0.7856601133573469,0.0004556153727570554
13,long,gps,0.020971358453951094,0.04142000108140928,0.010665601330579434,0.012180910864588322,-0.1012560245981497,-0.5159932735694822,0.7650275396079663,0.0004231274284980205
13,long,weighted,0.027409855352229513,0.050678508801221024,0.004045346893796281,,-0.014154827791985826,-0.05822610038302389,0.4693378236737191,0.0
13,short,baseline,0.3130355844068202,0.5294360628429217,0.16274011864167504,0.4235577262185479,0.06848401726512068,0.4582552427664932,0.6250581747753615,0.015417128157174175
13,short,gps,0.371677568380737,0.48855015274017366,0.1651528798377489,0.5062596205486776,0.0799525344544411,0.7605745242422803,0.8113055693072865,0.01592188737793297
13,short,weighted,0.6536680583838743,1.183339447623111,0.09652168253829015,5.9253243935601185,0.2366653841039187,1.1878885659249478,0.38404026930148727,0.011753407087944232
14,long,baseline,0.250278162817122,0.3880550835494852,0.10850895945219335,0.06893336689836067,0.010651442671384398,0.07080066146066089,0.7163065236328484,0.0025269844232085037
14,long,gps,0.24353883820467834,0.418756338831242,0.09792080727626143,0.02803806697321732,0.028215079284896562,0.18946323460561243,0.6898806270131915,0.0008667523029908129
14,long,weighted,0.6395255492033405,1.0517672562542009,0.085372230651946,,0.23143448215268764,0.986981470995538,0.3425432287201321,0.0
14,short,baseline,0.276080118338735,0.5130767968866434,0.09773061365140667,0.5666618366648469,0.03483135892684892,0.24610797423724806,0.710523931301532,0.022111637547042883
14,short,gps,-0.24591155644322926,-0.3830712358334578,-0.1397714887283423,0.046335477910923795,-0.21823017444294707,-0.8455395172384099,0.8587968156814896,0.0016401180189803554
14,short,weighted,0.1322195171508503,0.26208161411333547,0.017846629552035618,6.183775729991113,0.020432462881464095,0.08390227015053542,0.44009183542371333,0.012075696739852594
15,long,baseline,-0.05044611144962095,-0.07962630428571325,-0.026537070392894643,-0.15219585277418743,-0.1245965719882725,-0.6726411046856252,0.936532060003986,-0.005413894939403177
15,long,gps,0.14510749389196653,0.3014653429432912,0.09493034786643051,0.042156843383638516,-0.02927788287616346,-0.16495767112078596,0.6773387271918865,0.0014202171794804894
15,long,weighted,0.2922616213828122,0.478469894522692,0.042588283553402155,,0.09581309770817499,0.3345806334170063,0.34012369883849136,0.0
15,short,baseline,-0.12414432370058855,-0.20459080415016537,-0.04194881593583639,0.04542986701457543,-0.18581471653193243,-0.8026616879491022,0.8879432457320728,0.0016996581228497212
15,short,gps,0.02304679411358392,0.036667827474659735,0.011650638102680685,0.24552349623497588,-0.07811945832022336,-0.43627898328109393,0.7898505040700035,0.007516401427897911
15,short,weighted,0.46871360892777353,0.8045445882557728,0.06893888256677186,5.218248823390856,0.15225344050455325,0.7349009443182903,0.41463280825516424,0.012873270046174452
16,long,baseline,0.38776844718973424,0.6837652032549312,0.14796548818674263,0.1969423742962365,0.10567370498717867,0.9103513783209969,0.7056649890888897,0.008579710722831662
16,long,gps,0.3661540510997591,0.7133145705754032,0.13135938678552717,0.15917412371635628,0.07960367168795933,0.7874420570179195,0.8373913226930401,0.006389932536668357
16,long,weighted,0.8030582527972787,1.1979285174391494,0.11358416526899319,,0.2812524057131059,1.5326855689876133,0.3867426145843985,0.0
16,short,baseline,0.22570969329309895,0.42965619547498113,0.07562285686222177,0.6110532646554119,0.01901825622834842,0.10238513865832011,0.5725838522550433,0.021307308405136706
