Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2018-05-01,[LE | 15.6%],[ZW | 14.7%],[CC | 13.1%],[CF | 9.2%],[HE | 8.0%],[CF | 8.6%],[CP | 8.2%],[ZW | 7.7%],[LE | 7.7%],[HE | 7.1%]
2018-06-01,[LE | 19.1%],[CC | 11.4%],[HE | 11.0%],[SU | 9.2%],[ZW | 8.0%],[GD | 8.9%],[HO | 7.8%],[CC | 7.8%],[LE | 7.6%],[HE | 7.2%]
2018-07-01,[LE | 23.0%],[ZW | 14.0%],[HE | 9.7%],[CC | 8.6%],[CF | 7.2%],[LE | 9.5%],[HO | 7.1%],[CO | 7.1%],[CC | 7.0%],[ZW | 7.0%]
2018-08-01,[CC | 22.1%],[LE | 18.2%],[ZW | 13.8%],[HE | 11.8%],[SU | 6.9%],[CC | 10.5%],[HE | 8.8%],[ZW | 8.5%],[CO | 7.3%],[LE | 7.1%]
2018-09-01,[LE | 23.7%],[HE | 15.2%],[SU | 9.5%],[ZS | 7.1%],[ZW | 6.9%],[LE | 9.6%],[ZC | 7.4%],[HO | 7.3%],[ZS | 7.2%],[CP | 7.1%]
2018-10-01,[CC | 27.0%],[HE | 16.0%],[LE | 13.2%],[SU | 11.7%],[ZW | 8.6%],[CC | 11.4%],[HE | 9.4%],[LE | 7.9%],[SU | 7.1%],[ZW | 7.0%]
2018-11-01,[LE | 20.4%],[SU | 15.5%],[ZW | 10.1%],[ZS | 7.9%],[HE | 6.9%],[SU | 8.9%],[ZC | 8.6%],[ZW | 8.5%],[SV | 8.4%],[LE | 8.1%]
2018-12-01,[CC | 29.5%],[LE | 17.6%],[CT | 8.1%],[ZW | 7.1%],[SU | 5.7%],[CC | 10.3%],[LE | 9.0%],[SU | 8.1%],[ZW | 7.5%],[ZS | 6.6%]
2019-01-01,[LE | 15.0%],[ZS | 14.9%],[NG | 8.7%],[HE | 8.6%],[ZW | 8.0%],[ZS | 9.5%],[ZC | 8.5%],[LE | 7.8%],[CP | 7.6%],[CO | 7.5%]
2019-02-01,[CC | 36.9%],[LE | 12.6%],[CO | 8.5%],[HE | 8.4%],[ZW | 7.4%],[CC | 14.4%],[HO | 8.5%],[LE | 7.9%],[CO | 7.8%],[ZW | 7.5%]
2019-03-01,[HE | 16.0%],[ZS | 13.1%],[CT | 11.0%],[CO | 10.3%],[LE | 9.2%],[ZS | 9.6%],[CT | 9.2%],[CO | 8.2%],[HO | 8.2%],[HE | 8.2%]
2019-04-01,[CC | 17.4%],[LE | 12.8%],[HE | 12.8%],[CO | 10.4%],[SU | 9.0%],[CO | 9.5%],[CC | 9.2%],[LE | 8.8%],[SV | 8.4%],[SU | 7.9%]
2019-05-01,[ZS | 18.8%],[CT | 12.8%],[CO | 11.7%],[LE | 10.3%],[CC | 9.6%],[CT | 10.3%],[ZS | 10.3%],[CO | 9.3%],[LE | 8.8%],[ZC | 6.7%]
2019-06-01,[CC | 15.0%],[CT | 12.9%],[LE | 11.9%],[NG | 10.7%],[CO | 6.7%],[CC | 9.5%],[CT | 8.4%],[LE | 8.4%],[SV | 8.1%],[GD | 7.7%]
2019-07-01,[CC | 14.7%],[ZS | 12.0%],[NG | 11.2%],[LE | 10.1%],[HE | 9.1%],[ZS | 9.9%],[CC | 9.3%],[CF | 8.4%],[ZC | 7.6%],[LE | 7.5%]
2019-08-01,[HE | 25.1%],[CO | 13.0%],[HO | 9.0%],[NG | 9.0%],[CC | 7.6%],[HE | 11.2%],[CO | 9.7%],[CP | 9.5%],[LE | 8.3%],[HO | 7.4%]
2019-09-01,[HE | 27.2%],[CC | 14.9%],[CO | 10.7%],[NG | 8.7%],[LE | 7.0%],[HE | 11.9%],[CC | 9.0%],[CO | 8.0%],[ZW | 7.4%],[ZC | 7.4%]
2019-10-01,[HE | 14.9%],[CO | 14.3%],[NG | 11.6%],[HO | 10.9%],[LE | 9.1%],[CO | 10.0%],[LE | 8.0%],[SU | 8.0%],[CP | 7.9%],[HE | 7.9%]
2019-11-01,[CC | 25.0%],[NG | 10.0%],[HE | 9.6%],[LE | 7.9%],[CO | 7.7%],[CC | 10.7%],[ZS | 8.9%],[CF | 8.5%],[ZC | 7.5%],[CT | 7.3%]
2019-12-01,[LE | 13.1%],[CO | 12.0%],[NG | 10.9%],[HO | 9.3%],[GD | 7.7%],[GD | 9.3%],[LE | 8.2%],[CO | 7.9%],[CP | 7.9%],[ZW | 7.7%]
2020-01-01,[HE | 22.3%],[CC | 17.2%],[CO | 9.0%],[NG | 7.9%],[LE | 7.6%],[CC | 10.4%],[HE | 10.1%],[CF | 8.4%],[CT | 7.7%],[HO | 7.7%]
2020-02-01,[HE | 29.1%],[LE | 15.4%],[CO | 7.9%],[HO | 7.9%],[CF | 5.8%],[HE | 13.4%],[LE | 9.3%],[SV | 8.2%],[CT | 8.0%],[HO | 7.4%]
2020-03-01,[HE | 19.9%],[CC | 17.9%],[LE | 12.2%],[ZC | 8.3%],[ZW | 6.7%],[CC | 13.0%],[HE | 9.9%],[ZW | 8.7%],[LE | 7.5%],[ZC | 6.7%]
2020-04-01,[HE | 19.0%],[LE | 15.6%],[ZC | 10.4%],[HO | 8.5%],[ZS | 6.3%],[SV | 8.7%],[LE | 8.5%],[GD | 8.1%],[ZC | 8.0%],[HE | 7.5%]
2020-05-01,[LE | 19.7%],[CO | 11.4%],[CF | 11.3%],[HE | 7.8%],[HO | 7.0%],[LE | 9.3%],[SU | 8.7%],[SV | 8.5%],[CF | 8.0%],[CP | 7.3%]
2020-06-01,[CO | 84.5%],[HO | 6.5%],[LE | 3.8%],[HE | 2.0%],[SU | 0.6%],[CO | 37.5%],[HO | 11.2%],[LE | 7.9%],[GD | 4.8%],[CC | 4.6%]
2020-07-01,[CO | 49.9%],[HO | 23.7%],[LE | 8.3%],[HE | 5.1%],[ZW | 2.3%],[CO | 21.2%],[HO | 14.0%],[LE | 8.0%],[ZW | 6.7%],[ZC | 5.4%]
2020-08-01,[HO | 27.7%],[CO | 19.1%],[LE | 14.6%],[HE | 5.8%],[CP | 5.5%],[HO | 10.9%],[CO | 8.7%],[CP | 7.6%],[LE | 7.3%],[CC | 7.1%]
2020-09-01,[CO | 16.4%],[HO | 14.0%],[LE | 11.7%],[HE | 11.2%],[NG | 8.2%],[LE | 9.4%],[GD | 7.6%],[CF | 7.6%],[ZW | 7.4%],[SV | 7.3%]
