,sharpe,sortino,treynor_adj,information,calmar,cum_ret,one_minus_mdd,mer_ann
sharpe,1.0,0.972779138663167,0.7632773303921848,0.9819785688061314,0.9192967585233044,0.4980950150793879,0.638702854748848,0.8642686515017195
sortino,0.972779138663167,1.0,0.771663451216903,0.9609108758213328,0.9406354118383867,0.5683288402651754,0.5704575072673665,0.9018304600803203
treynor_adj,0.7632773303921848,0.771663451216903,1.0,0.7991746551097737,0.724442021491142,0.434643792527234,0.34497286281268214,0.7717911102188592
information,0.9819785688061314,0.9609108758213328,0.7991746551097737,1.0,0.8953893648349323,0.5326865336796461,0.6816531375805266,0.9777522078328106
calmar,0.9192967585233044,0.9406354118383867,0.724442021491142,0.8953893648349323,1.0,0.7018507782744987,0.6270905772346431,0.8415902808283483
cum_ret,0.4980950150793879,0.5683288402651754,0.434643792527234,0.5326865336796461,0.7018507782744987,1.0,0.20480993897855956,0.5833037725791375
one_minus_mdd,0.638702854748848,0.5704575072673665,0.34497286281268214,0.6816531375805266,0.6270905772346431,0.20480993897855956,1.0,0.32002514333195603
mer_ann,0.8642686515017195,0.9018304600803203,0.7717911102188592,0.9777522078328106,0.8415902808283483,0.5833037725791375,0.32002514333195603,1.0
