Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2018-06-01,[LE | 20.6%],[ZW | 15.8%],[HE | 13.2%],[CF | 13.1%],[SU | 6.8%],[ZW | 9.7%],[HE | 8.9%],[CF | 8.9%],[LE | 8.4%],[SV | 7.9%]
2018-07-01,[LE | 18.7%],[HE | 14.9%],[CC | 12.5%],[ZW | 9.7%],[SU | 8.8%],[HE | 9.1%],[ZW | 8.6%],[LE | 8.3%],[NG | 7.9%],[CF | 7.5%]
2018-08-01,[LE | 21.6%],[CF | 12.6%],[SU | 12.1%],[ZW | 9.2%],[HE | 8.1%],[LE | 10.1%],[CF | 9.0%],[CT | 7.6%],[GD | 7.5%],[ZW | 7.5%]
2018-09-01,[CC | 23.2%],[LE | 13.8%],[ZW | 11.2%],[HE | 10.5%],[SU | 7.4%],[CC | 13.3%],[ZW | 7.5%],[LE | 7.5%],[CF | 7.5%],[NG | 6.8%]
2018-10-01,[LE | 19.6%],[CF | 17.7%],[ZS | 9.9%],[CT | 9.6%],[ZW | 7.9%],[CF | 11.5%],[ZS | 8.9%],[LE | 8.3%],[CT | 7.1%],[ZC | 6.8%]
2018-11-01,[CC | 27.2%],[LE | 14.9%],[CT | 14.1%],[HE | 10.4%],[ZW | 6.9%],[CC | 12.3%],[CT | 10.3%],[HE | 9.5%],[CF | 7.6%],[LE | 7.4%]
2018-12-01,[LE | 17.5%],[HE | 12.7%],[ZS | 11.6%],[SU | 8.9%],[CF | 8.5%],[CF | 9.2%],[ZS | 8.5%],[LE | 8.2%],[SU | 7.6%],[CT | 7.4%]
2019-01-01,[CC | 30.2%],[LE | 15.5%],[SU | 10.6%],[HE | 7.8%],[CO | 6.4%],[CC | 13.6%],[LE | 9.0%],[HE | 8.1%],[CT | 7.6%],[CO | 7.1%]
2019-02-01,[LE | 12.7%],[ZS | 12.2%],[CT | 11.8%],[CF | 9.0%],[HE | 8.1%],[CF | 9.1%],[ZS | 8.3%],[LE | 8.0%],[CT | 7.9%],[NG | 7.9%]
2019-03-01,[CC | 30.1%],[LE | 16.2%],[CF | 6.5%],[HE | 6.2%],[SU | 5.9%],[CC | 14.6%],[LE | 8.9%],[SU | 7.3%],[ZC | 6.9%],[CF | 6.7%]
2019-04-01,[ZS | 14.5%],[CF | 11.3%],[CT | 10.7%],[LE | 8.8%],[HE | 7.7%],[ZS | 10.2%],[ZC | 10.1%],[CF | 8.1%],[CT | 8.1%],[ZW | 7.7%]
2019-05-01,[CC | 14.7%],[HE | 14.1%],[NG | 13.2%],[CO | 9.5%],[LE | 8.7%],[CF | 9.0%],[CC | 8.9%],[LE | 8.4%],[NG | 8.3%],[HE | 7.8%]
2019-06-01,[HE | 23.9%],[CO | 17.1%],[ZS | 9.5%],[CC | 8.8%],[CF | 8.4%],[HE | 12.6%],[ZS | 9.5%],[CO | 9.0%],[NG | 7.6%],[CF | 7.5%]
2019-07-01,[HE | 13.7%],[CO | 13.5%],[CC | 10.7%],[HO | 8.7%],[CT | 8.0%],[HE | 9.6%],[CO | 8.0%],[ZW | 7.9%],[SV | 7.5%],[HO | 7.2%]
2019-08-01,[CC | 16.2%],[NG | 11.4%],[CO | 9.6%],[HE | 8.6%],[LE | 8.4%],[CC | 9.4%],[NG | 8.2%],[SV | 7.4%],[ZS | 7.3%],[ZC | 7.2%]
2019-09-01,[NG | 13.9%],[CO | 12.2%],[LE | 11.3%],[HO | 11.2%],[HE | 8.5%],[NG | 8.4%],[CO | 8.3%],[CP | 7.8%],[HO | 7.8%],[LE | 7.5%]
2019-10-01,[CC | 19.6%],[HE | 12.4%],[NG | 10.0%],[LE | 9.4%],[CO | 8.2%],[CC | 11.0%],[ZS | 9.3%],[HE | 8.9%],[CT | 8.2%],[LE | 7.1%]
2019-11-01,[HE | 29.3%],[LE | 11.9%],[CO | 11.5%],[NG | 10.9%],[HO | 8.8%],[HE | 12.9%],[CO | 10.6%],[CP | 7.8%],[LE | 7.2%],[HO | 7.0%]
2019-12-01,[HE | 35.1%],[CC | 22.0%],[CO | 6.5%],[CF | 6.1%],[LE | 5.6%],[HE | 18.0%],[CC | 13.1%],[CF | 7.1%],[CO | 6.5%],[NG | 6.5%]
2020-01-01,[LE | 16.8%],[HE | 10.1%],[CO | 10.0%],[NG | 9.9%],[HO | 7.8%],[LE | 8.8%],[CO | 8.7%],[CP | 8.2%],[SU | 7.6%],[HO | 7.5%]
2020-02-01,[CC | 20.9%],[LE | 11.4%],[ZC | 10.1%],[NG | 10.0%],[HE | 10.0%],[CC | 12.4%],[ZW | 8.8%],[NG | 7.6%],[ZC | 7.4%],[CO | 7.1%]
2020-03-01,[HE | 15.9%],[LE | 14.8%],[CO | 11.9%],[NG | 11.7%],[HO | 9.1%],[HO | 9.5%],[LE | 8.8%],[NG | 8.7%],[CO | 7.9%],[GD | 7.7%]
2020-04-01,[CO | 63.3%],[HE | 7.0%],[HO | 6.6%],[LE | 6.3%],[NG | 4.3%],[CO | 28.0%],[NG | 9.3%],[HO | 7.6%],[HE | 7.5%],[ZC | 5.7%]
2020-05-01,[CO | 53.9%],[HO | 16.8%],[HE | 14.0%],[LE | 3.2%],[NG | 3.0%],[CO | 29.6%],[HO | 12.6%],[HE | 10.0%],[CP | 5.4%],[ZW | 4.8%]
2020-06-01,[HE | 17.9%],[HO | 12.0%],[LE | 12.0%],[NG | 11.1%],[ZC | 10.7%],[CF | 8.4%],[ZC | 8.3%],[HE | 8.3%],[NG | 7.9%],[SV | 7.3%]
2020-07-01,[HE | 20.1%],[CO | 18.6%],[LE | 9.4%],[NG | 8.7%],[HO | 8.1%],[HE | 10.6%],[CC | 8.2%],[CP | 8.1%],[NG | 8.0%],[ZS | 7.1%]
2020-08-01,[CO | 47.0%],[HE | 14.6%],[HO | 9.1%],[NG | 6.0%],[LE | 5.7%],[CO | 17.7%],[HE | 11.3%],[NG | 8.5%],[GD | 7.0%],[LE | 7.0%]
2020-09-01,[CO | 50.7%],[HO | 18.0%],[HE | 9.9%],[LE | 4.4%],[SU | 2.7%],[CO | 18.9%],[HO | 11.2%],[HE | 9.1%],[CP | 7.4%],[CT | 5.7%]
2020-10-01,[CO | 40.5%],[HO | 26.9%],[HE | 10.4%],[LE | 8.4%],[CF | 2.8%],[CO | 16.1%],[HO | 14.9%],[HE | 9.2%],[LE | 8.6%],[NG | 6.4%]
2020-11-01,[HO | 29.2%],[CO | 26.4%],[LE | 13.8%],[HE | 7.9%],[NG | 5.5%],[HO | 12.1%],[CO | 12.0%],[HE | 8.5%],[CP | 8.3%],[LE | 7.5%]
2020-12-01,[HE | 19.9%],[LE | 18.9%],[CO | 10.8%],[HO | 9.5%],[NG | 7.4%],[HE | 11.7%],[CC | 8.5%],[CF | 8.2%],[LE | 7.9%],[ZW | 7.4%]
