,top1_return
2016-01-01,0.061756640785781025
2016-02-01,-0.11125911186553872
2016-03-01,0.09406344395418276
2016-04-01,0.28058367991438593
2016-05-01,0.11366027898363895
2016-06-01,0.21210954163688833
2016-07-01,-0.001216679351247807
2016-08-01,-0.0037325899987394884
2016-09-01,0.07825847509133577
2016-10-01,0.008748590576890036
2016-11-01,-0.04767879893151861
2016-12-01,-0.08095652416229415
2017-01-01,0.053457459765071214
2017-02-01,0.05369395054672599
2017-03-01,-0.12831391290365857
2017-04-01,-0.26431343771088645
2017-05-01,-0.1472238515428541
2017-06-01,-0.005737006762500996
2017-07-01,0.07239103656910806
2017-08-01,0.02209297411449529
2017-09-01,-0.08921508608436535
2017-10-01,-0.10812824670461108
2017-11-01,-0.032473627004413474
2017-12-01,0.05129657792443365
2018-01-01,0.0829574121464447
2018-02-01,-0.0046647654769766955
2018-03-01,0.11565443689112365
2018-04-01,0.024609115280874727
2018-05-01,-3.559809330266894e-05
2018-06-01,-0.06896005245675807
2018-07-01,-0.16153865069113382
2018-08-01,-0.007490113514681096
2018-09-01,0.2063229758601841
2018-10-01,-0.04453663678366793
2018-11-01,0.013543181682248218
2018-12-01,0.0013725706219636091
2019-01-01,0.033711989564389366
2019-02-01,0.04294361144506542
2019-03-01,-0.10249284978314233
2019-04-01,0.03871056522056615
2019-05-01,-0.02315002545772127
2019-06-01,0.018747573050030164
2019-07-01,-0.022779739730942605
2019-08-01,0.06790126778598027
2019-09-01,0.02905254691440806
2019-10-01,-0.09544546196929382
2019-11-01,0.08536612330252735
2019-12-01,-0.027478592590789108
2020-01-01,0.07253750120886715
2020-02-01,0.0695076959501586
2020-03-01,-0.5092129445843392
2020-04-01,0.036340958013905134
2020-05-01,-0.27551176234810437
2020-06-01,0.06007176656240132
2020-07-01,0.12477508291785133
2020-08-01,-0.06871279132336094
2020-09-01,-0.07820052160600222
2020-10-01,-0.06263678942406747
2020-11-01,0.16259513387561353
2020-12-01,0.15671100784280245
2021-01-01,-0.004680008745387765
2021-02-01,-0.0673407206275175
2021-03-01,0.023653407643067448
2021-04-01,-0.052338852063590235
2021-05-01,0.21796490751576347
2021-06-01,-0.04834718914763181
2021-07-01,-0.09548778960881765
2021-08-01,0.06398935325688027
2021-09-01,-0.10025266950761591
2021-10-01,-0.10440841692799752
2021-11-01,-0.003885436786444485
2021-12-01,-0.025867158400697643
2022-01-01,0.005147182297365882
2022-02-01,0.08420414361918627
2022-03-01,0.006052230849950435
2022-04-01,-0.14969311509173366
2022-05-01,0.2809777534606497
2022-06-01,0.1399701712597381
2022-07-01,-0.03929445103590745
2022-08-01,0.09160416962033047
2022-09-01,0.04749407757636148
2022-10-01,0.04157441157115471
2022-11-01,0.259665050632075
2022-12-01,0.06806187959403665
2023-01-01,0.09245023690817566
2023-02-01,-0.17022609690725188
2023-03-01,-0.3832844288316478
2023-04-01,-0.06462325550407022
2023-05-01,-0.11410321046688376
2023-06-01,-0.09856648770528098
2023-07-01,0.09205499797253092
2023-08-01,-0.21444111510785047
2023-09-01,-0.002349027688829608
2023-10-01,-0.056229736849818135
2023-11-01,0.10907011504266828
2023-12-01,-0.06787912165695265
2024-01-01,0.07747732030041732
2024-02-01,0.022992235178427967
2024-03-01,0.09046582445370022
2024-04-01,0.1291540804475615
2024-05-01,-0.021634264702382944
2024-06-01,0.14468488982751881
2024-07-01,-0.07030017236920749
2024-08-01,-0.047391430149367864
2024-09-01,-0.08894601543534364
2024-10-01,-0.0673070316385096
2024-11-01,-0.03314233592185312
2024-12-01,-0.007166723150418219
