Date,open,high,low,close,volume
2021-01-15,1.3843,1.3843,1.3843,1.3843,0
2021-01-19,1.3889,1.3889,1.3889,1.3889,0
2021-01-20,1.39,1.39,1.389,1.389,29
2021-01-21,1.3945,1.3945,1.3945,1.3945,2
2021-01-22,1.3676,1.3774,1.3676,1.3774,11
2021-01-25,1.3833,1.3833,1.3833,1.3833,0
2021-01-26,1.385,1.385,1.3822,1.3822,14
2021-01-27,1.3856,1.3856,1.3856,1.3856,2
2021-01-28,1.4025,1.4025,1.381,1.381,14
2021-01-29,1.3977,1.3977,1.3741,1.3741,18
2021-02-01,1.4031,1.4031,1.4031,1.4031,30
2021-02-02,1.4212,1.4212,1.4212,1.4212,20
2021-02-03,1.4369,1.4369,1.4292,1.4326,81
2021-02-04,1.44,1.4411,1.4338,1.4405,169
2021-02-05,1.4435,1.452,1.4416,1.4445,69
2021-02-08,1.4708,1.4708,1.4708,1.4708,0
2021-02-09,1.4761,1.4796,1.465,1.4796,13
2021-02-10,1.4754,1.4782,1.4754,1.4782,19
2021-02-11,1.4747,1.4769,1.4735,1.4735,125
2021-02-12,1.467,1.4988,1.467,1.493,14
2021-02-16,1.5,1.5208,1.5,1.5208,10
2021-02-17,1.5294,1.5294,1.5294,1.5294,4
2021-02-18,1.5259,1.5259,1.5259,1.5259,0
2021-02-19,1.5143,1.5143,1.5143,1.5143,0
2021-02-22,1.5519,1.5519,1.5504,1.5504,1
2021-02-23,1.55,1.5597,1.54,1.5597,27
2021-02-24,1.57,1.5815,1.558,1.5679,182
2021-02-25,1.5735,1.5812,1.565,1.5745,71
2021-02-26,1.555,1.565,1.5401,1.5401,13
2021-03-01,1.5405,1.5521,1.53,1.5343,39
2021-03-02,1.54,1.5564,1.5355,1.5355,81
2021-03-03,1.571,1.571,1.5587,1.5587,123
2021-03-04,1.543,1.609,1.542,1.599,13
2021-03-05,1.6274,1.6348,1.6161,1.6348,10
2021-03-08,1.6255,1.6404,1.6175,1.627,3
2021-03-09,1.63,1.6361,1.6223,1.6254,171
2021-03-10,1.6125,1.6442,1.6125,1.6416,14
2021-03-11,1.6708,1.6772,1.6684,1.6738,38
2021-03-12,1.6745,1.68,1.6704,1.6774,9
2021-03-15,1.68,1.684,1.665,1.6692,15
2021-03-16,1.6697,1.6697,1.6697,1.6697,0
2021-03-17,1.665,1.6693,1.6578,1.6688,21
2021-03-18,1.6,1.6,1.575,1.5966,9
2021-03-19,1.6,1.61,1.6,1.6087,2
2021-03-22,1.6219,1.6219,1.61,1.6169,10
2021-03-23,1.596,1.596,1.5637,1.5722,47
2021-03-24,1.609,1.6308,1.609,1.6308,14
2021-03-25,1.59,1.59,1.5708,1.5759,4
2021-03-26,1.5995,1.6158,1.5995,1.6158,16
2021-03-29,1.617,1.6216,1.6052,1.6216,61
2021-03-30,1.612,1.612,1.6111,1.6117,18
2021-03-31,1.6075,1.6131,1.5946,1.5946,37
2021-04-01,1.612,1.6475,1.612,1.6473,19
2021-04-05,1.6035,1.6077,1.6,1.6077,94
2021-04-06,1.6389,1.6395,1.622,1.622,40
2021-04-07,1.616,1.6196,1.605,1.6182,80
2021-04-08,1.6172,1.6172,1.6172,1.6172,0
2021-04-09,1.609,1.6181,1.608,1.6181,33
2021-04-12,1.62,1.636,1.62,1.6252,27
2021-04-13,1.625,1.6339,1.6215,1.6339,65
