Date,NC_Value,Cur_Ret_NC,Tot_Ret_NC,WC_Value,Cur_Ret_WC,Tot_Ret_WC
2017-11-20,416.8328956513461,-0.019709056780854106,-0.5831671043486539,338.635938821757,-0.019709056780854106,-0.661364061178243
2017-11-21,421.0231736832649,0.010052656773575919,-0.5789768263167352,342.0401296859298,0.010052656773575919,-0.6579598703140702
2017-11-22,423.8166923712107,0.006635071090047351,-0.5761833076287892,344.30959026204494,0.006635071090047351,-0.655690409737955
2017-11-24,420.4245625358479,-0.008003766478342778,-0.5795754374641522,341.55381670533365,-0.008003766478342778,-0.6584461832946664
2017-11-27,412.4430805702884,-0.01898433792121501,-0.5875569194297117,335.0696436307189,-0.01898433792121501,-0.6649303563692811
2017-11-28,408.85141368578655,-0.008708272859216382,-0.5911485863142134,332.15176574714224,-0.00870827285921616,-0.6678482342528578
2017-11-29,420.2250254867089,0.027818448023426035,-0.5797749745132912,341.3917123784683,0.027818448023426035,-0.6586082876215317
2017-11-30,408.85141368578655,-0.027065527065527117,-0.5911485863142134,332.15176574714224,-0.027065527065527006,-0.6678482342528578
2017-12-01,406.6795602266323,-0.005312084993359889,-0.5933204397733677,329.5613789684569,-0.007798804780876356,-0.6704386210315432
2017-12-04,408.85141368578655,0.005340453938584844,-0.5911485863142134,331.32138633277447,0.005340453938584844,-0.6686786136672256
2017-12-05,404.50770676747806,-0.010624169986719778,-0.595492293232522,327.80137160413943,-0.010624169986719778,-0.6721986283958605
2017-12-06,392.29103105973536,-0.030201342281879318,-0.6077089689402646,317.9013301798533,-0.030201342281879318,-0.6820986698201468
2017-12-07,388.49028750621545,-0.009688581314878819,-0.6115097124937845,314.82131729229764,-0.009688581314878819,-0.6851786827077024
2017-12-08,381.43176376396417,-0.018169112508735097,-0.6185682362360359,309.1012933582657,-0.018169112508735097,-0.6908987066417343
2017-12-11,378.71694694002133,-0.007117437722420017,-0.6212830530599787,306.90128415286875,-0.007117437722420017,-0.6930987158471312
2017-12-12,373.83027665692424,-0.012903225806451757,-0.6261697233430757,302.9412675831543,-0.012903225806451757,-0.6970587324168458
2017-12-13,376.0021301160785,0.005809731299927456,-0.6239978698839215,304.70127494747186,0.005809731299927456,-0.6952987250525282
2017-12-14,373.83027665692424,-0.005776173285198527,-0.6261697233430757,302.94126758315434,-0.005776173285198527,-0.6970587324168457
2017-12-15,370.84397815058713,-0.007988380537400253,-0.6291560218494129,300.52125745721776,-0.007988380537400142,-0.6994787425427822
2017-12-18,373.55879497453,0.007320644216691097,-0.62644120502547,302.72126666261465,0.007320644216691097,-0.6972787333373853
2017-12-19,391.2051043301582,0.04723837209302317,-0.6087948956698418,317.02132649769453,0.04723837209302317,-0.6829786735023055
2017-12-20,395.5488112484667,0.011103400416377474,-0.6044511887515334,320.54134122632956,0.011103400416377474,-0.6794586587736704
2017-12-21,400.97844489635224,0.013726835964310125,-0.5990215551036477,324.94135963712336,0.013726835964310125,-0.6750586403628767
2017-12-22,396.3632562956495,-0.011509817197020933,-0.6036367437043505,321.20134398794863,-0.011509817197020933,-0.6787986560120514
2017-12-26,399.0780731195923,0.006849315068493178,-0.6009219268804077,323.4013531933455,0.006849315068493178,-0.6765986468066545
2017-12-27,405.3221518146608,0.0156462585034014,-0.5946778481853392,328.46137436575845,0.0156462585034014,-0.6715386256342415
2017-12-28,407.2225235914207,0.0046885465505692725,-0.5927774764085793,330.0013808095363,0.0046885465505692725,-0.6699986191904637
