,sharpe,sortino,treynor,information,calmar,cum_ret,one_minus_mdd,mer_ann
sharpe,1.0,0.9698453172569995,0.8443364713312892,0.4599751354463738,0.9325860944190597,0.5117811119809542,0.7227771222111471,0.6965337790893825
sortino,0.9698453172569995,1.0,0.8612633289122643,0.4256649235037236,0.9552019051608885,0.6085578116954252,0.6569627078130471,0.76400064172843
treynor,0.8443364713312892,0.8612633289122643,1.0,0.1599433529177144,0.8212013881284129,0.5970857014245832,0.41776988153310857,0.7790432729885701
information,0.4599751354463738,0.4256649235037236,0.1599433529177144,1.0,0.4061242917949562,0.0780310539168775,0.8155926865975544,0.3475171421424426
calmar,0.9325860944190597,0.9552019051608885,0.8212013881284129,0.4061242917949562,1.0,0.6907040925640487,0.6965030476970517,0.7175070928463961
cum_ret,0.5117811119809542,0.6085578116954252,0.5970857014245832,0.0780310539168775,0.6907040925640487,1.0,0.20739050214796653,0.5819412698794225
one_minus_mdd,0.7227771222111471,0.6569627078130471,0.41776988153310857,0.8155926865975544,0.6965030476970517,0.20739050214796653,1.0,0.337853667935338
mer_ann,0.6965337790893825,0.76400064172843,0.7790432729885701,0.3475171421424426,0.7175070928463961,0.5819412698794225,0.337853667935338,1.0
