Model,Side,Avg_B1_Pct,Avg_G1_Pct,SameTopRate
DVR_MC_p≤0.05,LONG,32.29629629629629,14.049999999999999,0.4444444444444444
DVR_MC_p≤0.05,SHORT,37.765740740740746,17.2287037037037,0.6944444444444444
SSA_MC_EWMA,LONG,23.289814814814818,11.337962962962964,0.5462962962962963
SSA_MC_EWMA,SHORT,22.50092592592593,11.424999999999999,0.5833333333333334
RLSSA_MC_EWMA,LONG,11.008333333333333,8.70648148148148,0.49074074074074076
RLSSA_MC_EWMA,SHORT,10.871296296296297,8.751851851851852,0.46296296296296297
