,sharpe,sortino,treynor,information,calmar,cum_ret,mdd,excess_ret_ann
sharpe,1.0,0.9651922377411994,0.4866730627141471,0.9712151963924417,0.8890393627763141,0.8017618535803963,0.7611149041787191,0.9095528136362377
sortino,0.9651922377411994,1.0,0.48559339428714626,0.9385564454311776,0.9322109093285249,0.8564046448806737,0.7175631363068635,0.9198811807318555
treynor,0.4866730627141471,0.48559339428714626,1.0,0.489373120023602,0.45674325588101417,0.4177967433205505,0.31905459189256796,0.4742913946018829
information,0.9712151963924417,0.9385564454311776,0.489373120023602,1.0,0.859456123940225,0.7774704839329158,0.7114722477364483,0.9794026434229645
calmar,0.8890393627763141,0.9322109093285249,0.45674325588101417,0.859456123940225,1.0,0.9374176931295793,0.6900796159812158,0.8550507089548571
cum_ret,0.8017618535803963,0.8564046448806737,0.4177967433205505,0.7774704839329158,0.9374176931295793,1.0,0.5848414384869655,0.7818866638908917
mdd,0.7611149041787191,0.7175631363068635,0.31905459189256796,0.7114722477364483,0.6900796159812158,0.5848414384869655,1.0,0.5961954556731056
excess_ret_ann,0.9095528136362377,0.9198811807318555,0.4742913946018829,0.9794026434229645,0.8550507089548571,0.7818866638908917,0.5961954556731056,1.0
