,top1_return
2016-01-01,0.050349559900104035
2016-02-01,0.13960388697622061
2016-03-01,-0.01426289837207495
2016-04-01,0.35326730054367417
2016-05-01,0.10270727099308585
2016-06-01,-0.02901139561369892
2016-07-01,-0.25485353931570376
2016-08-01,-0.1965904196876601
2016-09-01,0.014824867307010159
2016-10-01,-0.004228582376628376
2016-11-01,-0.1225936002435899
2016-12-01,0.11320486108608518
2017-01-01,0.0054251732640651085
2017-02-01,-0.08787969827371522
2017-03-01,-0.09400809831115942
2017-04-01,-0.034463045646860424
2017-05-01,-0.24539506898723418
2017-06-01,-0.07153527305950969
2017-07-01,-0.10749578407294813
2017-08-01,0.033522393672963835
2017-09-01,0.019270494483282663
2017-10-01,0.14615612393390953
2017-11-01,0.0005928606268388315
2017-12-01,0.052276027509323475
2018-01-01,-0.07059888852573115
2018-02-01,-0.054890937319780564
2018-03-01,0.013614348528447673
2018-04-01,0.0050038407357970716
2018-05-01,0.0019784389192383234
2018-06-01,-0.015652379119800774
2018-07-01,-0.12335260451485419
2018-08-01,0.15568583696835292
2018-09-01,0.006946611706682093
2018-10-01,0.07061195075556315
2018-11-01,0.024902790284860643
2018-12-01,0.05891101743441274
2019-01-01,-0.05695763335334203
2019-02-01,0.0341700420624198
2019-03-01,0.018140722262838915
2019-04-01,-0.12093138979704232
2019-05-01,-0.026792409435790865
2019-06-01,-0.10005618441593689
2019-07-01,0.002500107829213727
2019-08-01,-0.12044821217733148
2019-09-01,0.05232786175740278
2019-10-01,-0.08073653567775052
2019-11-01,-0.017917555592551704
2019-12-01,0.0769404864432166
2020-01-01,-0.17202077465654497
2020-02-01,0.026384948173856282
2020-03-01,-0.2389339329669511
2020-04-01,-0.24817004852515068
2020-05-01,0.0739556394657428
2020-06-01,-0.12811512617184884
2020-07-01,0.008355993431939046
2020-08-01,-0.05221739494067967
2020-09-01,0.046876667546198014
2020-10-01,-0.07115477451634522
2020-11-01,-0.2882088527290889
2020-12-01,-0.048658964358994305
2021-01-01,0.1556441567196738
2021-02-01,0.26258242977291046
2021-03-01,0.1638569227969564
2021-04-01,0.19693838360192384
2021-05-01,0.10103717791630551
2021-06-01,0.43941249323760356
2021-07-01,0.015742601811261858
2021-08-01,0.05355664931896453
2021-09-01,0.2136537078123839
2021-10-01,-0.2056678196038071
2021-11-01,-0.03638317642726674
2021-12-01,0.003754274452181239
2022-01-01,0.10169625356202272
2022-02-01,0.16739109533150764
2022-03-01,0.13560006882111986
2022-04-01,0.4385115815029268
2022-05-01,-0.0022219865980620535
2022-06-01,-0.4279757462913665
2022-07-01,-0.02100733047483827
2022-08-01,0.014953837540052195
2022-09-01,0.09208960087287443
2022-10-01,-0.0666872952587515
2022-11-01,-0.05280417666262549
2022-12-01,0.2719283511530808
2023-01-01,0.05804827638916166
2023-02-01,0.10568647483286342
2023-03-01,-0.34773884654907716
2023-04-01,-0.17750863688804008
2023-05-01,-0.15538118888288288
2023-06-01,-0.06366341695032629
2023-07-01,0.12689224556949297
2023-08-01,0.0669587301234309
2023-09-01,0.014053888862110453
2023-10-01,-0.07450460569406092
2023-11-01,0.07579497102168187
2023-12-01,-0.1724085277730233
2024-01-01,-0.07717418578553858
2024-02-01,-0.06431416688004254
2024-03-01,-0.2598976672310477
2024-04-01,-0.2720565433305798
2024-05-01,0.0020320118617394023
2024-06-01,0.03748154445505647
2024-07-01,0.050410275311592034
2024-08-01,-0.023391095876926227
2024-09-01,0.10649676107596506
2024-10-01,-0.0500578629990468
2024-11-01,-0.021048091471788433
2024-12-01,-0.08759986470639325
