run,direction,strategy,sharpe,sortino,treynor,treynor_raw,information,calmar,cum_ret,mdd,mdd_mag,mer_m,mer_ann
3,long,baseline,0.4753215921934905,1.1556318315960574,0.15429315992945855,0.15429315992945855,0.42687082569499635,0.2195233507044281,2.2593904272513923,-0.6390644771087475,0.6390644771087475,0.01703761134244338,0.20445133610932056
3,long,gps,-0.4772396022439145,-0.8574884642281909,-0.16168025188203394,-0.16168025188203394,-0.6388723887623455,-0.278574084022606,-0.9333040148731527,-0.9326350700418363,0.9326350700418363,-0.02091100393485637,-0.25093204721827644
3,long,weighted,0.31348517575115237,0.5064213995817204,0.04501398875845325,0.04501398875845325,,0.07724070959946926,0.36689108978012563,-0.4574860827935363,0.4574860827935363,0.0,0.0
3,short,baseline,0.09652819903040401,0.21482574003590618,0.03663527184046803,-0.03663527184046803,0.002490993267193093,-0.07868962551921493,-0.37108006299107854,-0.6382400692590783,0.6382400692590783,0.00011440873945775738,0.0013729048734930885
3,short,gps,0.1600586921627381,0.2491843077227211,0.0570336143880577,-0.0570336143880577,0.03131233748437337,-0.013871657254182448,-0.07916520066095645,-0.6575989802646817,0.6575989802646817,0.001164236902845182,0.013970842834142183
4,long,baseline,0.1823854515052742,0.3344753960441843,0.0998109036496849,0.0998109036496849,-0.12088293021996681,-0.003168983241562468,-0.018458490857127585,-0.6525648567578586,0.6525648567578586,-0.003975848223315348,-0.04771017867978417
4,long,gps,0.3759059251742095,0.7700948282702448,0.18142252364376274,0.18142252364376274,0.08175967035978499,0.15038329212135232,0.935577859092311,-0.506291006236402,0.506291006236402,0.0026661965951578935,0.03199435914189472
4,long,weighted,0.838035022881171,1.3052277405058132,0.12205576932247776,0.12205576932247776,,0.315386985278355,1.717817569796082,-0.3725513913968076,0.3725513913968076,0.0,0.0
4,short,baseline,0.32529257384781085,0.5475338113843236,0.1333154417366168,-0.1333154417366168,0.04644766266679688,0.06445840763736449,0.5525212996705477,-0.777085508214349,0.777085508214349,0.0020099759938870215,0.024119711926644256
4,short,gps,0.2012411073817958,0.33472400641832,0.13172747940683965,-0.13172747940683965,-0.0622212532189103,-0.010918683227112732,-0.0813467917317875,-0.8593618475011451,0.8593618475011451,-0.002611400746448534,-0.0313368089573824
5,long,baseline,0.2754503340687959,0.5278284171806195,0.15612510157037818,0.15612510157037818,0.2024131236410253,0.04121077032755984,0.2665253815488271,-0.645478638646948,0.645478638646948,0.00738130003028584,0.08857560036343008
5,long,gps,-0.10945326118637007,-0.2061240657984504,-0.06713711420785769,-0.06713711420785769,-0.19169734514421627,-0.15148051480385977,-0.7349618281125835,-0.905556262789172,0.905556262789172,-0.006987238175816464,-0.08384685810979756
5,long,weighted,0.2695127649350663,0.448189071386804,0.03502212136251125,0.03502212136251125,,0.07164038355613271,0.27067282042773133,-0.37651472207354075,0.37651472207354075,0.0,0.0
5,short,baseline,-0.2918849816070235,-0.4798688311352816,-0.09885457179878043,0.09885457179878043,-0.3255248395420981,-0.21266257895724225,-0.8421501291405673,-0.8720538954528143,0.8720538954528143,-0.01287721951588791,-0.1545266341906549
5,short,gps,0.4916400505260652,0.7472472861716978,0.20737428188673712,-0.20737428188673712,0.3442113752641667,0.18204713170298573,1.790551119543716,-0.6634650052967358,0.6634650052967358,0.012374145986519976,0.1484897518382397
6,long,baseline,-0.13229857121556796,-0.20008990490402942,-0.05700056889085545,-0.05700056889085545,-0.18924250089971065,-0.17238274064397718,-0.7678745999700546,-0.8689551729132302,0.8689551729132302,-0.006714000193516712,-0.08056800232220054
6,long,gps,0.005485966402970454,0.009152445529350753,0.0019456963946623245,0.0019456963946623245,-0.048913457148534824,-0.1137055810215774,-0.5329816806776012,-0.7134116742847451,0.7134116742847451,-0.0015721354506701064,-0.01886562540804128
6,long,weighted,0.15419473495210995,0.24087734748414816,0.02115561921313418,0.02115561921313418,,0.028906691219564074,0.11190447058211173,-0.4101389692892492,0.4101389692892492,0.0,0.0
6,short,baseline,0.12631164310657772,0.25823760779740584,0.051418543784151824,-0.051418543784151824,0.08026175961016842,-0.08192328489148115,-0.4789873179413926,-0.8530005519403908,0.8530005519403908,0.00416932017669072,0.05003184212028864
6,short,gps,-0.5004980578244447,-0.7230166646381034,-0.18109190876937947,0.18109190876937947,-0.4739758323705098,-0.27856651319640485,-0.9399897102394292,-0.9636637886501762,0.9636637886501762,-0.019588737497013908,-0.23506484996416688
7,long,baseline,-0.041662178860037105,-0.0648863008484914,-0.020438706623521544,-0.020438706623521544,-0.08771852869920478,-0.1261811039324364,-0.6301040396485973,-0.8291019771000082,0.8291019771000082,-0.002985005792755489,-0.03582006951306587
7,long,gps,-0.21408415634854155,-0.3547383232747275,-0.07972591532254741,-0.07972591532254741,-0.2844982538871047,-0.1716050116096095,-0.7417284932035488,-0.8137873849125576,0.8137873849125576,-0.008142420860946584,-0.09770905033135902
7,long,weighted,0.1259656946274679,0.2203228843904837,0.018050155156840914,0.018050155156840914,,0.018119571522281986,0.07456405625223494,-0.4427572068077521,0.4427572068077521,0.0,0.0
7,short,baseline,0.007133089207685355,0.01121532872053706,0.0031441070268819916,-0.0031441070268819916,-0.031815959291687075,-0.09149110544247768,-0.5199820126906775,-0.8559466122980536,0.8559466122980536,-0.0012608980024661487,-0.015130776029593784
