Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2018-06-01,[CF | 15.4%],[CP | 13.8%],[HO | 13.7%],[GD | 12.2%],[SV | 7.5%],[GD | 12.1%],[CP | 11.3%],[CF | 10.2%],[SV | 9.7%],[SU | 9.0%]
2018-07-01,[LE | 21.0%],[CO | 12.1%],[HO | 11.9%],[GD | 11.2%],[HE | 10.4%],[GD | 10.2%],[CC | 9.9%],[LE | 9.4%],[HO | 8.7%],[SV | 8.2%]
2018-08-01,[HE | 20.9%],[CC | 15.3%],[CO | 9.7%],[HO | 9.3%],[LE | 9.3%],[CC | 10.9%],[SU | 10.3%],[HE | 10.0%],[CP | 9.5%],[ZW | 8.9%]
2018-09-01,[HE | 19.7%],[LE | 13.2%],[HO | 11.0%],[SU | 9.1%],[ZS | 8.3%],[GD | 10.6%],[ZC | 9.1%],[HE | 8.9%],[SU | 8.5%],[CF | 7.8%]
2018-10-01,[HE | 23.5%],[CO | 14.2%],[NG | 13.6%],[HO | 12.7%],[LE | 12.3%],[CO | 11.6%],[NG | 10.3%],[HE | 10.0%],[HO | 9.6%],[CT | 8.1%]
2018-11-01,[LE | 25.3%],[HO | 14.6%],[CO | 14.3%],[HE | 8.9%],[ZS | 6.3%],[LE | 12.2%],[CO | 8.9%],[HO | 8.4%],[SU | 7.4%],[ZC | 7.1%]
2018-12-01,[CC | 17.9%],[LE | 11.0%],[CF | 8.6%],[HE | 8.3%],[HO | 7.5%],[ZW | 10.3%],[CC | 8.9%],[SV | 8.7%],[CF | 7.9%],[ZC | 7.9%]
2019-01-01,[HE | 17.1%],[ZS | 9.2%],[CC | 9.1%],[LE | 8.7%],[NG | 8.4%],[CT | 11.2%],[SU | 8.5%],[HE | 8.5%],[CP | 8.0%],[ZC | 7.5%]
2019-02-01,[CO | 19.1%],[HO | 17.8%],[HE | 12.9%],[ZS | 12.5%],[CC | 10.8%],[CO | 11.8%],[ZS | 10.4%],[HO | 9.1%],[HE | 8.6%],[NG | 7.4%]
2019-03-01,[HE | 27.3%],[HO | 17.9%],[LE | 10.7%],[NG | 8.7%],[CO | 7.4%],[HE | 13.7%],[HO | 9.9%],[CP | 9.7%],[SU | 9.3%],[CT | 8.1%]
2019-04-01,[CC | 21.8%],[HE | 15.2%],[LE | 15.0%],[SU | 11.1%],[HO | 10.2%],[CC | 14.2%],[SU | 11.0%],[NG | 10.2%],[HE | 8.9%],[LE | 8.6%]
2019-05-01,[ZS | 20.5%],[LE | 12.0%],[CT | 11.3%],[CO | 10.2%],[HE | 9.6%],[CT | 11.3%],[ZS | 10.4%],[SV | 9.6%],[CP | 8.6%],[CO | 7.8%]
2019-06-01,[LE | 26.2%],[CC | 10.9%],[CP | 10.4%],[NG | 8.1%],[HO | 7.7%],[LE | 10.7%],[CC | 8.6%],[CP | 8.5%],[ZC | 8.5%],[SV | 8.0%]
2019-07-01,[HE | 17.0%],[NG | 13.6%],[HO | 12.0%],[CO | 10.5%],[ZS | 9.3%],[SU | 11.1%],[NG | 9.8%],[ZS | 9.2%],[HE | 9.0%],[CO | 7.3%]
2019-08-01,[HE | 22.9%],[LE | 15.5%],[NG | 14.8%],[CO | 12.6%],[CP | 8.7%],[HE | 11.8%],[LE | 11.5%],[NG | 10.5%],[CO | 9.0%],[CP | 9.0%]
2019-09-01,[HE | 28.1%],[LE | 17.2%],[CC | 11.7%],[CO | 6.5%],[ZW | 6.2%],[HE | 13.2%],[LE | 10.2%],[ZW | 8.8%],[CC | 8.5%],[ZC | 7.5%]
2019-10-01,[LE | 19.9%],[HE | 15.5%],[HO | 13.0%],[CP | 12.2%],[CF | 6.8%],[LE | 10.9%],[CP | 10.6%],[HE | 9.1%],[NG | 8.7%],[ZS | 6.6%]
2019-11-01,[CC | 30.2%],[LE | 16.4%],[NG | 11.9%],[CF | 10.6%],[HE | 6.3%],[CC | 14.9%],[NG | 8.8%],[LE | 8.7%],[CF | 8.6%],[ZC | 7.8%]
2019-12-01,[SU | 11.5%],[CF | 10.7%],[CT | 10.5%],[CP | 10.3%],[NG | 8.3%],[CP | 9.9%],[CT | 9.3%],[GD | 9.1%],[CF | 8.3%],[ZW | 7.5%]
2020-01-01,[NG | 28.7%],[HE | 14.7%],[CC | 12.3%],[LE | 7.4%],[ZW | 6.7%],[NG | 11.5%],[CC | 10.2%],[ZW | 9.5%],[CF | 8.8%],[HE | 8.1%]
2020-02-01,[HE | 38.1%],[LE | 10.1%],[CO | 9.4%],[ZS | 6.8%],[SU | 6.5%],[HE | 14.2%],[ZS | 9.1%],[SU | 8.7%],[CO | 8.3%],[LE | 7.9%]
2020-03-01,[HE | 16.6%],[LE | 14.4%],[CC | 11.9%],[NG | 11.6%],[CT | 9.8%],[CC | 10.9%],[CT | 9.2%],[CF | 8.9%],[LE | 8.4%],[NG | 8.3%]
2020-04-01,[LE | 16.4%],[HE | 12.5%],[NG | 11.3%],[HO | 10.2%],[CP | 9.8%],[ZW | 10.5%],[CP | 9.2%],[LE | 8.4%],[NG | 8.3%],[GD | 7.9%]
2020-05-01,[SU | 17.9%],[LE | 16.3%],[CF | 13.8%],[HE | 8.0%],[ZS | 7.5%],[SU | 11.1%],[CF | 9.6%],[LE | 9.5%],[ZC | 8.1%],[ZW | 7.6%]
2020-06-01,[CO | 51.3%],[LE | 12.4%],[HO | 10.5%],[CC | 5.4%],[NG | 4.7%],[CO | 13.2%],[LE | 11.3%],[GD | 9.0%],[CC | 9.0%],[HO | 8.1%]
2020-07-01,[CO | 28.6%],[HO | 22.1%],[HE | 10.7%],[LE | 5.6%],[CC | 5.2%],[CO | 10.7%],[HO | 10.1%],[GD | 8.4%],[SV | 8.0%],[HE | 7.5%]
2020-08-01,[LE | 28.1%],[HO | 17.7%],[CO | 9.8%],[ZS | 6.5%],[ZW | 5.5%],[LE | 13.2%],[ZW | 10.7%],[CT | 9.4%],[HO | 9.3%],[CP | 8.8%]
2020-09-01,[HE | 18.2%],[CC | 14.4%],[NG | 10.2%],[LE | 9.8%],[CO | 7.4%],[CP | 9.4%],[CC | 9.2%],[HE | 9.2%],[NG | 8.8%],[ZS | 8.2%]
2020-10-01,[CO | 28.7%],[HO | 19.9%],[NG | 10.9%],[HE | 8.4%],[SU | 7.3%],[CO | 11.3%],[HO | 9.7%],[NG | 9.2%],[CC | 7.4%],[SU | 7.1%]
2020-11-01,[CO | 20.8%],[CC | 13.1%],[CF | 11.7%],[HO | 9.3%],[SV | 6.8%],[CF | 9.3%],[GD | 8.5%],[CC | 8.5%],[CO | 8.2%],[ZS | 7.7%]
2020-12-01,[CO | 27.1%],[HO | 20.4%],[SU | 11.6%],[CF | 6.9%],[NG | 6.2%],[CO | 10.0%],[HO | 9.7%],[SU | 9.3%],[ZW | 7.5%],[NG | 7.4%]
2021-01-01,[HE | 24.2%],[NG | 16.5%],[HO | 11.0%],[CP | 7.1%],[CO | 6.7%],[NG | 9.6%],[CP | 9.1%],[HE | 8.5%],[CF | 8.3%],[HO | 7.4%]
