run,direction,strategy,sharpe,sortino,treynor_adj,treynor_raw,information,calmar,cum_ret,mdd_raw,mdd_mag,mer_m,mer_ann
909,long,baseline,0.3031371810059114,0.6109499029211413,0.18962968865756308,0.18962968865756308,0.16964994778271955,0.08459618833982364,0.5401518313471669,-0.5810756300465125,0.5810756300465125,0.004931329142827505,0.05917594971393006
909,long,gps,0.35313259986941326,0.6662973116109516,0.16907187629518772,0.16907187629518772,0.23849895567050255,0.10748514962268245,0.7953133593792592,-0.6250195327715069,0.6250195327715069,0.00716407794219527,0.08596893530634324
909,long,weighted,0.3121296820181842,0.5130085571219463,0.047872728806614195,0.047872728806614195,,0.10649500472204917,0.38509316498645263,-0.346114292111527,0.346114292111527,0.0,0.0
909,short,baseline,0.42777265623695326,0.8594709805090363,0.13499323516770306,-0.13499323516770306,0.2847790955409143,0.13876642331650216,1.4017128470303981,-0.7368499498266152,0.7368499498266152,0.014308425599332283,0.1717011071919874
909,short,gps,0.6110788217326052,1.552969448609309,0.18229143850672613,-0.18229143850672613,0.46648774762791634,0.461244991543628,7.085152380734359,-0.5667359554855964,0.5667359554855964,0.027829050683115295,0.33394860819738353
910,long,baseline,0.9207296928924585,1.7058485367699212,0.47659688125633093,0.47659688125633093,0.7671306741517756,0.9698078566070308,12.88892300934417,-0.3501344040301989,0.3501344040301989,0.024848548594509242,0.2981825831341109
910,long,gps,0.6601434500717522,1.204483481105589,0.2940361032647319,0.2940361032647319,0.5156380006120886,0.3325785350734191,4.766740158395777,-0.6462244728179913,0.6462244728179913,0.01732698360616259,0.20792380327395107
910,long,weighted,0.5251293979323295,0.902772743052397,0.0716912179547631,0.0716912179547631,,0.18737453772194115,0.7523853424555138,-0.3432400514520907,0.3432400514520907,0.0,0.0
910,short,baseline,0.5099276995589851,0.890043329073864,0.15831865850498889,-0.15831865850498889,0.29851836340632465,0.23545121930157656,2.298395649533257,-0.6022384618569596,0.6022384618569596,0.01291894856408252,0.15502738276899025
910,short,gps,0.14714820145234975,0.24247153033147867,0.04591942153756948,-0.04591942153756948,-0.03062537100622801,-0.025069185471188166,-0.15834869804332674,-0.7567899335673918,0.7567899335673918,-0.0011901133821753261,-0.014281360586103914
911,long,baseline,0.4820819704432934,0.8864215218362397,0.19684336692769147,0.19684336692769147,0.3500632690028995,0.19917538083627637,1.75392106099437,-0.5981543959584084,0.5981543959584084,0.010283296248614272,0.12339955498337127
911,long,gps,0.5158296379550058,0.8032415228808392,0.21738636091313537,0.21738636091313537,0.39680045549102005,0.22649838692553806,2.1377537995275815,-0.5981543959584084,0.5981543959584084,0.012646983087454586,0.15176379704945503
911,long,weighted,0.40696875364067253,0.6085556800316444,0.05773303996495888,0.05773303996495888,,0.13105573525672423,0.5343516436018543,-0.37172760722090825,0.37172760722090825,0.0,0.0
911,short,baseline,-0.0018173106255641148,-0.0034904247065027432,-0.0009255605909647701,0.0009255605909647701,-0.10465251081879204,-0.13388256709764804,-0.6432552680425636,-0.8082555404042527,0.8082555404042527,-0.004887427277483155,-0.058649127329797865
911,short,gps,-0.21286192043486166,-0.44098976266361256,-0.12172862024292294,0.12172862024292294,-0.30871502889883135,-0.1808464864962621,-0.7859909056201757,-0.8705431898196057,0.8705431898196057,-0.012335384769408065,-0.14802461723289678
912,long,baseline,0.4716191243377941,0.7826124804869639,0.1532446466940442,0.1532446466940442,0.5329791385085505,0.21143219721370868,1.511769478260356,-0.5096249342560346,0.5096249342560346,0.013543773153390866,0.1625252778406904
912,long,gps,0.23873935695521678,0.36244466728496444,0.07848640049586217,0.07848640049586217,0.27636895876004547,0.043340193179335885,0.2614357994360996,-0.6031691961805425,0.6031691961805425,0.006388052757392079,0.07665663308870495
912,long,weighted,-0.02750031979818113,-0.04340058773799699,-0.003785095127566208,-0.003785095127566208,,-0.028050232092088664,-0.11253505429932986,-0.4697838262587588,0.4697838262587588,0.0,0.0
912,short,baseline,0.09151102052907117,0.17765008922686107,0.03746250982272368,-0.03746250982272368,0.08812385895849965,-0.08055671250330296,-0.45197833769489104,-0.8024499787627183,0.8024499787627183,0.004044541619167486,0.04853449943000983
912,short,gps,0.49392202259856055,0.9224490660728623,0.1651565194689701,-0.1651565194689701,0.4427478474251914,0.1674648500352921,2.278820060654974,-0.8422236033459664,0.8422236033459664,0.022162492514686893,0.2659499101762427
913,long,baseline,-0.220901928483592,-0.274702104769465,-0.1265163835126408,-0.1265163835126408,-0.22945166236839754,-0.16168699481698456,-0.74758053920199,-0.8772390764070053,0.8772390764070053,-0.006754146197426325,-0.0810497543691159
913,long,gps,-0.14634022235897629,-0.19018895138055508,-0.04447249245379896,-0.04447249245379896,-0.16661625306398303,-0.16805094608815954,-0.7867376625888658,-0.9387739716557391,0.9387739716557391,-0.005443248801149568,-0.06531898561379482
913,long,weighted,0.010327217701000913,0.01660126840924858,0.0014478918670142171,0.0014478918670142171,,-0.016433014576977566,-0.07205498863150961,-0.5035457310609144,0.5035457310609144,0.0,0.0
913,short,baseline,0.5476106212924274,1.4870903478125597,0.24681406198763672,-0.24681406198763672,0.48331453894250836,0.41130587613968433,3.562055839940599,-0.4466157687259079,0.4466157687259079,0.0216282317127136,0.2595387805525632
913,short,gps,0.45408065634840844,0.8280693580433389,0.19733272528159776,-0.19733272528159776,0.3829371074175633,0.21056683984097824,1.508886958475431,-0.5110481610946058,0.5110481610946058,0.01403661942638572,0.16843943311662865
914,long,baseline,-0.17926269863542182,-0.25205674786264015,-0.1616037921419518,-0.1616037921419518,-0.34903579438147364,-0.15754260924623142,-0.6892006712397388,-0.7729256835402208,0.7729256835402208,-0.010483340448623545,-0.12580008538348253
914,long,gps,0.3391953916951503,0.6300209189543896,0.1271313028988533,0.1271313028988533,0.24994010337741965,0.057681454615702094,0.4902109395365888,-0.7857149141971397,0.7857149141971397,0.011615480507825382,0.13938576609390457
914,long,weighted,0.4458785150046904,0.6436303022639657,0.06223150780270122,0.06223150780270122,,0.18393021939209514,0.6023748283624293,-0.2924148218842878,0.2924148218842878,0.0,0.0
914,short,baseline,-0.0538488910974768,-0.07798004021507583,-0.025157868144301543,0.025157868144301543,-0.19238331649795617,-0.10297849696088898,-0.5443658482342093,-0.812160231015626,0.812160231015626,-0.0068083910298958475,-0.08170069235875017
