,top1_return
2016-01-01,0.010724982737830402
2016-02-01,0.05502340750164758
2016-03-01,0.06742866768685474
2016-04-01,0.0747267285953388
2016-05-01,-0.01049172600393422
2016-06-01,0.13291120777092869
2016-07-01,0.00021594290396032
2016-08-01,-0.059423647214869924
2016-09-01,0.014992610385266891
2016-10-01,0.23719160441695775
2016-11-01,-0.1937679161261655
2016-12-01,-0.06531454845615925
2017-01-01,0.015772516050934104
2017-02-01,-0.02389347809926623
2017-03-01,-0.00287507714278179
2017-04-01,-0.0019840286334428248
2017-05-01,0.026883054178186816
2017-06-01,-0.029062925031090314
2017-07-01,-0.030260089624522535
2017-08-01,-0.016190646951049548
2017-09-01,-0.05631593350061592
2017-10-01,0.093139974670428
2017-11-01,-0.010017868605605051
2017-12-01,0.0364052673075177
2018-01-01,0.007294912450705793
2018-02-01,-0.027228613035488403
2018-03-01,0.09501491083749469
2018-04-01,0.036757955327495706
2018-05-01,0.06537366066166372
2018-06-01,-0.07917483699478911
2018-07-01,-0.026570215247516016
2018-08-01,-0.0906546395664749
2018-09-01,-0.10673976130446161
2018-10-01,0.12813993169466031
2018-11-01,0.021809214919242592
2018-12-01,-0.09522648754116847
2019-01-01,0.03675841618475584
2019-02-01,0.029304861885624645
2019-03-01,-0.06905176716327344
2019-04-01,-0.0838329352235313
2019-05-01,-0.042990497177479936
2019-06-01,0.08692889257563574
2019-07-01,-0.2530319593942991
2019-08-01,-0.07776489245472817
2019-09-01,0.12233471905591031
2019-10-01,0.07583329407485806
2019-11-01,-0.006640198521041918
2019-12-01,-0.006681395303755999
2020-01-01,0.0355914033532958
2020-02-01,0.03949999262589965
2020-03-01,-0.5049150044949947
2020-04-01,-0.011359773909993764
2020-05-01,-0.18728149116290138
2020-06-01,0.06815329485215615
2020-07-01,0.22810367710604673
2020-08-01,0.13369022022120092
2020-09-01,0.10755702909333498
2020-10-01,-0.0033201911523953465
2020-11-01,0.13911272764291294
2020-12-01,0.09324975612096398
2021-01-01,-0.03496571359694445
2021-02-01,0.1174564389345889
2021-03-01,-0.08062716494877298
2021-04-01,0.09512313907249359
2021-05-01,-0.07945304389760854
2021-06-01,-0.09534039289046115
2021-07-01,-0.0439805240799509
2021-08-01,0.007206089110789904
2021-09-01,0.16499992606149716
2021-10-01,0.021625207660128876
2021-11-01,-0.09554775561435258
2021-12-01,-0.03490583209023623
2022-01-01,-0.01329205368547337
2022-02-01,0.050789639206128445
2022-03-01,0.05159201280858117
2022-04-01,0.0676841898462528
2022-05-01,0.024572880476919634
2022-06-01,-0.33661229424462935
2022-07-01,-0.027218770386459923
2022-08-01,0.3572397283711577
2022-09-01,0.24331194276637325
2022-10-01,-0.10615095353127246
2022-11-01,0.09189928909309075
2022-12-01,0.055981346503423346
2023-01-01,-0.27594678946518825
2023-02-01,0.0053293644631453585
2023-03-01,0.0036432682116738224
2023-04-01,0.16715402946801694
2023-05-01,-0.03213587289017672
2023-06-01,-0.19817664112931177
2023-07-01,0.19958306903329404
2023-08-01,0.24378570964979285
2023-09-01,0.12137519889962323
2023-10-01,-0.04236031744151014
2023-11-01,-0.029856763594450775
2023-12-01,-0.06813910708375148
2024-01-01,-0.06586667561283632
2024-02-01,0.043522269746896436
2024-03-01,0.10754014480203677
2024-04-01,-0.19220406160418835
2024-05-01,0.040799476110015
2024-06-01,-0.04371416828449115
2024-07-01,-0.054918410821602204
2024-08-01,0.04544485425374756
2024-09-01,-0.027841890519541113
2024-10-01,-0.008830846579727103
2024-11-01,-0.18621977714109128
2024-12-01,-0.09794034297146315
