,top1_return_gps
2016-01-01,-0.025239280644981932
2016-02-01,-0.03351486157515249
2016-03-01,0.05872212300747548
2016-04-01,0.10186724326961016
2016-05-01,-0.018324151108170872
2016-06-01,-0.06065580033227591
2016-07-01,-0.010056720686007048
2016-08-01,0.09239369261805463
2016-09-01,0.006495364696253114
2016-10-01,0.10109808341330306
2016-11-01,-0.09340261281103535
2016-12-01,0.14891408796737426
2017-01-01,0.10974471000755792
2017-02-01,0.028833704216549183
2017-03-01,-0.013179282921372604
2017-04-01,-0.07455500749062893
2017-05-01,-0.17520387967995799
2017-06-01,0.012899099122603674
2017-07-01,0.007774005072037848
2017-08-01,-0.05640266113132786
2017-09-01,-0.03740303534705125
2017-10-01,-0.043878849995754754
2017-11-01,0.00920642478475453
2017-12-01,0.09491096087482265
2018-01-01,-0.016721729831317922
2018-02-01,0.02063560761807115
2018-03-01,-0.08848057563934042
2018-04-01,-0.028836167870479934
2018-05-01,0.012434892407925613
2018-06-01,0.0518418620631822
2018-07-01,-0.06272283689982838
2018-08-01,-0.12723600558110537
2018-09-01,0.05192289139260309
2018-10-01,-0.07420880127340435
2018-11-01,0.022300446109396743
2018-12-01,0.007931544155949988
2019-01-01,0.043061088494869004
2019-02-01,0.02970535241851935
2019-03-01,0.030570544672201105
2019-04-01,0.008220630466288181
2019-05-01,-0.2371043137681349
2019-06-01,0.16373617338866753
2019-07-01,0.00819999516277825
2019-08-01,0.011900384283393795
2019-09-01,-0.0011295799277045715
2019-10-01,0.06678881995263741
2019-11-01,-0.023829966220094145
2019-12-01,0.06662550372585185
2020-01-01,-0.24279077255760717
2020-02-01,-0.06257120547584571
2020-03-01,0.0641719452464331
2020-04-01,-0.09857839549067504
2020-05-01,0.16862612598713023
2020-06-01,-0.0439572348224091
2020-07-01,-0.17450019006599182
2020-08-01,-0.10879294704890041
2020-09-01,-0.055333703516753485
2020-10-01,-0.1737041867022886
2020-11-01,-0.09029884720544612
2020-12-01,0.11192315828849586
2021-01-01,-0.02126184824255528
2021-02-01,-0.01755618481468013
2021-03-01,0.27531648002555675
2021-04-01,0.2887132571137696
2021-05-01,0.06186216581755799
2021-06-01,-0.12036452737746595
2021-07-01,-0.03760697629183918
2021-08-01,-0.04743733999659716
2021-09-01,-0.1259257275812412
2021-10-01,0.012526805494001536
2021-11-01,-0.03436029168679766
2021-12-01,0.20677141964350354
2022-01-01,0.05866073676277184
2022-02-01,0.008374494629761253
2022-03-01,0.10632353959764851
2022-04-01,0.08292482683354585
2022-05-01,0.07675399059153953
2022-06-01,-0.024186169667979818
2022-07-01,-0.11128119606139864
2022-08-01,0.23149610414226385
2022-09-01,-0.023263851088848653
2022-10-01,0.07086638277778157
2022-11-01,0.09005246550926493
2022-12-01,-0.04476019856045632
2023-01-01,-0.07630514320510551
2023-02-01,0.0015980105089234975
2023-03-01,-0.28033276948871466
2023-04-01,-0.02916469620307549
2023-05-01,-0.09526316996178696
2023-06-01,0.08323371050194917
2023-07-01,-0.14044295337856583
2023-08-01,0.15466728523008655
2023-09-01,0.06524797217020795
2023-10-01,0.019761070832070127
2023-11-01,0.056997828851648835
2023-12-01,0.10357122877897984
2024-01-01,-0.04308351557848411
2024-02-01,-0.04165817306826858
2024-03-01,-0.06604112851349508
2024-04-01,-0.01686478492404897
2024-05-01,-0.001461185616148386
2024-06-01,0.08101843541568021
2024-07-01,-0.07651937327765135
2024-08-01,0.12231666381151562
2024-09-01,0.020824701845287175
2024-10-01,0.05663614158809671
2024-11-01,0.04399606326477423
2024-12-01,0.18641993535600343
