,top1_return_gps
2016-01-01,0.027998264498596548
2016-02-01,-0.09650923435220216
2016-03-01,0.06491161377300991
2016-04-01,0.0718252612280017
2016-05-01,0.16859018422169147
2016-06-01,-0.07385537804955078
2016-07-01,0.15476411257171807
2016-08-01,0.019137604195919256
2016-09-01,0.0800864897107394
2016-10-01,-0.08693569353673414
2016-11-01,0.25537358117451237
2016-12-01,-0.014882774817904454
2017-01-01,-0.03308991036546971
2017-02-01,-0.054957621010464974
2017-03-01,0.09498444453131616
2017-04-01,0.008298144182285583
2017-05-01,0.13766224830460816
2017-06-01,-0.07761444087248348
2017-07-01,0.053121085458010864
2017-08-01,-0.13257936474993748
2017-09-01,-0.02531091101672489
2017-10-01,-0.09830743102537176
2017-11-01,-0.09512257053709317
2017-12-01,-0.125331427363373
2018-01-01,0.07702209936743376
2018-02-01,-0.1513995299250851
2018-03-01,0.11548006748933282
2018-04-01,-0.05172872579836307
2018-05-01,-0.15311835818988717
2018-06-01,-0.10031832750898484
2018-07-01,-0.012738582322089131
2018-08-01,0.058924150095923666
2018-09-01,0.017245178094826397
2018-10-01,0.007055664652954041
2018-11-01,-0.03202979849019527
2018-12-01,0.11895275969858576
2019-01-01,-0.060741513952392245
2019-02-01,-0.11159225027897746
2019-03-01,0.004187002909250115
2019-04-01,0.01996910889554515
2019-05-01,0.06076858777173144
2019-06-01,-0.06759998826102376
2019-07-01,-0.09449663724532276
2019-08-01,0.14988288716478926
2019-09-01,0.024321756050758703
2019-10-01,-0.020896669762138997
2019-11-01,0.07399284926311056
2019-12-01,-0.0964583157852621
2020-01-01,-0.07290479564638774
2020-02-01,0.07748631101948189
2020-03-01,0.06489419678519814
2020-04-01,-0.11306878070376503
2020-05-01,-0.171437789669316
2020-06-01,-0.04214823708694815
2020-07-01,-0.1201752305731385
2020-08-01,-0.031292012252525536
2020-09-01,-0.0001758011215422517
2020-10-01,0.05208414139844075
2020-11-01,-0.3204470663953467
2020-12-01,-0.2743396694878799
2021-01-01,-0.04419522664231834
2021-02-01,-0.00781654580226998
2021-03-01,-0.07035802384497158
2021-04-01,-0.054068794065326053
2021-05-01,0.0036142745006060295
2021-06-01,-0.039754556254853246
2021-07-01,0.10278609838106068
2021-08-01,0.0862066301445672
2021-09-01,0.10601773399988468
2021-10-01,-0.12475784350448116
2021-11-01,0.10023190397306081
2021-12-01,0.06008961561806814
2022-01-01,0.07618895615963317
2022-02-01,-0.22506265484738808
2022-03-01,-0.045926379144598295
2022-04-01,0.26201955163730983
2022-05-01,-0.04196052704487763
2022-06-01,0.19664451720258147
2022-07-01,-0.1712138314948869
2022-08-01,0.04132776584218045
2022-09-01,-0.013968002986596506
2022-10-01,0.05606008962794329
2022-11-01,-0.05109451474382598
2022-12-01,-0.06960819572609456
2023-01-01,-0.01633420913709449
2023-02-01,0.05460961435420564
2023-03-01,-0.023890816453483454
2023-04-01,0.07423733705909319
2023-05-01,-0.015464912497048289
2023-06-01,-0.0016401475274867572
2023-07-01,-0.02980640113408528
2023-08-01,-0.07217996283780725
2023-09-01,0.06869239400609173
2023-10-01,-0.016988087615523617
2023-11-01,-0.005181813220676457
2023-12-01,0.08406606917678827
2024-01-01,-0.03963681095291782
2024-02-01,-0.1932318094918244
2024-03-01,-0.02858406774195066
2024-04-01,-0.16100197000851924
2024-05-01,-0.016368069965322363
2024-06-01,0.084977931157177
2024-07-01,0.08241005265143175
2024-08-01,0.023794131647984607
2024-09-01,-0.16563889803007725
2024-10-01,0.12127231102194824
2024-11-01,-0.003021663431458599
2024-12-01,0.11615578979564933
