run,direction,strategy,sharpe,sortino,treynor,treynor_raw,information,calmar,cum_ret,mdd,mdd_mag,excess_ret_m,excess_ret_ann
1,long,baseline,0.1792173304033293,0.46253526351914115,0.05209560349291524,0.05209560349291524,0.11185335424509685,-0.014011087069504205,-0.04427221493588229,-0.6227919840357554,0.6227919840357554,0.00367682950721836,0.04412195408662032
1,long,gps,-0.051089274674299814,-0.10357843660993481,-0.017277936336120316,-0.017277936336120316,-0.1491185230879649,-0.12924004447269813,-0.38438714990728196,-0.6934686167097966,0.6934686167097966,-0.00451870390272537,-0.05422444683270444
1,long,weighted,0.22667122744922324,0.3335278244385374,0.03264223203864346,0.03264223203864346,,0.04956303059553423,0.2214102400295579,-0.45339582037349613,0.45339582037349613,0.0,0.0
1,short,baseline,0.09774689322826721,0.21311851682747895,0.026559679354651564,-0.026559679354651564,0.013043421186258675,-0.10809106170039205,-0.20353861815907426,-0.5692888759611913,0.5692888759611913,0.0006336235944205662,0.007603483133046794
1,short,gps,0.06130704251852872,0.13235369288354273,0.016631843194637293,-0.016631843194637293,-0.01713067520448795,-0.13394009998654255,-0.2590680775084985,-0.5993181484393825,0.5993181484393825,-0.0008387921786368976,-0.010065506143642771
2,long,baseline,0.1699854391508605,0.4526473887483732,0.053445077631765356,0.053445077631765356,0.2054919796431046,-0.06010700049496071,-0.1191991265811525,-0.44639397322537244,0.44639397322537244,0.008099935421932625,0.09719922506319151
2,long,gps,0.3020857831790002,0.8198620578945297,0.09570988914158762,0.09570988914158762,0.3526785917283392,0.08071044471804716,0.25268116242736793,-0.6128061642177084,0.6128061642177084,0.013254872342511093,0.15905846811013313
2,long,weighted,0.32061665134068335,0.6113096977088895,0.044893285736015254,0.044893285736015254,,0.08002929393054249,0.37296722997607534,-0.44792235052913487,0.44792235052913487,0.0,0.0
2,short,baseline,-0.3437901963095942,-0.6365433311698789,-0.12924668121672245,0.12924668121672245,-0.45805937942113445,-0.2624429904450717,-0.7008612931461855,-0.7825231071674337,0.7825231071674337,-0.01786649848328131,-0.2143979817993757
2,short,gps,-0.4427616646901217,-0.7621549206657586,-0.22639383685169745,0.22639383685169745,-0.5688538562734351,-0.2658530056463975,-0.6990400585221448,-0.7690281932643018,0.7690281932643018,-0.019344323241866673,-0.23213187890240006
3,long,baseline,-0.6751136058239179,-1.2164645780098582,-0.22501613397427578,-0.22501613397427578,-0.9471481246340644,-0.36408973319601606,-0.8836152492109891,-0.9232383832767153,0.9232383832767153,-0.03218501412625935,-0.3862201695151122
3,long,gps,-0.3675043972506224,-0.5797222801287291,-0.1458874381565277,-0.1458874381565277,-0.5882046103793235,-0.27240688579195027,-0.7650057642474538,-0.8849651734086156,0.8849651734086156,-0.02086497110388349,-0.2503796532466019
3,long,weighted,0.31348517575115237,0.5064213995817204,0.04501398875845325,0.04501398875845325,,0.07724070959946926,0.36689108978012563,-0.4574860827935363,0.4574860827935363,0.0,0.0
3,short,baseline,0.4179686957571834,0.9902030610534649,0.16804843524420957,-0.16804843524420957,0.310805263108262,0.30083876793916725,0.6104714435543046,-0.3323864597648595,0.3323864597648595,0.015954790796615173,0.19145748955938208
3,short,gps,0.4465316961730847,1.0754941367252315,0.21299272487946042,-0.21299272487946042,0.34007885031688045,0.28103907581390997,0.7411296832140779,-0.41734695696423285,0.41734695696423285,0.017193612130453603,0.20632334556544324
4,long,baseline,0.4130544496102374,1.3833758749948952,0.3343903070340224,0.3343903070340224,0.07692784916538459,0.21582399806666802,0.6488507610371836,-0.470885262050045,0.470885262050045,0.002901957739680849,0.03482349287617019
4,long,gps,0.4273202614126008,1.2125689035850644,0.6733440963562598,0.6733440963562598,0.07705358710130959,0.2273323351311205,0.6992454363550791,-0.4753665091706132,0.4753665091706132,0.002909739363193263,0.034916872358319154
4,long,weighted,0.838035022881171,1.3052277405058132,0.12205576932247776,0.12205576932247776,,0.315386985278355,1.717817569796082,-0.3725513913968076,0.3725513913968076,0.0,0.0
4,short,baseline,0.5090375280475602,1.1172742809304226,0.2359222614710536,-0.2359222614710536,0.11927801991860694,0.25154915339624984,1.264367311988785,-0.5633820426135763,0.5633820426135763,0.005033662104254233,0.0604039452510508
4,short,gps,0.5090375280475602,1.1172742809304226,0.2359222614710536,-0.2359222614710536,0.11927801991860694,0.25154915339624984,1.264367311988785,-0.5633820426135763,0.5633820426135763,0.005033662104254233,0.0604039452510508
5,long,baseline,1.0412408376996254,2.829501780625181,0.5012822098510232,0.5012822098510232,0.9777245781857941,0.9676813659404325,4.603732726774344,-0.44273338468405055,0.44273338468405055,0.03352191231576751,0.4022629477892101
5,long,gps,0.7983868547477907,2.10891572046061,0.7644118179646435,0.7644118179646435,0.6866413751262229,0.7129606620709126,2.2419632022628715,-0.3864331756609193,0.3864331756609193,0.022873660778940597,0.27448392934728716
5,long,weighted,0.2695127649350663,0.448189071386804,0.03502212136251125,0.03502212136251125,,0.07164038355613271,0.27067282042773133,-0.37651472207354075,0.37651472207354075,0.0,0.0
5,short,baseline,-0.13783964726969988,-0.2572550442014392,-0.07111878749918352,0.07111878749918352,-0.1996111040622825,-0.20642228833504894,-0.43540253646287186,-0.5987078981976752,0.5987078981976752,-0.00764417334271283,-0.09173008011255396
5,short,gps,-0.16189946163662278,-0.306628602153982,-0.08158823305097773,0.08158823305097773,-0.21990834292043665,-0.22175183036461452,-0.46057999595968224,-0.5987078981976752,0.5987078981976752,-0.00846340777137275,-0.101560893256473
