run,direction,strategy,sharpe,sortino,treynor,treynor_raw,information,calmar,cum_ret,mdd,mdd_mag,mer_m,mer_ann
1,long,baseline,0.2045383316426381,0.30900239005263685,0.06167583578750435,0.06167583578750435,0.10250863436633248,-0.0132794989881098,-0.08586314375929827,-0.747423762137296,0.747423762137296,0.0033738941721546964,0.04048673006585636
1,long,gps,-0.4737296391561347,-0.7542047578362823,-0.18200366339891755,-0.18200366339891755,-0.6380469069218162,-0.26927491030140777,-0.9319783428400672,-0.9588250232138549,0.9588250232138549,-0.021097042440461896,-0.25316450928554274
1,long,weighted,0.3462558816537385,0.5857086536929206,0.050301730993326854,0.050301730993326854,,0.11349507920242327,0.4304754407163063,-0.35755120510341376,0.35755120510341376,0.0,0.0
1,short,baseline,-0.27164150815400284,-0.46602739486095307,-0.15424041122724108,0.15424041122724108,-0.3487260955284628,-0.177580883073296,-0.7950793774962287,-0.9093745958285612,0.9093745958285612,-0.01280370690255232,-0.15364448283062784
1,short,gps,-0.031076739582467386,-0.04685964012542981,-0.018963581120152617,0.018963581120152617,-0.13857102845996855,-0.0989782201276336,-0.5519513484248277,-0.8622382755143696,0.8622382755143696,-0.005212702344883908,-0.0625524281386069
2,long,baseline,0.11368493984124446,0.14843722139652443,0.03535848189316233,0.03535848189316233,0.009060690939404549,-0.08518796067739903,-0.477872557323049,-0.8177176200321702,0.8177176200321702,0.000333301272281107,0.003999615267373284
2,long,gps,-0.22367298011668335,-0.34528384629324055,-0.0628009645315411,-0.0628009645315411,-0.39068245205879815,-0.19476351013205292,-0.822504413445178,-0.8973311428580312,0.8973311428580312,-0.012248046702054581,-0.14697656042465498
2,long,weighted,0.36313052582911803,0.68206390740272,0.05142325857433254,0.05142325857433254,,0.1237687714705451,0.4534786374452293,-0.34278768271305204,0.34278768271305204,0.0,0.0
2,short,baseline,0.4214751572946798,0.7391736355429175,0.14451551644742272,-0.14451551644742272,0.25466578513595883,0.12778711359074973,1.269007735935817,-0.7458553406775443,0.7458553406775443,0.010587702764759673,0.12705243317711606
2,short,gps,0.3373362639904888,0.5871788169336594,0.14205563726744724,-0.14205563726744724,0.18211747206608223,0.08676567686432901,0.6724061807621307,-0.6777384400420194,0.6777384400420194,0.007227088126463371,0.08672505751756045
3,long,baseline,0.5471894187693455,0.9951778434430163,0.19328299761368622,0.19328299761368622,0.5022761668229934,0.21981306696000386,2.7620142448190887,-0.7215474068289572,0.7215474068289572,0.01702972295551613,0.20435667546619354
