Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2018-05-01,[NG | 36.4%],[HE | 16.7%],[CO | 12.6%],[HO | 10.8%],[ZW | 6.1%],[HE | 13.3%],[NG | 11.6%],[HO | 10.8%],[LE | 10.0%],[ZW | 8.2%]
2018-06-01,[NG | 35.1%],[SU | 30.7%],[ZS | 7.9%],[CF | 7.0%],[CC | 5.3%],[SU | 13.4%],[NG | 13.0%],[LE | 11.2%],[ZS | 10.2%],[CC | 10.2%]
2018-07-01,[SU | 31.9%],[CP | 18.4%],[SV | 13.8%],[CC | 10.7%],[CF | 10.3%],[SU | 15.1%],[CP | 14.2%],[CF | 12.2%],[CC | 11.3%],[SV | 9.2%]
2018-08-01,[HO | 21.7%],[GD | 14.4%],[SV | 13.2%],[ZC | 8.7%],[CT | 7.7%],[GD | 14.3%],[HO | 12.6%],[SV | 9.4%],[CT | 8.9%],[ZC | 7.3%]
2018-09-01,[SU | 33.2%],[NG | 26.5%],[HE | 13.2%],[CC | 7.0%],[CO | 5.2%],[SU | 14.7%],[NG | 11.4%],[HE | 9.9%],[CC | 8.7%],[CO | 8.4%]
2018-10-01,[ZC | 34.3%],[ZW | 17.8%],[ZS | 13.1%],[SU | 11.7%],[HE | 5.4%],[ZC | 16.3%],[LE | 12.3%],[ZS | 12.1%],[SU | 8.9%],[ZW | 8.9%]
2018-11-01,[HE | 24.2%],[NG | 12.0%],[ZW | 10.8%],[SV | 9.9%],[CT | 7.6%],[HE | 14.1%],[GD | 8.3%],[ZW | 8.1%],[CT | 8.0%],[NG | 7.9%]
2018-12-01,[CT | 34.3%],[ZC | 18.2%],[SU | 17.6%],[ZW | 10.1%],[CP | 6.5%],[CT | 16.3%],[ZC | 11.5%],[SU | 10.4%],[CP | 9.8%],[ZS | 9.0%]
2019-01-01,[SV | 33.7%],[GD | 21.7%],[CF | 11.1%],[CT | 9.2%],[CC | 5.6%],[GD | 17.9%],[SV | 15.1%],[CF | 9.4%],[HE | 8.1%],[CC | 7.8%]
2019-02-01,[SV | 17.6%],[CO | 12.4%],[ZC | 11.3%],[CP | 9.7%],[HO | 8.8%],[LE | 11.0%],[GD | 10.6%],[CP | 9.6%],[ZC | 8.6%],[CT | 7.9%]
2019-03-01,[CO | 23.2%],[CT | 13.5%],[HO | 10.9%],[SV | 10.1%],[NG | 7.7%],[CO | 11.5%],[CT | 9.9%],[HO | 9.0%],[CP | 7.8%],[ZS | 7.7%]
